dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
conf/metacognition/Mitchell05;inproceedings;2012-02-18;"Self-awareness and control in decentralized systems.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";1
conf/metacognition/MuslinerGK05;inproceedings;2012-02-18;"Deliberation scheduling strategies for adaptive mission planning in real-time environments.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/Cox05;inproceedings;2012-02-18;"Metacognition in computation: A selected history.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/HobbsG05;inproceedings;2012-02-18;"Toward a large-scale formal theory of commonsense psychology for metacognition.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/Aaron05;inproceedings;2012-02-18;"Hybrid dynamical systems, dynamical intelligence, and meta-intelligence in embodied agents.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/2005;proceedings;2012-02-18;"2005 AAAI Spring Symposium on Metacognition in Computation, March 21-23 2005, Stanford, California, USA";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/CohenT05;inproceedings;2012-02-18;"Metacognitive processes for uncertainty handling: Connectionist implementation of a cognitive model.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/LundstromHN05;inproceedings;2012-02-18;"Argumentation as a metacognitive skill of passing acceptance.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/Arzi-Gonczarowski05;inproceedings;2012-02-18;"Metacognition the mathematical way: Trying to nest constructs.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/Wallace05;inproceedings;2012-02-18;"Abstract behavior representations for self-assessment.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/Kim05;inproceedings;2012-02-18;"Memory based meta-level reasoning for interactive knowledge capture.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/JosyulaAP05;inproceedings;2012-02-18;"Metacognition for dropping and reconsidering intentions.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/AskerM05;inproceedings;2012-02-18;"On reasoning and planning in real-time: An LDS-based approach.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/MuldnerC05;inproceedings;2012-02-18;"Providing adaptive support for meta-cognitive skills to improve learning.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/Cox05a;inproceedings;2012-02-18;"Perpetual self-aware cognitive agents.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/Schubert05;inproceedings;2012-02-18;"Some KR&R requirements for self-awareness.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/SwansonG05;inproceedings;2012-02-18;"Automated commonsense reasoning about human memory.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/MurdockSFWM05;inproceedings;2012-02-18;"Encoding extraction as inferences.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/metacognition/Hudlicka05;inproceedings;2012-02-18;"Modeling interactions between metacognition and emotion in a cognitive architecture.";"AAAI Spring Symposium: Metacognition in Computation";"2005";"";"";0
conf/aaaifs/MartinezBAKGSK11;inproceedings;2013-09-25;"Towards a Domain-Independent Computational Framework for Theory Blending.";"AAAI Fall Symposium: Advances in Cognitive Systems";"2011";"";"http://www.aaai.org/ocs/index.php/FSS/FSS11/paper/view/4144";0
conf/aaaifs/Pineda09;inproceedings;2013-09-26;"Cognitive Architecture and Perceptual Inference.";"AAAI Fall Symposium: Multi-Representational Architectures for Human-Level Intelligence";"2009";"";"http://aaai.org/ocs/index.php/FSS/FSS09/paper/view/943";0
conf/aaaifs/MenkeWD10;inproceedings;2013-09-27;"An Analysis of the Robustness and Fragility of the Coagulation System.";"AAAI Fall Symposium: Complex Adaptive Systems";"2010";"";"http://www.aaai.org/ocs/index.php/FSS/FSS10/paper/view/2304";0
conf/aaaifs/BiesanAd12;inproceedings;2013-09-09;"Block Modeling in Large Social Networks with Many Clusters.";"AAAI Fall Symposium: Social Networks and Social Contagion";"2012";"";"http://www.aaai.org/ocs/index.php/FSS/FSS12/paper/view/5545";0
conf/aaaifs/GilRF10;inproceedings;2014-06-10;"Assisting Scientists with Complex Data Analysis Tasks through Semantic Workflows.";"AAAI Fall Symposium: Proactive Assistant Agents";"2010";"";"http://www.aaai.org/ocs/index.php/FSS/FSS10/paper/view/2229";0
conf/aaaifs/SanzGHH08;inproceedings;2013-09-04;"A Principled Approach for Systematic Mind Engineering.";"AAAI Fall Symposium: Biologically Inspired Cognitive Architectures";"2008";"";"http://www.aaai.org/Library/Symposia/Fall/2008/fs08-04-041.php";0
conf/aaaifs/LiSL11;inproceedings;2013-09-25;"Improving Acquisition of Teleoreactive Logic Programs through Representation Change.";"AAAI Fall Symposium: Advances in Cognitive Systems";"2011";"";"http://www.aaai.org/ocs/index.php/FSS/FSS11/paper/view/4184";0
conf/aaaifs/Gil12;inproceedings;2013-09-09;"Organizers.";"AAAI Fall Symposium: Discovery Informatics";"2012";"";"http://www.aaai.org/ocs/index.php/FSS/FSS12/paper/view/5684";0
conf/aaaifs/ParikhSS12;inproceedings;2013-09-09;"Modeling the Effects of Transient Populations on Epidemics.";"AAAI Fall Symposium: Social Networks and Social Contagion";"2012";"";"http://www.aaai.org/ocs/index.php/FSS/FSS12/paper/view/5548";0
conf/aaaifs/RensJRW11;inproceedings;2013-09-25;"A Multi-Party Negotiation Game for Improving Crisis Management Decision Making.";"AAAI Fall Symposium: Robot-Human Teamwork in Dynamic Adverse Environment";"2011";"";"http://www.aaai.org/ocs/index.php/FSS/FSS11/paper/view/4159";0
conf/aaaifs/GordonS10;inproceedings;2013-09-26;"Quantificational Sharpening of Commonsense Knowledge.";"AAAI Fall Symposium: Commonsense Knowledge";"2010";"";"http://www.aaai.org/ocs/index.php/FSS/FSS10/paper/view/2324";0
conf/aaaifs/ValituttiTGT12;inproceedings;2013-09-09;"Decomposition and Distribution of Humorous Effect in Interactive Systems.";"AAAI Fall Symposium: Artificial Intelligence of Humor";"2012";"";"http://www.aaai.org/ocs/index.php/FSS/FSS12/paper/view/5576";0
conf/aaaifs/Lamberson09;inproceedings;2013-09-26;"Linking Network Structure and Diffusion through Stochastic Dominance.";"AAAI Fall Symposium: Complex Adaptive Systems and the Threshold Effect";"2009";"";"http://aaai.org/ocs/index.php/FSS/FSS09/paper/view/938";0
conf/aaaifs/2011-5;proceedings;2017-03-29;"Robot-Human Teamwork in Dynamic Adverse Environment, Papers from the 2011 AAAI Fall Symposium, Arlington, Virginia, USA, November 4-6, 2011";"AAAI Fall Symposium: Robot-Human Teamwork in Dynamic Adverse Environment";"2011";"";"http://www.aaai.org/Library/Symposia/Fall/fs11-05.php";0
conf/aaaifs/BringsjordS08;inproceedings;2013-09-04;"Organizing Committee.";"AAAI Fall Symposium: Automated Scientific Discovery";"2008";"";"http://www.aaai.org/Library/Symposia/Fall/2008/fs08-03-010.php";0
conf/aaaifs/SchubertGSR11;inproceedings;2013-09-25;"Towards Adequate Knowledge and Natural Inference).";"AAAI Fall Symposium: Advances in Cognitive Systems";"2011";"";"http://www.aaai.org/ocs/index.php/FSS/FSS11/paper/view/4154";0
conf/aaaifs/Xia12;inproceedings;2013-09-09;"Generalized Weighted Model Counting: An Efficient Monte-Carlo Meta-Algorithm.";"AAAI Fall Symposium: Machine Aggregation of Human Judgment";"2012";"";"http://www.aaai.org/ocs/index.php/FSS/FSS12/paper/view/5584";0
conf/aaaifs/Samsonovich08;inproceedings;2013-09-04;"Organizing Committee.";"AAAI Fall Symposium: Biologically Inspired Cognitive Architectures";"2008";"";"http://www.aaai.org/Library/Symposia/Fall/2008/fs08-04-051.php";0
conf/aaaifs/MeneguzziO10;inproceedings;2013-09-26;"Organizing Committee.";"AAAI Fall Symposium: Proactive Assistant Agents";"2010";"";"http://www.aaai.org/ocs/index.php/FSS/FSS10/paper/view/2359";0
conf/aaaifs/WattsP11;inproceedings;2013-09-25;"Conscious Adaptation: Building Resilient Organizations.";"AAAI Fall Symposium: Complex Adaptive Systems";"2011";"";"http://www.aaai.org/ocs/index.php/FSS/FSS11/paper/view/4135";0
conf/aaaifs/EpsteinPGL11;inproceedings;2013-09-25;"The Role of Knowledge and Certainty in Understanding for Dialogue.";"AAAI Fall Symposium: Advances in Cognitive Systems";"2011";"";"http://www.aaai.org/ocs/index.php/FSS/FSS11/paper/view/4179";0
conf/aaaifs/2008-5;proceedings;2013-09-04;"Multimedia Information Extraction, Papers from the 2008 AAAI Fall Symposium, Mark Maybury (chair) and Sharon Walter (cochair), Arlington, Virginia, USA, November 7-9, 2008";"AAAI Fall Symposium: Multimedia Information Extraction";"2008";"";"http://www.aaai.org/Library/Symposia/Fall/fs08-05.php";0
conf/aaaifs/HuyckB09;inproceedings;2013-09-26;"Questions Arising from a Proto-Neural Cognitive Architecture.";"AAAI Fall Symposium: Biologically Inspired Cognitive Architectures";"2009";"";"http://aaai.org/ocs/index.php/FSS/FSS09/paper/view/859";0
conf/aaaifs/Funcke11;inproceedings;2013-09-25;"A Skeptic Embrace of Simulation.";"AAAI Fall Symposium: Complex Adaptive Systems";"2011";"";"http://www.aaai.org/ocs/index.php/FSS/FSS11/paper/view/4229";0
conf/aaaifs/RiedlBHIH09;inproceedings;2013-09-26;"Graphical Social Scenarios: Toward Intervention and Authoring for Adolescents with High Functioning Autism.";"AAAI Fall Symposium: Virtual Healthcare Interaction";"2009";"";"http://aaai.org/ocs/index.php/FSS/FSS09/paper/view/945";0
conf/aaaifs/Snyder08;inproceedings;2013-09-04;"An Exploratory Approach for Modeling Image-Enabled Discourse.";"AAAI Fall Symposium: Multimedia Information Extraction";"2008";"";"http://www.aaai.org/Library/Symposia/Fall/2008/fs08-05-014.php";0
conf/aaaifs/Samsonovich09;inproceedings;2013-09-26;"The Constructor Metacognitive Architecture.";"AAAI Fall Symposium: Biologically Inspired Cognitive Architectures";"2009";"";"http://aaai.org/ocs/index.php/FSS/FSS09/paper/view/999";0
conf/aaaifs/Rohrer08;inproceedings;2013-09-04;"A Unified Architecture for Cognition and Motor Control Based on Neuroanatomy, Psychophysical Experiments, and Cognitive Behaviors.";"AAAI Fall Symposium: Biologically Inspired Cognitive Architectures";"2008";"";"http://www.aaai.org/Library/Symposia/Fall/2008/fs08-04-039.php";0
conf/aaaifs/Dancygier10;inproceedings;2013-09-26;"The Language of Stories: A Conceptual Integration Approach.";"AAAI Fall Symposium: Computational Models of Narrative";"2010";"";"http://www.aaai.org/ocs/index.php/FSS/FSS10/paper/view/2302";0
