dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/csur/Nagle96;article;2011-12-05;"Synergy Between Software and Hardware.";"";"1996";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/242224.242264";0
journals/csur/Hentenryck96;article;2011-12-05;"Constraint Programming for Combinatorial Search Problems.";"";"1996";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/242224.242322";0
journals/csur/SookhakGTAKBZ15;article;2017-09-16;"Remote Data Auditing in Cloud Computing Environments: A Survey, Taxonomy, and Open Issues.";"";"2015";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/2764465";0
journals/csur/BaconGS94;article;2011-12-05;"Compiler Transformations for High-Performance Computing.";"";"1994";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/197405.197406";0
journals/csur/Antoniou99;article;2017-06-14;"A tutorial on default logics.";"";"1999";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/344588.344602";0
journals/csur/Farrens96;article;2011-12-05;"Distributed Decentralized Computing.";"";"1996";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/242224.242259";0
journals/csur/El-Yaniv98;article;2003-11-19;"Competitive Solutions for Online Financial Prob.";"";"1998";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/274440.274442";0
journals/csur/AbellaV10;article;2017-06-05;"Electromigration for microarchitects.";"";"2010";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/1667062.1667066";0
journals/csur/GuptaSB94;article;2011-12-05;"On Randomization in Sequential and Distributed Algorithms.";"";"1994";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/174666.174667";0
journals/csur/McKinney69;article;2011-12-05;"A Survey of Analytical Time-Sharing Models.";"";"1969";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/356546.356549";0
journals/csur/Zweben79;article;2011-12-05;"Surveyor's Forum: Heads I Win, Tails You Lose.";"";"1979";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/356778.356785";0
journals/csur/Jones96b;article;2011-12-05;"Consumer Real-Time Systems.";"";"1996";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/242224.242459";0
journals/csur/GarbinatoG00;article;2003-11-19;"An open framework for reliable distributed computing.";"";"2000";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/351936.351958";0
journals/csur/SiegleVIE14;article;2017-05-26;"Mitigation of Radiation Effects in SRAM-Based FPGAs for Space Applications.";"";"2014";"ACM Comput. Surv.";"https://doi.org/10.1145/2671181";0
journals/csur/FreilingGK11;article;2017-01-09;"The failure detector abstraction.";"";"2011";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/1883612.1883616";0
journals/csur/Weihe01;article;2003-11-19;"A software engineering perspective on algorithmics.";"";"2001";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/375360.375367";0
journals/csur/Gammie13;article;2016-12-09;"Synchronous digital circuits as functional programs.";"";"2013";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/2543581.2543588";0
journals/csur/ShaulT13;article;2016-12-09;"Critical success factors in enterprise resource planning systems: Review of the last decade.";"";"2013";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/2501654.2501669";0
journals/csur/RennerVH13;article;2017-06-08;"The perception of egocentric distances in virtual environments - A review.";"";"2013";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/2543581.2543590";0
journals/csur/McKeeman96;article;2011-12-05;"Separating Concerns in Software Quality.";"";"1996";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/242224.242486";0
journals/csur/Chapin96;article;2011-12-05;"Distributed and Multiprocessor Scheduling.";"";"1996";"ACM Comput. Surv.";"http://doi.acm.org/10.1145/234313.234410";0
