dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tsas/GemsaHN15;article;2016-11-22;"Multirow Boundary-Labeling Algorithms for Panorama Images.";"";"2015";"ACM Trans. Spatial Algorithms and Systems";"http://doi.acm.org/10.1145/2794299";0
journals/tsas/SkoumasPKS16;article;2017-01-04;"Location Estimation Using Crowdsourced Spatial Relations.";"";"2016";"ACM Trans. Spatial Algorithms and Systems";"http://doi.acm.org/10.1145/2894745";0
journals/tsas/ThatPZ15;article;2016-11-22;"TRIFL: A Generic Trajectory Index for Flash Storage.";"";"2015";"ACM Trans. Spatial Algorithms and Systems";"http://doi.acm.org/10.1145/2786758";0
journals/tsas/BelussiMNP16;article;2017-01-04;"Snap Rounding with Restore: An Algorithm for Producing Robust Geometric Datasets.";"";"2016";"ACM Trans. Spatial Algorithms and Systems";"http://doi.acm.org/10.1145/2811256";0
journals/tsas/TengKC17;article;2017-10-05;"Toward Mining Stop-by Behaviors in Indoor Space.";"";"2017";"ACM Trans. Spatial Algorithms and Systems";"http://doi.acm.org/10.1145/3106736";0
journals/tsas/ToSK15;article;2016-11-22;"A Server-Assigned Spatial Crowdsourcing Framework.";"";"2015";"ACM Trans. Spatial Algorithms and Systems";"http://doi.acm.org/10.1145/2729713";0
journals/tsas/AlyBY17;article;2017-10-05;"Accurate and Energy-Efficient GPS-Less Outdoor Localization.";"";"2017";"ACM Trans. Spatial Algorithms and Systems";"http://doi.acm.org/10.1145/3085575";0
journals/tsas/AgarwalBM16;article;2017-01-04;"TerraNNI: Natural Neighbor Interpolation on 2D and 3D Grids Using a GPU.";"";"2016";"ACM Trans. Spatial Algorithms and Systems";"http://doi.acm.org/10.1145/2786757";0
journals/tsas/EfstathiadesEP16;article;2017-01-04;"Efficient Processing of Relevant Nearest-Neighbor Queries.";"";"2016";"ACM Trans. Spatial Algorithms and Systems";"http://doi.acm.org/10.1145/2934675";0
journals/tsas/PelekisSTT16;article;2017-01-04;"Simulating Our LifeSteps by Example.";"";"2016";"ACM Trans. Spatial Algorithms and Systems";"http://doi.acm.org/10.1145/2937753";0
journals/tsas/AmagataH17;article;2017-06-29;"A General Framework for MaxRS and MaxCRS Monitoring in Spatial Data Streams.";"";"2017";"ACM Trans. Spatial Algorithms and Systems";"http://doi.acm.org/10.1145/3080554";0
journals/tsas/FerreiraAMF16;article;2017-01-04;"An Efficient External Memory Algorithm for Terrain Viewshed Computation.";"";"2016";"ACM Trans. Spatial Algorithms and Systems";"http://doi.acm.org/10.1145/2903206";0
journals/tsas/LongH17;article;2017-10-05;"Spatial Partition-Based Particle Filtering for Data Assimilation in Wildfire Spread Simulation.";"";"2017";"ACM Trans. Spatial Algorithms and Systems";"http://doi.acm.org/10.1145/3099471";0
journals/tsas/ChawlaEGH17;article;2017-10-05;"Classification of Passes in Football Matches Using Spatiotemporal Data.";"";"2017";"ACM Trans. Spatial Algorithms and Systems";"http://doi.acm.org/10.1145/3105576";0
journals/tsas/KovanenS15;article;2016-11-22;"Tilewise Accumulated Cost Surface Computation with Graphics Processing Units.";"";"2015";"ACM Trans. Spatial Algorithms and Systems";"http://doi.acm.org/10.1145/2803172";0
