dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/jmlr/AcharyaHGA12;inproceedings;2013-11-25;"Transfer Learning with Cluster Ensembles.";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/acharya12a.html";0
journals/jmlr/MesnilDGRBGLMDWVCB12;inproceedings;2013-11-25;"Unsupervised and Transfer Learning Challenge: a Deep Learning Approach.";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/mesnil12a.html";0
journals/jmlr/Baldi12;inproceedings;2013-11-25;"Autoencoders, Unsupervised Learning, and Deep Architectures.";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/baldi12a.html";0
journals/jmlr/SeldinCALS12;inproceedings;2013-11-25;"PAC-Bayes-Bernstein Inequality for Martingales and its Application to Multiarmed Bandits.";"ICML On-line Trading of Exploration and Exploitation";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v26/seldin12a.html";0
journals/jmlr/GlowackaDS12;inproceedings;2013-12-04;"Preface.";"ICML On-line Trading of Exploration and Exploitation";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v26/glowacka12a/glowacka12a.pdf";0
journals/jmlr/WilsonFT12;inproceedings;2013-11-25;"Transfer Learning in Sequential Decision Problems: A Hierarchical Bayesian Approach.";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/wilson12a.html";0
journals/jmlr/HayashiTTK12;inproceedings;2013-11-25;"Self-measuring Similarity for Multi-task Gaussian Process.";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/hayashi12a.html";0
journals/jmlr/Aiolli12;inproceedings;2013-11-25;"Transfer Learning by Kernel Meta-Learning.";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/aiolli12a.html";0
journals/jmlr/Bengio12;inproceedings;2013-11-25;"Deep Learning of Representations for Unsupervised and Transfer Learning.";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/bengio12a.html";0
journals/jmlr/SalperwyckU12;inproceedings;2013-11-25;"Stumping along a Summary for Exploration & Exploitation Challenge 2011.";"ICML On-line Trading of Exploration and Exploitation";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v26/salperwyck12a.html";0
journals/jmlr/WidmerR12;inproceedings;2013-11-25;"Multitask Learning in Computational Biology.";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/widmer12a.html";0
journals/jmlr/SilverGTDL12;inproceedings;2013-11-25;"ICML2011 Unsupervised and Transfer Learning Workshop.";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/silver12a.html";0
journals/jmlr/LiCLMW12;inproceedings;2013-11-25;"Bandits with Generalized Linear Models.";"ICML On-line Trading of Exploration and Exploitation";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v26/li12a.html";0
journals/jmlr/LeeSS12;inproceedings;2013-11-25;"Transfer Learning for Auto-gating of Flow Cytometry Data.";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/lee12a.html";0
journals/jmlr/ChoromanskaM12a;inproceedings;2013-11-25;"Online Clustering with Experts.";"ICML On-line Trading of Exploration and Exploitation";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v26/choromanska12a.html";0
journals/jmlr/NicolMP12;inproceedings;2013-11-25;"ICML Exploration & Exploitation Challenge: Keep it simple!";"ICML On-line Trading of Exploration and Exploitation";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v26/nicol12a.html";0
journals/jmlr/LuxburgWG12;inproceedings;2013-11-25;"Clustering: Science or Art?";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/luxburg12a.html";0
journals/jmlr/Niculescu-MizilC12;inproceedings;2013-11-25;"Inductive Transfer for Bayesian Network Structure Learning.";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/niculescu12a.html";0
journals/jmlr/LiuXGX12;inproceedings;2013-11-25;"Stochastic Unsupervised Learning on Unlabeled Data.";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/liu12a.html";0
journals/jmlr/SalakhutdinovTT12;inproceedings;2017-07-13;"One-Shot Learning with a Hierarchical Nonparametric Bayesian Model.";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/salakhutdinov12a.html";0
journals/jmlr/NikulinH12;inproceedings;2013-11-25;"Unsupervised dimensionality reduction via gradient-based matrix factorization with two adaptive learning rates.";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/nikulin12a.html";0
journals/jmlr/BuhmannCFS12;inproceedings;2013-11-25;"Information Theoretic Model Selection for Pattern Analysis.";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/buhmann12a.html";0
journals/jmlr/ChinS12;inproceedings;2013-11-25;"Divide and Transfer: an Exploration of Segmented Transfer to Detect Wikipedia Vandalism.";"ICML Unsupervised and Transfer Learning";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v27/chin12a.html";0
journals/jmlr/LovellJZG12;inproceedings;2016-08-29;"Exploration and Exploitation with Insufficient Resources.";"ICML On-line Trading of Exploration and Exploitation";"2012";"";"http://jmlr.csail.mit.edu/proceedings/papers/v26/lovell12a.html";0
conf/icmla/GopalYSC11;inproceedings;2017-05-19;"Statistical Learning for File-Type Identification.";"ICMLA (1)";"2011";"";"https://doi.org/10.1109/ICMLA.2011.135";0
conf/icmla/NamS14;inproceedings;2017-05-19;"Assessment of Different Image Clutter Metrics Using Multivariate Analyses and Neurofuzzy System.";"ICMLA";"2014";"";"https://doi.org/10.1109/ICMLA.2014.92";0
conf/icmla/FerragutL12;inproceedings;2017-05-19;"Randomized Sampling for Large Data Applications of SVM.";"ICMLA (1)";"2012";"";"https://doi.org/10.1109/ICMLA.2012.65";0
conf/icmla/GayLM15;inproceedings;2017-05-19;"Learning Complex Events from Sequences with Informed Gaps.";"ICMLA";"2015";"";"https://doi.org/10.1109/ICMLA.2015.108";0
conf/icmla/AkhgarNRSH02;inproceedings;2004-05-11;"The Role of Middleware in Information Systems Strategy.";"ICMLA";"2002";"";"";0
conf/icmla/PetersonC07;inproceedings;2017-05-19;"Logistic Ensembles for Random Spherical Linear Oracles.";"ICMLA";"2007";"";"https://doi.org/10.1109/ICMLA.2007.104";0
conf/icmla/AlghamdiSVSCTQA16;inproceedings;2017-06-15;"A Prediction Modelling and Pattern Detection Approach for the First-Episode Psychosis Associated to Cannabis Use.";"ICMLA";"2016";"";"https://doi.org/10.1109/ICMLA.2016.0148";0
conf/icmla/WangZW12;inproceedings;2017-05-19;"Moving Object Detection in Aerial Video.";"ICMLA (2)";"2012";"";"https://doi.org/10.1109/ICMLA.2012.206";0
conf/icmla/MojicaN15;inproceedings;2017-05-19;"Fine-Grained Opinion Extraction with Markov Logic Networks.";"ICMLA";"2015";"";"https://doi.org/10.1109/ICMLA.2015.215";0
conf/icmla/Millan-GiraldoST10;inproceedings;2017-09-13;"A Comparison of Techniques for Handling Incomplete Input Data with a Focus on Attribute Relevance Influence.";"ICMLA";"2010";"";"https://doi.org/10.1109/ICMLA.2010.126";0
conf/icmla/ZhangWL14;inproceedings;2017-05-19;"Topic Detection in Instant Messages.";"ICMLA";"2014";"";"https://doi.org/10.1109/ICMLA.2014.41";0
conf/icmla/SullivanLG11;inproceedings;2017-06-15;"The DIEGO Lab Graph Based Gene Normalization System.";"ICMLA (2)";"2011";"";"https://doi.org/10.1109/ICMLA.2011.140";0
conf/icmla/BahriL09;inproceedings;2017-05-19;"Improving Prediction by Weighting Class Association Rules.";"ICMLA";"2009";"";"https://doi.org/10.1109/ICMLA.2009.108";0
conf/icmla/SuHR16;inproceedings;2017-05-19;"Adaptive Thresholding and Reweighting to Improve Domain Transfer Learning for Unbalanced Data with Applications to EEG Imbalance.";"ICMLA";"2016";"";"https://doi.org/10.1109/ICMLA.2016.0059";0
conf/icmla/PolicastroPMRZP08;inproceedings;2017-08-06;"Applying Learning by Tutelage and Multimodal Interface to Sociable Robots.";"ICMLA";"2008";"";"https://doi.org/10.1109/ICMLA.2008.52";0
conf/icmla/VedomskeGBH13;inproceedings;2017-05-19;"Scalable and Locally Applicable Measures of Treatment Variation That Use Hospital Billing Data.";"ICMLA (2)";"2013";"";"https://doi.org/10.1109/ICMLA.2013.159";0
