dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
conf/icra/MoritaIS00;inproceedings;2017-05-22;"Human Symbiotic Robot Design Based on Division and Unification of Functional Requirements.";"ICRA";"2000";"";"https://doi.org/10.1109/ROBOT.2000.846359";0
conf/icra/MuirN87;inproceedings;2017-05-22;"Kinematic modeling for feedback control of an omnidirectional wheeled mobile robot.";"ICRA";"1987";"";"https://doi.org/10.1109/ROBOT.1987.1087767";1
conf/icra/LiuLL02;inproceedings;2017-05-22;"Coordinated Manipulation of Objects by Multifingered Robotic Hand in Contact Space and Active Joint Space.";"ICRA";"2002";"";"https://doi.org/10.1109/ROBOT.2002.1014295";0
conf/icra/BurkhardFGWGDC17;inproceedings;2017-07-26;"A rolling-diaphragm hydrostatic transmission for remote MR-guided needle insertion.";"ICRA";"2017";"";"https://doi.org/10.1109/ICRA.2017.7989137";0
conf/icra/MascaroA02;inproceedings;2017-05-22;"Filter Design and Calibration for Fingernail Sensors to Measure Fingertip Forces and Finger Posture.";"ICRA";"2002";"";"https://doi.org/10.1109/ROBOT.2002.1014778";0
conf/icra/KeselmanVV14;inproceedings;2017-05-22;"Forage RRT - An efficient approach to task-space goal planning for high dimensional systems.";"ICRA";"2014";"";"https://doi.org/10.1109/ICRA.2014.6907061";0
conf/icra/DeK13;inproceedings;2017-05-22;"Toward dynamical sensor management for reactive wall-following.";"ICRA";"2013";"";"https://doi.org/10.1109/ICRA.2013.6630903";0
conf/icra/BishopJ09;inproceedings;2017-05-22;"A stochastically stable solution to the problem of robocentric mapping.";"ICRA";"2009";"";"https://doi.org/10.1109/ROBOT.2009.5152424";0
conf/icra/CrockettDDW87;inproceedings;2017-05-22;"Implementation of a Petri net controller for a machining workstation.";"ICRA";"1987";"";"https://doi.org/10.1109/ROBOT.1987.1087773";1
conf/icra/NamS14;inproceedings;2017-05-22;"Assignment algorithms for modeling resource contention and interference in multi-robot task-allocation.";"ICRA";"2014";"";"https://doi.org/10.1109/ICRA.2014.6907156";0
conf/icra/TigliOT93;inproceedings;2017-05-22;"Toward a New Intelligent Reactive Controller for Autonomous Mobile Robots.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292184";0
conf/icra/JeongT06;inproceedings;2017-05-22;"Optimal Braking for Impact Force Reduction using the Dynamics of Redundant Manipulators.";"ICRA";"2006";"";"https://doi.org/10.1109/ROBOT.2006.1641983";0
conf/icra/TangKM09;inproceedings;2017-10-18;"C";"ICRA";"2009";"";"https://doi.org/10.1109/ROBOT.2009.5152234";0
conf/icra/SaskaHS08;inproceedings;2017-05-22;"Efficient airport snow shoveling by applying autonomous multi-vehicle formations.";"ICRA";"2008";"";"https://doi.org/10.1109/ROBOT.2008.4543443";0
conf/icra/DubeyEB88;inproceedings;2017-05-22;"An efficient gradient projection optimization scheme for a seven-degree-of-freedom redundant robot with spherical wrist.";"ICRA";"1988";"";"https://doi.org/10.1109/ROBOT.1988.12019";0
conf/icra/MoisioLKM12;inproceedings;2017-05-22;"Simulation of tactile sensors using soft contacts for robot grasping applications.";"ICRA";"2012";"";"https://doi.org/10.1109/ICRA.2012.6224629";0
conf/icra/DoroodgarFMN10;inproceedings;2017-05-22;"The search for survivors: Cooperative human-robot interaction in search and rescue environments using semi-autonomous robots.";"ICRA";"2010";"";"https://doi.org/10.1109/ROBOT.2010.5509530";0
conf/icra/KomsuogluMSMBK01;inproceedings;2017-05-22;"Proprioception Based Behavioral Advances in a Hexapod Robot.";"ICRA";"2001";"";"https://doi.org/10.1109/ROBOT.2001.933184";0
conf/icra/ReyesK98;inproceedings;2017-05-22;"Experimental Evaluation of Fixed-Camera Direct Visual Controllers on a Direct-Drive Robot.";"ICRA";"1998";"";"https://doi.org/10.1109/ROBOT.1998.680670";0
conf/icra/ChongK97a;inproceedings;2017-05-22;"Accurate odometry and error modelling for a mobile robot.";"ICRA";"1997";"";"https://doi.org/10.1109/ROBOT.1997.606708";0
conf/icra/KamphuisO04;inproceedings;2017-05-22;"Motion Planning for Coherent Groups of Entities.";"ICRA";"2004";"";"https://doi.org/10.1109/ROBOT.2004.1308863";0
conf/icra/HuangCY99;inproceedings;2017-05-22;"Development of a Collaborative and Event-Driven Supply Chain Information System Using Mobile Object Technolog.";"ICRA";"1999";"";"https://doi.org/10.1109/ROBOT.1999.770366";0
conf/icra/LeeLLP01;inproceedings;2017-05-22;"New Architecture for Mobile Robots in Home Network Environment Using Jini.";"ICRA";"2001";"";"https://doi.org/10.1109/ROBOT.2001.932595";0
conf/icra/BurlionP13;inproceedings;2017-05-22;"Keeping a ground point in the camera field of view of a landing UAV.";"ICRA";"2013";"";"https://doi.org/10.1109/ICRA.2013.6631405";0
conf/icra/RobertsDSLM13;inproceedings;2017-05-22;"Soft-matter capacitive sensor for measuring shear and pressure deformation.";"ICRA";"2013";"";"https://doi.org/10.1109/ICRA.2013.6631071";0
conf/icra/MorimotoENHCBA06;inproceedings;2017-06-04;"Modulation of Simple Sinusoidal Patterns by a Coupled Oscillator Model for Biped Walking.";"ICRA";"2006";"";"https://doi.org/10.1109/ROBOT.2006.1641932";0
conf/icra/TricasCE00;inproceedings;2017-05-22;"Some Improvements to the Banker s Algorithm Based on the Process Structure.";"ICRA";"2000";"";"https://doi.org/10.1109/ROBOT.2000.846460";0
conf/icra/FranceschelliGGU10;inproceedings;2017-06-15;"Decentralized stabilization of heterogeneous linear multi-agent systems.";"ICRA";"2010";"";"https://doi.org/10.1109/ROBOT.2010.5509637";0
