dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/computer/Colwell04d;article;2017-05-17;"Brainstorming, Influence, and Icebergs.";"";"2004";"IEEE Computer";"https://doi.org/10.1109/MC.2004.1297291";0
journals/computer/Andrews74;article;2017-05-17;"Digital image processing.";"";"1974";"IEEE Computer";"https://doi.org/10.1109/MC.1974.6323522";0
journals/computer/PieperPS07;article;2017-05-17;"A New Era of Performance Evaluation.";"";"2007";"IEEE Computer";"https://doi.org/10.1109/MC.2007.296";0
journals/computer/Vaucher74;article;2017-05-17;"Hardware description languages in Canada.";"";"1974";"IEEE Computer";"https://doi.org/10.1109/MC.1974.6323413";0
journals/computer/Wolf06;article;2017-05-17;"A Half-Million Strong at Least.";"";"2006";"IEEE Computer";"https://doi.org/10.1109/MC.2006.290";0
journals/computer/Gaff13b;article;2017-05-17;"The Troll under the Bridge.";"";"2013";"IEEE Computer";"https://doi.org/10.1109/MC.2013.252";0
journals/computer/Myers82;article;2017-05-17;"CAD/CAM: The Need for a Broader Focus.";"";"1982";"IEEE Computer";"https://doi.org/10.1109/MC.1982.1653831";0
journals/computer/Stone72;article;2017-05-17;"Book Review.";"";"1972";"IEEE Computer";"https://doi.org/10.1109/C-M.1972.216975";0
journals/computer/FengB09;article;2017-05-17;"Tools and Environments for Multicore and Many-Core Architectures.";"";"2009";"IEEE Computer";"https://doi.org/10.1109/MC.2009.412";0
journals/computer/KarpHS94;article;2015-12-15;"1993 Gordon Bell Prize Winners: Judges' Summary.";"";"1994";"IEEE Computer";"http://doi.ieeecomputersociety.org/10.1109/MC.1994.10000";0
journals/computer/SchirnerECP13;article;2017-05-17;"The Future of Human-in-the-Loop Cyber-Physical Systems.";"";"2013";"IEEE Computer";"https://doi.org/10.1109/MC.2013.31";0
journals/computer/BhandarkarJ75;article;2017-05-17;"Tutorial: Computer System Advantages of Magnetic Bubble Memories.";"";"1975";"IEEE Computer";"https://doi.org/10.1109/C-M.1975.218803";0
journals/computer/El-RewiniMFSJCLRKHT97;article;2017-05-17;"Keeping Pace with an Information Society.";"";"1997";"IEEE Computer";"https://doi.org/10.1109/MC.1997.634840";0
journals/computer/Davis79;article;2017-05-17;"The DoD Initiative in Integrated Circuits.";"";"1979";"IEEE Computer";"https://doi.org/10.1109/MC.1979.1658818";0
journals/computer/ArmstrongW80;article;2017-05-17;"Special Feature Chip-Level Simulation of Microprocessors.";"";"1980";"IEEE Computer";"https://doi.org/10.1109/MC.1980.1653347";0
journals/computer/Paulson11a;article;2017-05-17;"IBM Project Proposes Using Light to Make Chips Faster.";"";"2011";"IEEE Computer";"https://doi.org/10.1109/MC.2011.50";0
journals/computer/Garcia-MaciasAEA11;article;2017-05-17;"Browsing the Internet of Things with Sentient Visors.";"";"2011";"IEEE Computer";"https://doi.org/10.1109/MC.2011.128";0
journals/computer/Townley75;article;2017-05-17;"Structured Programming Applied to Equipment Testing.";"";"1975";"IEEE Computer";"https://doi.org/10.1109/C-M.1975.218996";0
journals/computer/Chien76;article;2017-05-17;"Interactive Pattern Recognition: Techniques and Systems.";"";"1976";"IEEE Computer";"https://doi.org/10.1109/C-M.1976.218582";0
journals/computer/WangenheimW14;article;2017-06-05;"Teaching Game Programming in Family Workshops.";"";"2014";"IEEE Computer";"https://doi.org/10.1109/MC.2014.220";0
journals/computer/HursonPC93;article;2017-05-17;"Object-Oriented database Management Systems: Evolution and Performance Issues.";"";"1993";"IEEE Computer";"https://doi.org/10.1109/2.191991";0
journals/computer/Gunderson70;article;2017-05-17;"Some Effects of Advances in Memory System Technology on Computer Organization.";"";"1970";"IEEE Computer";"https://doi.org/10.1109/C-M.1970.216720";0
journals/computer/KartashevK86;article;2017-05-17;"Design for Adaptability - Guest Editors' Introduction.";"";"1986";"IEEE Computer";"https://doi.org/10.1109/MC.1986.1663144";0
journals/computer/StarmerR75;article;2017-05-17;"Computer-Based Aid to Managing Patients with Chronic Illness.";"";"1975";"IEEE Computer";"https://doi.org/10.1109/C-M.1975.218755";0
journals/computer/Leavitt13c;article;2017-05-17;"Storage Challenge: Where Will All That Big Data Go?";"";"2013";"IEEE Computer";"https://doi.org/10.1109/MC.2013.326";0
journals/computer/Cummings02;article;2017-05-17;"The Evolution of Information Assurance.";"";"2002";"IEEE Computer";"https://doi.org/10.1109/MC.2002.1106181";0
journals/computer/DependahlP76;article;2017-05-17;"File Input/Output Control Logic.";"";"1976";"IEEE Computer";"https://doi.org/10.1109/C-M.1976.218409";0
journals/computer/MullerAC14;article;2017-05-17;"Scaling Astroinformatics: Python + Automatic Parallelization.";"";"2014";"IEEE Computer";"https://doi.org/10.1109/MC.2014.262";0
journals/computer/PankratiusM14;article;2017-05-17;"Computing in Astronomy: To See the Unseen.";"";"2014";"IEEE Computer";"https://doi.org/10.1109/MC.2014.244";0
journals/computer/Bullock99;article;2017-05-17;"Improving the Development System Model.";"";"1999";"IEEE Computer";"https://doi.org/10.1109/2.796145";0
journals/computer/FonashS15;article;2017-05-17;"Cybersecurity: From Months to Milliseconds.";"";"2015";"IEEE Computer";"https://doi.org/10.1109/MC.2015.11";1
journals/computer/Hubschman14;article;2017-05-17;"My Summer with a Robot.";"";"2014";"IEEE Computer";"https://doi.org/10.1109/MC.2014.257";0
journals/computer/Witt85;article;2017-05-17;"Communicating Modules: A Software Design Model for Concurrent Distributed Systems.";"";"1985";"IEEE Computer";"https://doi.org/10.1109/MC.1985.1662686";0
journals/computer/Xy05u;article;2017-05-17;"32 & 16 Years Ago.";"";"2005";"IEEE Computer";"https://doi.org/10.1109/MC.2005.392";0
journals/computer/XX06;article;2017-05-17;"Article Summaries.";"";"2006";"IEEE Computer";"https://doi.org/10.1109/MC.2006.151";0
journals/computer/Montgomery82;article;2017-05-17;"Binging Manual Input into the 20th Century: New Keyboard Concepts.";"";"1982";"IEEE Computer";"https://doi.org/10.1109/MC.1982.1653969";0
journals/computer/MastaglioC95;article;2017-05-17;"A Large-Scale Complex Virtual Environment for Team Training.";"";"1995";"IEEE Computer";"https://doi.org/10.1109/2.391041";0
journals/computer/LudwigPC90;article;2017-05-17;"Extending the Notion of a Window System to Audio.";"";"1990";"IEEE Computer";"https://doi.org/10.1109/2.56873";0
journals/computer/Want04;article;2017-05-17;"Enabling Ubiquitous Sensing with RFID.";"";"2004";"IEEE Computer";"https://doi.org/10.1109/MC.2004.1297315";0
journals/computer/YiS04;article;2017-05-17;"Enhancing Personal Communications with Multimedia.";"";"2004";"IEEE Computer";"https://doi.org/10.1109/MC.2004.24";0
