dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
conf/aaai/TruszczynskiW08;inproceedings;2012-12-10;"Hyperequivalence of Logic Programs with Respect to Supported Models.";"AAAI";"2008";"";"http://www.aaai.org/Library/AAAI/2008/aaai08-089.php";0
conf/aaai/GuoZY15;inproceedings;2015-04-12;"TrustSVD: Collaborative Filtering with Both the Explicit and Implicit Influence of User Trust and of Item Ratings.";"AAAI";"2015";"";"http://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/view/9313";0
conf/aaai/LiuDY0Z16;inproceedings;2016-04-21;"Multiple Kernel ";"AAAI";"2016";"";"http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12115";0
conf/aaai/BrautbarKS10;inproceedings;2010-09-01;"Private and Third-Party Randomization in Risk-Sensitive Equilibrium Concepts.";"AAAI";"2010";"";"http://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1847";0
conf/aaai/SarmaC06;inproceedings;2012-03-19;"Salience in Orientation-Filter Response Measured as Suspicious Coincidence in Natural Images.";"AAAI";"2006";"";"http://www.aaai.org/Library/AAAI/2006/aaai06-031.php";0
conf/aaai/SohrabiRU17;inproceedings;2017-03-06;"State Projection via AI Planning.";"AAAI";"2017";"";"http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14277";0
conf/aaai/NickelRP16;inproceedings;2016-04-21;"Holographic Embeddings of Knowledge Graphs.";"AAAI";"2016";"";"http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12484";0
conf/aaai/LundDCB17;inproceedings;2017-03-06;"Robust Execution of Probabilistic Temporal Plans.";"AAAI";"2017";"";"http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14641";0
conf/aaai/KempTGYU06;inproceedings;2012-03-19;"Learning Systems of Concepts with an Infinite Relational Model.";"AAAI";"2006";"";"http://www.aaai.org/Library/AAAI/2006/aaai06-061.php";0
conf/aaai/Carbonell83;inproceedings;2012-12-12;"Derivational Analogy and Its Role in Problem Solving.";"AAAI";"1983";"";"http://www.aaai.org/Library/AAAI/1983/aaai83-021.php";0
conf/aaai/RiloffWP05;inproceedings;2012-12-10;"Exploiting Subjectivity Classification to Improve Information Extraction.";"AAAI";"2005";"";"http://www.aaai.org/Library/AAAI/2005/aaai05-175.php";0
conf/aaai/Aiello83;inproceedings;2012-12-12;"A Comparative Study of Control Strategies for Expert Systems: Age Implementation of Three Variations of PUFF.";"AAAI";"1983";"";"http://www.aaai.org/Library/AAAI/1983/aaai83-070.php";0
conf/aaai/BentBT10;inproceedings;2010-09-01;"Transmission Network Expansion Planning with Simulation Optimization.";"AAAI";"2010";"";"http://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1685";0
conf/aaai/GogateD07;inproceedings;2012-12-10;"Approximate Counting by Sampling the Backtrack-free Search Space.";"AAAI";"2007";"";"http://www.aaai.org/Library/AAAI/2007/aaai07-030.php";0
conf/aaai/ItoYIM05;inproceedings;2012-12-10;"A New Strategy-Proof Greedy-Allocation Combinatorial Auction Protocol and Its Extension to Open Ascending Auction Protocol.";"AAAI";"2005";"";"http://www.aaai.org/Library/AAAI/2005/aaai05-042.php";0
conf/aaai/Huang15;inproceedings;2015-04-12;"Pruning Game Tree by Rollouts.";"AAAI";"2015";"";"http://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/view/9828";0
conf/aaai/AndersonAA06;inproceedings;2012-03-19;"MedEthEx: A Prototype Medical Ethics Advisor.";"AAAI";"2006";"";"http://www.aaai.org/Library/AAAI/2006/aaai06-292.php";0
conf/aaai/Stillman92;inproceedings;2012-12-11;"The Complexity of Propositional Default Logics.";"AAAI";"1992";"";"http://www.aaai.org/Library/AAAI/1992/aaai92-123.php";0
conf/aaai/GuoDHG17;inproceedings;2017-03-06;"Zero-Shot Recognition via Direct Classifier Learning with Transferred Samples and Pseudo Labels.";"AAAI";"2017";"";"http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14160";0
conf/aaai/1987;proceedings;2011-12-01;"Proceedings of the 6th National Conference on Artificial Intelligence. Seattle, WA, July 1987.";"AAAI";"1987";"";"http://www.aaai.org/Conferences/AAAI/aaai87.php";0
