dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
conf/aaai/AndrewsHT02;inproceedings;2012-12-11;"Multiple Instance Learning with Generalized Support Vector Machines.";"AAAI/IAAI";"2002";"";"http://www.aaai.org/Library/AAAI/2002/aaai02-139.php";0
conf/aaai/Tran99;inproceedings;2012-12-11;"Reasoning about Sensing Actions and Reactivity.";"AAAI/IAAI";"1999";"";"http://www.aaai.org/Library/AAAI/1999/aaai99-163.php";0
conf/aaai/KnoblockMAAMMPT98;inproceedings;2012-12-11;"Modeling Web Sources for Information Integration.";"AAAI/IAAI";"1998";"";"http://www.aaai.org/Library/AAAI/1998/aaai98-029.php";0
conf/aaai/JoslinC98;inproceedings;2012-12-11;""Squeaky Wheel" Optimization.";"AAAI/IAAI";"1998";"";"http://www.aaai.org/Library/AAAI/1998/aaai98-048.php";0
conf/aaai/Srivastava00;inproceedings;2012-12-11;"RealPlan: Decoupling Causal and Resource Reasoning in Planning.";"AAAI/IAAI";"2000";"";"http://www.aaai.org/Library/AAAI/2000/aaai00-125.php";0
conf/aaai/McKeownKHBE99;inproceedings;2012-12-11;"Towards Multidocument Summarization by Reformulation: Progress and Prospects.";"AAAI/IAAI";"1999";"";"http://www.aaai.org/Library/AAAI/1999/aaai99-065.php";0
conf/aaai/GervasioL98;inproceedings;2012-12-11;"Learning to Predict User Operations for Adaptive Scheduling.";"AAAI/IAAI";"1998";"";"http://www.aaai.org/Library/AAAI/1998/aaai98-102.php";0
conf/aaai/SchuurmansG99;inproceedings;2016-11-30;"Efficient exploration for optimizing immediate reward.";"AAAI/IAAI";"1999";"";"http://www.aaai.org/Library/AAAI/1999/aaai99-056.php";0
conf/aaai/Hunter02;inproceedings;2012-12-11;"Measuring Inconsistency in Knowledge via Quasi-Classical Models.";"AAAI/IAAI";"2002";"";"http://www.aaai.org/Library/AAAI/2002/aaai02-011.php";0
conf/aaai/Wellman97;inproceedings;2012-12-11;"Market-Oriented Programming (Abstract).";"AAAI/IAAI";"1997";"";"http://www.aaai.org/Library/AAAI/1997/aaai97-121.php";0
conf/aaai/CalvaneseGL98;inproceedings;2012-12-11;"What can Knowledge Representation do for Semi-Structured Data?";"AAAI/IAAI";"1998";"";"http://www.aaai.org/Library/AAAI/1998/aaai98-028.php";0
conf/aaai/HildumSLMSK97;inproceedings;2012-12-14;"Blackboard Agents for Mixed-Initiative Management of Integrated Process-Planning/Production-Scheduling Solutions Across the Supply Chain.";"AAAI/IAAI";"1997";"";"http://www.aaai.org/Library/IAAI/1997/iaai97-200.php";0
conf/aaai/GlasgowMBGF97;inproceedings;2012-12-14;"MITA: An Information Extraction Approach to Analysis of Free-Form Text in Life Insurance Applications.";"AAAI/IAAI";"1997";"";"http://www.aaai.org/Library/IAAI/1997/iaai97-199.php";0
conf/aaai/Young99;inproceedings;2012-12-11;"Cooperative Plan Identification: Constructing Concise and Effective Plan Descriptions.";"AAAI/IAAI";"1999";"";"http://www.aaai.org/Library/AAAI/1999/aaai99-085.php";0
conf/aaai/KimHG00;inproceedings;2012-12-11;"Situation Awareness with the Limited Visual Attention.";"AAAI/IAAI";"2000";"";"http://www.aaai.org/Library/AAAI/2000/aaai00-162.php";0
conf/aaai/MondererT98;inproceedings;2012-12-11;"Optimal Auctions Revisited.";"AAAI/IAAI";"1998";"";"http://www.aaai.org/Library/AAAI/1998/aaai98-005.php";0
