dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
conf/aaai/Melli96;inproceedings;2012-12-11;"Ad Hoc Attribute-Value Prediction.";"AAAI/IAAI, Vol. 2";"1996";"";"http://www.aaai.org/Library/AAAI/1996/aaai96-247.php";0
conf/aaai/BraunlKLM96;inproceedings;2012-12-11;"CoMRoS: Cooperative Mobile Robots Stuttgart.";"AAAI/IAAI, Vol. 2";"1996";"";"http://www.aaai.org/Library/AAAI/1996/aaai96-204.php";0
conf/aaai/Struve96;inproceedings;2012-12-14;"The SIGNAL Expert System.";"AAAI/IAAI, Vol. 2";"1996";"";"http://www.aaai.org/Library/IAAI/1996/iaai96-283.php";0
conf/aaai/SimmonsTAGHKMNO96;inproceedings;2012-12-11;"Amelia.";"AAAI/IAAI, Vol. 2";"1996";"";"http://www.aaai.org/Library/AAAI/1996/aaai96-211.php";0
conf/aaai/Boyan96;inproceedings;2012-12-11;"A Reinforcement Learning Framework for Combinatorial Optimization.";"AAAI/IAAI, Vol. 2";"1996";"";"http://www.aaai.org/Library/AAAI/1996/aaai96-230.php";0
conf/aaai/SubramanianM96;inproceedings;2012-12-11;"Qualitative Multiple-Fault Diagnosis of Continuous Dynamic Systems Using Behavioral Modes.";"AAAI/IAAI, Vol. 2";"1996";"";"http://www.aaai.org/Library/AAAI/1996/aaai96-143.php";0
conf/aaai/BaralFGMSW96;inproceedings;2012-12-11;"A Reactive Mobile Robot Based on a Formal Theory of Action.";"AAAI/IAAI, Vol. 2";"1996";"";"http://www.aaai.org/Library/AAAI/1996/aaai96-203.php";0
conf/aaai/ParekhH96;inproceedings;2012-12-11;"An Incremental Interactive Algorithm for Regular Grammar Inference.";"AAAI/IAAI, Vol. 2";"1996";"";"http://www.aaai.org/Library/AAAI/1996/aaai96-248.php";0
conf/aaai/WorrestZWG96;inproceedings;2012-12-14;"SSCFI: Autonomous Fault Isolation in Communications Circuits.";"AAAI/IAAI, Vol. 2";"1996";"";"http://www.aaai.org/Library/IAAI/1996/iaai96-287.php";0
conf/aaai/KamberS96;inproceedings;2012-12-11;"Proposed Interestingness Measure for Characteristic Rules.";"AAAI/IAAI, Vol. 2";"1996";"";"http://www.aaai.org/Library/AAAI/1996/aaai96-244.php";0
