dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/talg/ColletteDILM12;article;2017-01-06;"Entropy, triangulation, and point location in planar subdivisions.";"";"2012";"ACM Trans. Algorithms";"http://doi.acm.org/10.1145/2229163.2229173";0
journals/talg/PritchardT11;article;2017-01-06;"Fast computation of small cuts via cycle space sampling.";"";"2011";"ACM Trans. Algorithms";"http://doi.acm.org/10.1145/2000807.2000814";0
journals/talg/HansenKTZ17;article;2017-08-28;"Hollow Heaps.";"";"2017";"ACM Trans. Algorithms";"http://doi.acm.org/10.1145/3093240";0
journals/talg/Janson05;article;2016-03-09;"Individual displacements for linear probing hashing with different insertion policies.";"";"2005";"ACM Trans. Algorithms";"http://doi.acm.org/10.1145/1103963.1103964";0
journals/talg/HershbergerSB07;article;2017-01-06;"On the difficulty of some shortest path problems.";"";"2007";"ACM Trans. Algorithms";"http://doi.acm.org/10.1145/1219944.1219951";0
journals/talg/Jez15;article;2016-03-09;"Faster Fully Compressed Pattern Matching by Recompression.";"";"2015";"ACM Trans. Algorithms";"http://doi.acm.org/10.1145/2631920";0
journals/talg/CoppersmithNPTW11;article;2017-06-08;"The optimality of the online greedy algorithm in carpool and chairman assignment problems.";"";"2011";"ACM Trans. Algorithms";"http://doi.acm.org/10.1145/1978782.1978792";0
journals/talg/FeigenbaumJS14;article;2017-06-15;"Approximate Privacy: Foundations and Quantification.";"";"2014";"ACM Trans. Algorithms";"http://doi.acm.org/10.1145/2601067";0
journals/talg/CarvalhoC05;article;2016-03-09;"An ";"";"2005";"ACM Trans. Algorithms";"http://doi.acm.org/10.1145/1103963.1103969";0
journals/talg/Kolluri08;article;2017-01-03;"Provably good moving least squares.";"";"2008";"ACM Trans. Algorithms";"http://doi.acm.org/10.1145/1361192.1361195";0
journals/talg/RodittyTZ08;article;2017-01-06;"Roundtrip spanners and roundtrip routing in directed graphs.";"";"2008";"ACM Trans. Algorithms";"http://doi.acm.org/10.1145/1367064.1367069";0
journals/talg/GiesenJL12;article;2017-01-06;"Approximating parameterized convex optimization problems.";"";"2012";"ACM Trans. Algorithms";"http://doi.acm.org/10.1145/2390176.2390186";0
