dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/talip/TepperX10;article;2017-01-06;"Inducing Morphemes Using Light Knowledge.";"";"2010";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1731035.1731038";0
journals/talip/IidaIM07;article;2017-01-06;"Zero-anaphora resolution by learning rich syntactic pattern features.";"";"2007";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1316457.1316458";0
journals/talip/Ng10;article;2017-01-06;"The State of the Journal.";"";"2010";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1838745.1838750";0
journals/talip/GuoWG10;article;2017-01-06;"A Linguistically Inspired Statistical Model for Chinese Punctuation Generation.";"";"2010";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1781134.1781136";0
journals/talip/StrasselMC03;article;2006-02-09;"Linguistic resource creation for research and technology development: A recent experiment.";"";"2003";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/974740.974743";0
journals/talip/ShiDG03;article;2006-02-09;"Offline handwritten Chinese character recognition by radical decomposition.";"";"2003";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/964161.964163";0
journals/talip/ShibataK12;article;2017-01-03;"Predicate-Argument Structure-Based Textual Entailment Recognition System Exploiting Wide-Coverage Lexical Knowledge.";"";"2012";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/2382593.2382598";0
journals/talip/MaW09;article;2017-01-06;"Bilingually Motivated Word Segmentation for Statistical Machine Translation.";"";"2009";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1526252.1526255";0
journals/talip/LiuLTCWL11;article;2017-01-06;"Visually and Phonologically Similar Characters in Incorrect Chinese Words: Analyses, Identification, and Applications.";"";"2011";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1967293.1967297";0
journals/talip/LeeDSLJWSCH08;article;2017-01-06;"Boosting Chinese Question Answering with Two Lightweight Methods: ABSPs and SCO-QAT.";"";"2008";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1450295.1450297";0
journals/talip/LinaresBS04;article;2006-02-09;"A hybrid language model based on a combination of N-grams and stochastic context-free grammars.";"";"2004";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1034780.1034783";0
journals/talip/SongN06;article;2017-06-08;"Introduction to special issue on reasoning in natural language information processing.";"";"2006";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1236181.1236182";0
journals/talip/BaldwinKBFMT10;article;2017-06-08;"A Reexamination of MRD-Based Word Sense Disambiguation.";"";"2010";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1731035.1731039";0
journals/talip/KwokCD05;article;2006-04-04;"Rich results from poor resources: NTCIR-4 monolingual and cross-lingual retrieval of korean texts using chinese and english.";"";"2005";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1105696.1105700";0
journals/talip/AdrianiANTW07;article;2017-01-06;"Stemming Indonesian: A confix-stripping approach.";"";"2007";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1316457.1316459";0
journals/talip/XiaoZZ11;article;2017-01-06;"Language Modeling for Syntax-Based Machine Translation Using Tree Substitution Grammars: A Case Study on Chinese-English Translation.";"";"2011";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/2025384.2025386";0
journals/talip/Sproat14;article;2015-05-07;"The state of the journal.";"";"2014";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/2656620";0
journals/talip/MimaAM06;article;2007-03-06;"Terminology-based knowledge mining for new knowledge discovery.";"";"2006";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1131348.1131354";0
journals/talip/ChandaPT09;article;2017-06-08;"Word-Wise Thai and Roman Script Identification.";"";"2009";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1568292.1568294";0
journals/talip/LarkeyCA03;article;2006-02-09;"Hindi CLIR in thirty days.";"";"2003";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/974740.974746";0
journals/talip/KuoLY07;article;2017-06-15;"A phonetic similarity model for automatic extraction of transliteration pairs.";"";"2007";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1282080.1282081";0
journals/talip/IidaIM05;article;2006-04-04;"Anaphora resolution by antecedent identification followed by anaphoricity determination.";"";"2005";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1113308.1113312";0
journals/talip/PaikPP14;article;2015-05-07;"Incremental blind feedback: An effective approach to automatic query expansion.";"";"2014";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/2611521";0
journals/talip/ChenZA09;article;2017-01-06;"Two-Stage Hypotheses Generation for Spoken Language Translation.";"";"2009";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1482343.1482347";0
journals/talip/KatoFMK05;article;2006-04-04;"Are open-domain question answering technologies useful for information access dialogues?---an empirical study and a proposal of a novel challenge.";"";"2005";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1111667.1111669";0
journals/talip/SunOTW13;article;2017-01-06;"Learning Abbreviations from Chinese and English Terms by Modeling Non-Local Information.";"";"2013";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/2461316.2461317";0
journals/talip/SahariaSK14;article;2015-05-07;"Stemming resource-poor Indian languages.";"";"2014";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/2629670";0
journals/talip/CarpuatFN06;article;2017-06-08;"Aligning word senses using bilingual corpora.";"";"2006";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1165255.1165256";0
journals/talip/IzumiIASKS13;article;2017-01-03;"Normalizing Complex Functional Expressions in Japanese Predicates: Linguistically-Directed Rule-Based Paraphrasing and Its Application.";"";"2013";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/2499955.2499959";0
journals/talip/GaoNZ06;article;2007-10-23;"Statistical query translation models for cross-language information retrieval.";"";"2006";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1236181.1236184";0
journals/talip/LiuZWCZ14;article;2015-04-21;"Discriminative Training for Log-Linear Based SMT: Global or Local Methods.";"";"2014";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/2637478";0
journals/talip/MayBNW03;article;2008-12-02;"Surprise! What's in a Cebuano or Hindi Name?";"";"2003";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/979872.979873";0
journals/talip/KimSLKLYC06;article;2009-07-15;"Two-phase learning for biological event extraction and verification.";"";"2006";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1131348.1131353";0
journals/talip/WuL09;article;2017-06-15;"Introduction to the Special Issue on Recent Advances in Asian Language Spoken Document Retrieval.";"";"2009";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1482343.1482344";0
journals/talip/YoshiokaH05;article;2006-04-04;"On a combination of probabilistic and boolean ir models for WWW document retrieval.";"";"2005";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1111667.1111674";0
journals/talip/QiuCLH12;article;2017-01-03;"Recognizing Inference in Texts with Markov Logic Networks.";"";"2012";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/2382593.2382597";0
journals/talip/ZhangZT04;article;2009-03-29;"An evaluation of statistical spam filtering techniques.";"";"2004";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1039621.1039625";0
journals/talip/Myaeng04;article;2006-02-09;"Introduction to the special issue on computer processing of oriental languages.";"";"2004";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1039621.1039622";0
journals/talip/KandoMS08;article;2017-01-06;"Introduction to the NTCIR-6 Special Issue.";"";"2008";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1362782.1362783";0
journals/talip/LiZ11;article;2017-01-06;"Unified Semantic Role Labeling for Verbal and Nominal Predicates in the Chinese Language.";"";"2011";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/2002980.2002983";0
journals/talip/ShiradoMMI06;article;2007-03-06;"Using Japanese honorific expressions: A psychological study.";"";"2006";"ACM Trans. Asian Lang. Inf. Process.";"http://doi.acm.org/10.1145/1165255.1165258";0
