dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tochi/PohlDR17;article;2017-07-17;"Beyond Just Text: Semantic Emoji Similarity Modeling to Support Expressive Communication 👫📲😃.";"";"2017";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/3039685";0
journals/tochi/GrinterECPSYCTRGB09;article;2017-01-09;"The ins and outs of home networking: The case for useful and usable domestic networking.";"";"2009";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/1534903.1534905";0
journals/tochi/Deering95;article;2003-11-24;"HoloSketch: A Virtual Reality Sketching/Animation Tool.";"";"1995";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/210079.210087";0
journals/tochi/BegoleRS99;article;2003-11-24;"Flexible collaboration transparency: supporting worker independence in replicated application-sharing systems.";"";"1999";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/319091.319096";0
journals/tochi/WangM15;article;2017-01-03;"Internet Censorship in China: Examining User Awareness and Attitudes.";"";"2015";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/2818997";0
journals/tochi/CarrascalOC15;article;2017-09-16;"To Call or to Recall? That's the Research Question.";"";"2015";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/2656211";0
journals/tochi/XamboHMJDL13;article;2017-06-09;"Let's jam the reactable: Peer learning during musical improvisation with a tabletop tangible interface.";"";"2013";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/2530541";0
journals/tochi/FengS04;article;2006-02-09;"Using confidence scores to improve hands-free speech based navigation in continuous dictation systems.";"";"2004";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/1035575.1035576";0
journals/tochi/DesoldaAM17;article;2017-09-16;"Empowering End Users to Customize their Smart Environments: Model, Composition Paradigms, and Domain-Specific Tools.";"";"2017";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/3057859";0
journals/tochi/CorterNECIM07;article;2017-01-09;"Constructing reality: A study of remote, hands-on, and simulated laboratories.";"";"2007";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/1275511.1275513";0
journals/tochi/OlsonWOZ17;article;2017-04-20;"How People Write Together Now: Beginning the Investigation with Advanced Undergraduates in a Project Course.";"";"2017";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/3038919";0
journals/tochi/OHaraHMST13;article;2017-01-09;"On the naturalness of touchless: Putting the "interaction" back into NUI.";"";"2013";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/2442106.2442111";0
journals/tochi/MetaxasM17;article;2017-05-22;"Natural Contextual Reasoning for End Users.";"";"2017";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/3057860";0
journals/tochi/LiDF12;article;2017-01-09;"Using context to reveal factors that affect physical activity.";"";"2012";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/2147783.2147790";0
journals/tochi/MyersHP00;article;2003-11-24;"Past, present, and future of user interface software tools.";"";"2000";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/344949.344959";0
journals/tochi/RenM00;article;2003-11-24;"Improving selection performance on pen-based systems: a study of pen-based interaction for selection tasks.";"";"2000";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/355324.355328";0
journals/tochi/SouteVWM17;article;2017-10-05;"Design and Evaluation of RaPIDO, A Platform for Rapid Prototyping of Interactive Outdoor Games.";"";"2017";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/3105704";0
journals/tochi/Sutcliffe00;article;2003-11-24;"On the effective use and reuse of HCI knowledge.";"";"2000";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/353485.353488";0
journals/tochi/SchwartzSRW13;article;2017-01-09;"Uncovering practices of making energy consumption accountable: A phenomenological inquiry.";"";"2013";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/2463579.2463583";0
journals/tochi/KwonSB11;article;2017-01-09;"Socio-cognitive aspects of interoperability: Understanding communication task environments among different organizations.";"";"2011";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/2063231.2063234";0
journals/tochi/Redstrom08a;article;2017-01-09;"Tangled interaction: On the expressiveness of tangible user interfaces.";"";"2008";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/1460355.1460358";0
journals/tochi/Dourish98;article;2003-11-24;"Using Metalevel Techniques in a Flexible Toolkit for CSCW Applications.";"";"1998";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/287675.287676";0
journals/tochi/AlanCRFRJ16;article;2017-01-03;"Tariff Agent: Interacting with a Future Smart Energy System at Home.";"";"2016";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/2943770";0
journals/tochi/Hinckley16d;article;2017-01-03;"The Editor's Spotlight: TOCHI Issue 23: 4.";"";"2016";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/2978275";0
journals/tochi/SallnasRS00;article;2003-11-24;"Supporting presence in collaborative environments by haptic force feedback.";"";"2000";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/365058.365086";0
journals/tochi/Salvucci09;article;2017-06-09;"Rapid prototyping and evaluation of in-vehicle interfaces.";"";"2009";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/1534903.1534906";0
journals/tochi/BaileyI08;article;2017-01-09;"Understanding changes in mental workload during execution of goal-directed tasks and its application for interruption management.";"";"2008";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/1314683.1314689";0
journals/tochi/LedermanWGBA14;article;2017-06-09;"Moderated online social therapy: Designing and evaluating technology for mental health.";"";"2014";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/2513179";1
journals/tochi/Berlage94;article;2003-11-24;"A Selective Undo Mechanism for Graphical User Interfaces Based on Command Objects.";"";"1994";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/196699.196721";0
journals/tochi/BurnettYS02;article;2003-11-24;"Appendices A-D: A scalable method for deductive generalization in the spreadsheet paradigm.";"";"2002";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/586081.586082";0
journals/tochi/FuKKH10;article;2017-06-14;"Semantic imitation in social tagging.";"";"2010";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/1806923.1806926";1
journals/tochi/MacKenzieF10;article;2017-01-09;"SAK: Scanning ambiguous keyboard for efficient one-key text entry.";"";"2010";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/1806923.1806925";0
journals/tochi/ParkCR15;article;2015-04-20;"Technological and Organizational Adaptation of EMR Implementation in an Emergency Department.";"";"2015";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/2656213";0
journals/tochi/JacobDM99;article;2015-07-02;"A Software Model and Specification Language for Non-WIMP User Interfaces.";"";"1999";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/310641.310642";0
journals/tochi/ModugnoCM97;article;2003-11-24;"Graphical Representation of Programs in a Demonstrational Visual Shell - An Empirical Evaluation.";"";"1997";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/264645.264659";0
journals/tochi/SarcevicMB12;article;2017-01-09;"Teamwork Errors in Trauma Resuscitation.";"";"2012";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/2240156.2240161";0
journals/tochi/ReevesMTBMW15;article;2017-06-09;"The Challenges of Using Biodata in Promotional Filmmaking.";"";"2015";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/2699758";0
journals/tochi/AkikiBY17;article;2017-05-22;"Visual Simple Transformations: Empowering End-Users to Wire Internet of Things Objects.";"";"2017";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/3057857";0
journals/tochi/HinckleyPHS05;article;2006-02-09;"Foreground and background interaction with sensor-enhanced mobile devices.";"";"2005";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/1057237.1057240";0
journals/tochi/GrassoEF98;article;2003-11-24;"The Integrality of Speech in Multimodal Interfaces.";"";"1998";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/300520.300521";0
journals/tochi/ObrenovicM11;article;2017-01-09;"Sketching interactive systems with sketchify.";"";"2011";"ACM Trans. Comput.-Hum. Interact.";"http://doi.acm.org/10.1145/1959022.1959026";0
