dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tocl/Stone05;article;2006-02-09;"Disjunction and modular goal-directed proof search.";"";"2005";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1071596.1071599";0
journals/tocl/ChoiLS07;article;2017-06-14;"Removing propagation redundant constraints in redundant modeling.";"";"2007";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1276920.1276925";0
journals/tocl/BenediktCB16;article;2017-06-09;"Effective Interpolation and Preservation in Guarded Logics.";"";"2016";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2814570";0
journals/tocl/MolinaroSS14;article;2017-06-09;"Super-Solutions: Succinctly Representing Solutions in Abductive Annotated Probabilistic Temporal Logic.";"";"2014";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2627354";0
journals/tocl/TuckerZ04;article;2006-02-09;"Abstract versus concrete computation on metric partial algebras.";"";"2004";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1024922.1024924";0
journals/tocl/BistarelliMR06;article;2017-06-09;"Soft concurrent constraint programming.";"";"2006";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1149114.1149118";0
journals/tocl/StoneH06;article;2017-03-14;"Extensional equivalence and singleton types.";"";"2006";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1183278.1183281";0
journals/tocl/LumsdaineW15;article;2017-01-03;"The Local Universes Model: An Overlooked Coherence Construction for Dependent Type Theories.";"";"2015";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2754931";0
journals/tocl/0001VD16;article;2017-01-03;"On Well-Founded Set-Inductions and Locally Monotone Operators.";"";"2016";"ACM Trans. Comput. Log.";"http://dl.acm.org/citation.cfm?id=2963096";0
journals/tocl/AspertiR02;article;2017-06-09;"Intuitionistic Light Affine Logic.";"";"2002";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/504077.504081";0
journals/tocl/ComonNNR03;article;2003-11-21;"Deciding the confluence of ordered term rewrite systems.";"";"2003";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/601775.601777";0
journals/tocl/RabeS13;article;2017-01-03;"Logical relations for a logical framework.";"";"2013";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2536740.2536741";0
journals/tocl/FilmusLMNV15;article;2017-09-16;"From Small Space to Small Width in Resolution.";"";"2015";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2746339";0
journals/tocl/MomiglianoP03;article;2017-09-16;"Higher-order pattern complement and the strict lambda-calculus.";"";"2003";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/937555.937559";0
journals/tocl/SonBTM06;article;2017-10-19;"Domain-dependent knowledge in answer set planning.";"";"2006";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1183278.1183279";0
journals/tocl/DurandK12;article;2017-01-09;"Hierarchies in Dependence Logic.";"";"2012";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2362355.2362359";0
journals/tocl/DemriD15;article;2017-01-03;"Two-Variable Separation Logic and Its Inner Circle.";"";"2015";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2724711";0
journals/tocl/DawarGK04;article;2017-06-09;"Inflationary fixed points in modal logic.";"";"2004";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/976706.976710";0
journals/tocl/HeymansNV08;article;2017-01-09;"Open answer set programming with guarded programs.";"";"2008";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1380572.1380575";0
journals/tocl/BruscoliG09;article;2017-09-16;"On the proof complexity of deep inference.";"";"2009";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1462179.1462186";0
journals/tocl/AlbertiCGLMT08;article;2017-07-10;"Verifiable agent interaction in abductive logic programming: The SCIFF framework.";"";"2008";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1380572.1380578";0
journals/tocl/Ben-SassonH10;article;2017-01-09;"Lower bounds for bounded depth Frege proofs via Pudlák-Buss games.";"";"2010";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1740582.1740587";0
journals/tocl/LanotteT09;article;2017-06-09;"Probabilistic bisimulation as a congruence.";"";"2009";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1462179.1462181";0
journals/tocl/Kartzow13;article;2017-01-09;"First-Order Logic on Higher-Order Nested Pushdown Trees.";"";"2013";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2480759.2480760";0
journals/tocl/IgnjatovicS04;article;2017-06-09;"Some applications of logic to feasibility in higher types.";"";"2004";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/976706.976713";0
journals/tocl/LevyV12;article;2017-06-09;"Nominal Unification from a Higher-Order Perspective.";"";"2012";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2159531.2159532";0
journals/tocl/BiernackaD07;article;2017-01-09;"A concrete framework for environment machines.";"";"2007";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1297658.1297664";0
journals/tocl/EiterFLPP04;article;2017-09-16;"A logic programming approach to knowledge-state planning: Semantics and complexity.";"";"2004";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/976706.976708";0
journals/tocl/FuriaR10;article;2017-01-09;"A theory of sampling for continuous-time metric temporal logic.";"";"2010";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1838552.1838560";0
journals/tocl/FazzingaFP15;article;2017-06-09;"On the Complexity of Probabilistic Abstract Argumentation Frameworks.";"";"2015";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2749463";0
journals/tocl/ImpagliazzoS06;article;2006-08-22;"Constant-depth Frege systems with counting axioms polynomially simulate Nullstellensatz refutations.";"";"2006";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1131313.1131314";0
journals/tocl/Voronkov01;article;2003-11-21;"How to optimize proof-search in modal logics: new methods of proving redundancy criteria for sequent calculi.";"";"2001";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/371316.371511";0
journals/tocl/FriedmanHK00;article;2003-11-21;"First-order conditional logic for default reasoning revisited.";"";"2000";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/359496.359500";0
journals/tocl/Ratschan06;article;2007-03-06;"Efficient solving of quantified inequality constraints over the real numbers.";"";"2006";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1183278.1183282";0
journals/tocl/BonchiBHPRS14;article;2017-01-03;"Algebra-coalgebra duality in Brzozowski's minimization algorithm.";"";"2014";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2490818";0
journals/tocl/GrooteJKW17;article;2017-06-29;"An ";"";"2017";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/3060140";0
journals/tocl/McIverM07;article;2017-01-09;"Results on the quantitative µ-calculus qMµ.";"";"2007";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1182613.1182616";0
journals/tocl/LazicS15;article;2017-06-09;"Nonelementary Complexities for Branching VASS, MELL, and Extensions.";"";"2015";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2733375";0
journals/tocl/BasinCM04;article;2006-02-09;"Reflective metalogical frameworks.";"";"2004";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1013560.1013566";0
journals/tocl/Bernardo04;article;2017-06-09;"Symbolic semantic rules for producing compact STGLAs from value passing process descriptions.";"";"2004";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1013560.1013563";0
journals/tocl/GoldblattJ12;article;2017-01-09;"Well-structured program equivalence is highly undecidable.";"";"2012";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2287718.2287726";0
journals/tocl/AehligJ05;article;2006-02-09;"An elementary fragment of second-order lambda calculus.";"";"2005";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1055686.1055695";0
journals/tocl/BlassG08a;article;2017-01-09;"Abstract state machines capture parallel algorithms: Correction and extension.";"";"2008";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1352582.1352587";0
journals/tocl/Rabinovich07;article;2017-01-09;"On compositionality and its limitations.";"";"2007";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1182613.1182617";0
journals/tocl/MesnardR03a;article;2003-11-21;"On proving left termination of constraint logic programs.";"";"2003";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/635499.635503";0
journals/tocl/Arieli07;article;2017-01-09;"Paraconsistent reasoning and preferential entailments by signed quantified Boolean formulae.";"";"2007";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1243996.1244001";0
journals/tocl/DurandG07;article;2017-01-09;"First-order queries on structures of bounded degree are computable with constant delay.";"";"2007";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1276920.1276923";0
journals/tocl/DovierPR08;article;2017-06-14;"A uniform approach to constraint-solving for lists, multisets, compact lists, and sets.";"";"2008";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1352582.1352583";0
journals/tocl/CarayolHS14;article;2015-05-07;"Randomization in Automata on Infinite Trees.";"";"2014";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2629336";0
journals/tocl/McKinley13;article;2017-01-09;"Proof Nets for Herbrand's Theorem.";"";"2013";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2422085.2422090";0
journals/tocl/SkarlatidisPAV15;article;2015-04-21;"Probabilistic Event Calculus for Event Recognition.";"";"2015";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2699916";0
journals/tocl/ZanardiniG14;article;2015-04-21;"Inference of Field-Sensitive Reachability and Cyclicity.";"";"2014";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2629478";0
journals/tocl/AfratiCF05;article;2006-02-09;"Datalog programs and their persistency numbers.";"";"2005";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1071596.1071597";0
journals/tocl/AdamsL10;article;2017-01-09;"Weyl's predicative classical mathematics as a logic-enriched type theory.";"";"2010";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1656242.1656246";0
journals/tocl/Baelde12;article;2017-01-09;"Least and Greatest Fixed Points in Linear Logic.";"";"2012";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2071368.2071370";0
journals/tocl/Kawamura09;article;2017-01-09;"Differential recursion.";"";"2009";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/1507244.1507252";0
journals/tocl/KazanaS13;article;2017-01-03;"Enumeration of monadic second-order queries on trees.";"";"2013";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/2528928";0
journals/tocl/BonoBC02;article;2003-11-21;"Typed interpretations of extensible objects.";"";"2002";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/566385.566389";0
journals/tocl/EngelfrietH01;article;2003-11-21;"MSO definable string transductions and two-way finite-state transducers.";"";"2001";"ACM Trans. Comput. Log.";"http://doi.acm.org/10.1145/371316.371512";0
