dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tocs/Kotz97;article;2003-11-24;"Disk-Directed I/O for MIMD Multiprocessors.";"";"1997";"ACM Trans. Comput. Syst.";"http://doi.acm.org/10.1145/244764.244766";0
journals/tocs/NiehYN03;article;2003-11-24;"Measuring thin-client performance using slow-motion benchmarking.";"";"2003";"ACM Trans. Comput. Syst.";"http://doi.acm.org/10.1145/592637.592640";0
journals/tocs/EnckGHTCCJMS14;article;2016-11-17;"TaintDroid: An Information-Flow Tracking System for Realtime Privacy Monitoring on Smartphones.";"";"2014";"ACM Trans. Comput. Syst.";"http://doi.acm.org/10.1145/2619091";0
journals/tocs/LazowskaZCZ86;article;2006-04-03;"File Access Performance of Diskless Workstations.";"";"1986";"ACM Trans. Comput. Syst.";"http://doi.acm.org/10.1145/6420.6423";0
journals/tocs/RoederS10;article;2017-01-09;"Proactive obfuscation.";"";"2010";"ACM Trans. Comput. Syst.";"http://doi.acm.org/10.1145/1813654.1813655";0
journals/tocs/HartmanO95;article;2003-11-24;"The Zebra Striped Network File System";"";"1995";"ACM Trans. Comput. Syst.";"http://doi.acm.org/10.1145/210126.210131";0
journals/tocs/GrimmDLMSABBGW04;article;2006-02-09;"System support for pervasive applications.";"";"2004";"ACM Trans. Comput. Syst.";"http://doi.acm.org/10.1145/1035582.1035584";0
journals/tocs/ChenCWSCWZG17;article;2017-07-31;"Fast In-Memory Transaction Processing Using RDMA and HTM.";"";"2017";"ACM Trans. Comput. Syst.";"http://doi.acm.org/10.1145/3092701";0
journals/tocs/BadamoCZY16;article;2017-01-03;"Identifying Power-Efficient Multicore Cache Hierarchies via Reuse Distance Analysis.";"";"2016";"ACM Trans. Comput. Syst.";"http://doi.acm.org/10.1145/2851503";0
journals/tocs/KarnP91;article;2006-04-03;"Improving Round-Trip Time Estimates in Reliable Transport Protocols.";"";"1991";"ACM Trans. Comput. Syst.";"http://doi.acm.org/10.1145/118544.118549";0
journals/tocs/NightingaleCF06;article;2007-03-06;"Speculative execution in a distributed file system.";"";"2006";"ACM Trans. Comput. Syst.";"http://doi.acm.org/10.1145/1189256.1189258";0
journals/tocs/GontmakherS00;article;2003-11-24;"Java consistency: nonoperational characterizations for Java memory behavior.";"";"2000";"ACM Trans. Comput. Syst.";"http://doi.acm.org/10.1145/362670.362673";0
