dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tods/Kuo96;article;2012-01-25;"Model and Verification of a Data Manager Based on ARIES.";"";"1996";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/236711.236712";0
journals/tods/LiuDC11;article;2017-01-11;"Generating sound workflow views for correct provenance analysis.";"";"2011";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/1929934.1929940";0
journals/tods/BunemanO96;article;2012-01-25;"Polymorphism and Type Inference in Database Programming.";"";"1996";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/227604.227609";0
journals/tods/BunemanFN82;article;2017-03-30;"An Implementation Technique for Database Query Languages.";"";"1982";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/319702.319711";0
journals/tods/KaminskiKG17;article;2017-08-30;"Query Nesting, Assignment, and Aggregation in SPARQL 1.1.";"";"2017";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/3083898";0
journals/tods/Graefe10;article;2017-01-11;"A survey of B-tree locking techniques.";"";"2010";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/1806907.1806908";0
journals/tods/BlakeleyCL89;article;2017-03-30;"Updating Derived Relations: Detecting Irrelevant and Autonomously Computable Updates.";"";"1989";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/68012.68015";0
journals/tods/MaierMS79;article;2017-03-30;"Testing Implications of Data Dependencies.";"";"1979";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/320107.320115";0
journals/tods/KuperV93;article;2017-03-30;"The Logical Data Model.";"";"1993";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/155271.155274";0
journals/tods/JalutaSS06;article;2006-08-21;"B-tree concurrency control and recovery in page-server database systems.";"";"2006";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/1132863.1132866";1
journals/tods/Sacco86;article;2017-03-30;"Fragmentation: A Technique for Efficient Query Processing.";"";"1986";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/5922.5638";0
journals/tods/BayerHR80;article;2017-03-30;"Parallelism and Recovery in Database Systems.";"";"1980";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/320141.320146";0
journals/tods/Schlorer81;article;2017-03-30;"Security of Statistical Databases: Multidimensional Transformation.";"";"1981";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/319540.319555";0
journals/tods/Thomasian93;article;2017-03-30;"Two-Phase Locking Performance and Its Thrashing Behavior.";"";"1993";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/169725.169720";0
journals/tods/BurdickFKPT16;article;2017-01-03;"A Declarative Framework for Linking Entities.";"";"2016";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/2894748";0
journals/tods/TendickM94;article;2012-01-25;"A Modified Random Perturbation Method for Database Security.";"";"1994";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/174638.174641";0
journals/tods/HsuZ92;article;2017-03-30;"Performance Evaluation of Cautious Waiting.";"";"1992";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/132271.132275";0
journals/tods/Jiao06;article;2007-03-06;"Maintaining stream statistics over multiscale sliding windows.";"";"2006";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/1189773";0
journals/tods/Sellis88;article;2017-06-14;"Multiple-Query Optimization.";"";"1988";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/42201.42203";0
journals/tods/NavatheF76;article;2012-01-25;"Restructuring for Large Data Bases: Three Levels of Abstraction.";"";"1976";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/320455.320461";0
journals/tods/AggarwalY08;article;2017-01-11;"On static and dynamic methods for condensation-based privacy-preserving data mining.";"";"2008";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/1331904.1331906";0
journals/tods/JungHFHY14;article;2015-04-20;"A Scalable Lock Manager for Multicores.";"";"2014";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/2691190.2691192";0
journals/tods/LuLCWS14;article;2017-01-03;"Efficient Algorithms and Cost Models for Reverse Spatial-Keyword ";"";"2014";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/2576232";0
journals/tods/Bohm00;article;2003-11-19;"A cost model for query processing in high dimensional data spaces.";"";"2000";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/357775.357776";0
journals/tods/KemmeA00;article;2003-11-19;"A new approach to developing and implementing eager database replication protocols.";"";"2000";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/363951.363955";0
journals/tods/Batory79;article;2017-03-30;"On Searching Transposed Files.";"";"1979";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/320107.320125";0
journals/tods/CahillRF09;article;2017-01-11;"Serializable isolation for snapshot databases.";"";"2009";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/1620585.1620587";0
journals/tods/SarmaLGMH13;article;2017-01-03;"Consistent thinning of large geographical data for map visualization.";"";"2013";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/2539032.2539034";0
journals/tods/CiacciaP02;article;2003-11-19;"Searching in metric spaces with user-defined and approximate distances.";"";"2002";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/582410.582412";0
journals/tods/Stemple76;article;2012-01-25;"A Data Base Management Facility for Automatic Generation of Data Base Managers.";"";"1976";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/320434.320452";0
journals/tods/BoralD81;article;2017-03-30;"Processor Allocation Strategies for Multiprocessor Database Machines.";"";"1981";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/319566.319570";0
journals/tods/WangY12;article;2017-01-03;"Revisiting answering tree pattern queries using views.";"";"2012";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/2338626.2338631";0
journals/tods/SharafCLP08;article;2017-01-11;"Algorithms and metrics for processing multiple heterogeneous continuous queries.";"";"2008";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/1331904.1331909";0
journals/tods/HurtadoGM05;article;2017-06-09;"Capturing summarizability with integrity constraints in OLAP.";"";"2005";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/1093382.1093388";0
journals/tods/TattiMC14;article;2015-04-29;"Finding Robust Itemsets under Subsampling.";"";"2014";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/2656261";0
journals/tods/RietveldW15;article;2017-01-03;"Reducing Layered Database Applications to their Essence through Vertical Integration.";"";"2015";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/2818180";0
journals/tods/PangDR05;article;2017-06-09;"Incremental maintenance of shortest distance and transitive closure in first-order logic and SQL.";"";"2005";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/1093382.1093384";0
journals/tods/Ariav86;article;2017-03-30;"A Temporally Oriented Data Model.";"";"1986";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/7239.7350";0
journals/tods/SchneiderCVY12;article;2017-01-11;"Cardinal directions between complex regions.";"";"2012";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/2188349.2188350";0
journals/tods/BrunoC07;article;2017-01-11;"Physical design refinement: The 'merge-reduce' approach.";"";"2007";"ACM Trans. Database Syst.";"http://doi.acm.org/10.1145/1292609.1292618";0
