dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/todaes/TsengP08;article;2017-01-11;"Partitioning parameterized 45-degree polygons with constraint programming.";"";"2008";"ACM Trans. Design Autom. Electr. Syst.";"http://doi.acm.org/10.1145/1367045.1367061";0
journals/todaes/LalgudiPP00;article;2003-11-28;"Optimizing computations for effective block-processing.";"";"2000";"ACM Trans. Design Autom. Electr. Syst.";"http://doi.acm.org/10.1145/348019.348304";0
journals/todaes/YoonLPKLPC13;article;2017-01-03;"Architecture customization of on-chip reconfigurable accelerators.";"";"2013";"ACM Trans. Design Autom. Electr. Syst.";"http://doi.acm.org/10.1145/2493384";0
journals/todaes/HuLHT08;article;2017-01-11;"Physical synthesis for FPGA interconnect power reduction by dual-Vdd budgeting and retiming.";"";"2008";"ACM Trans. Design Autom. Electr. Syst.";"http://doi.acm.org/10.1145/1344418.1344426";0
journals/todaes/MehtaSBHJ09;article;2017-01-11;"Interconnect customization for a hardware fabric.";"";"2009";"ACM Trans. Design Autom. Electr. Syst.";"http://doi.acm.org/10.1145/1455229.1455240";0
journals/todaes/ChangD09;article;2017-01-11;"Design and implementation of an efficient wear-leveling algorithm for solid-state-disk microcontrollers.";"";"2009";"ACM Trans. Design Autom. Electr. Syst.";"http://doi.acm.org/10.1145/1640457.1640463";1
journals/todaes/BildDB12;article;2017-01-11;"Static NBTI Reduction Using Internal Node Control.";"";"2012";"ACM Trans. Design Autom. Electr. Syst.";"http://doi.acm.org/10.1145/2348839.2348849";0
journals/todaes/MaoCZLH16;article;2017-06-14;"Library-Based Placement and Routing in FPGAs with Support of Partial Reconfiguration.";"";"2016";"ACM Trans. Design Autom. Electr. Syst.";"http://doi.acm.org/10.1145/2901295";0
journals/todaes/FloresNM01;article;2003-11-28;"An exact solution to the minimum size test pattern problem.";"";"2001";"ACM Trans. Design Autom. Electr. Syst.";"http://doi.acm.org/10.1145/502175.502186";0
journals/todaes/SchirnerGD10;article;2017-01-11;"Fast and accurate processor models for efficient MPSoC design.";"";"2010";"ACM Trans. Design Autom. Electr. Syst.";"http://doi.acm.org/10.1145/1698759.1698760";0
journals/todaes/BathenD14;article;2015-05-07;None;"";"2014";"ACM Trans. Design Autom. Electr. Syst.";"http://doi.acm.org/10.1145/2611755";0
journals/todaes/KernG99;article;2003-11-28;"Formal verification in hardware design: a survey.";"";"1999";"ACM Trans. Design Autom. Electr. Syst.";"http://doi.acm.org/10.1145/307988.307989";0
journals/todaes/PeesHM00;article;2003-11-28;"Retargetable compiled simulation of embedded processors using a machine description language.";"";"2000";"ACM Trans. Design Autom. Electr. Syst.";"http://doi.acm.org/10.1145/362652.362662";0
