dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/teco/HassidimKMN16;article;2017-01-03;"The AND-OR Game.";"";"2016";"ACM Trans. Economics and Comput.";"http://dl.acm.org/citation.cfm?id=2897186";0
journals/teco/KolliasR15;article;2017-01-03;"Restoring Pure Equilibria to Weighted Congestion Games.";"";"2015";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2781678";0
journals/teco/GhoshK16;article;2017-01-03;"Optimal Contest Design for Simple Agents.";"";"2016";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2930955";0
journals/teco/KoutsoupiasP13;article;2017-01-03;"On the Competitive Ratio of Online Sampling Auctions.";"";"2013";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2465769.2465775";0
journals/teco/GhoshMMV15;article;2017-01-03;"To Match or Not to Match: Economics of Cookie Matching in Online Advertising.";"";"2015";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2745801";0
journals/teco/FragiadakisITUY15;article;2017-01-03;"Strategyproof Matching with Minimum Quotas.";"";"2015";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2841226";0
journals/teco/JaggardLSW17;article;2017-08-29;"Dynamics at the Boundary of Game Theory and Distributed Computing.";"";"2017";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/3107182";0
journals/teco/JainP13;article;2017-01-03;"A game-theoretic analysis of the ESP game.";"";"2013";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2399187.2399190";0
journals/teco/ChanCS17;article;2017-06-28;"Provision-After-Wait with Common Preferences.";"";"2017";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/3038910";0
journals/teco/FadaeiB17;article;2017-08-29;"A Truthful Mechanism for the Generalized Assignment Problem.";"";"2017";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/3105787";0
journals/teco/XiaoS15;article;2017-01-03;"Socially-Optimal Design of Service Exchange Platforms with Imperfect Monitoring.";"";"2015";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2785627";0
journals/teco/HaH13;article;2017-01-03;"Mechanism Design via Consensus Estimates, Cross Checking, and Profit Extraction.";"";"2013";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2465769.2465773";0
journals/teco/BabaioffDKS15;article;2017-01-03;"Dynamic Pricing with Limited Supply.";"";"2015";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2559152";0
journals/teco/BabaioffFT16;article;2017-01-03;"Mechanism Design with Strategic Mediators.";"";"2016";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2841227";0
journals/teco/YildizOASS13;article;2017-01-03;"Binary Opinion Dynamics with Stubborn Agents.";"";"2013";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2538508";0
journals/teco/BateniHSZ15;article;2017-01-03;"Revenue Maximization with Nonexcludable Goods.";"";"2015";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2790131";0
journals/teco/ChenKKS14;article;2016-11-07;"Altruism and Its Impact on the Price of Anarchy.";"";"2014";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2597893";0
journals/teco/AlonBCKNW15;article;2017-01-03;"How to Put Through Your Agenda in Collective Binary Decisions.";"";"2015";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2837467";0
journals/teco/ChakrabartiV15;article;2017-01-03;"Traffic Shaping to Optimize Ad Delivery.";"";"2015";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2739010";0
journals/teco/KashFH15;article;2017-01-03;"An Equilibrium Analysis of Scrip Systems.";"";"2015";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2659006";0
journals/teco/CavalloMV15;article;2017-01-03;"Display Advertising Auctions with Arbitrage.";"";"2015";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2668033";0
journals/teco/CandoganOP13;article;2017-01-03;"Near-Potential Games: Geometry and Dynamics.";"";"2013";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2465769.2465776";0
journals/teco/ChenKRS14;article;2017-01-03;"Eliciting Predictions and Recommendations for Decision Making.";"";"2014";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2556271";0
journals/teco/NathS15;article;2017-06-14;"Affine Maximizers in Domains with Selfish Valuations.";"";"2015";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2786014";0
journals/teco/SmeuldersSCR14;article;2017-01-03;"Goodness-of-Fit Measures for Revealed Preference Tests: Complexity Results and Algorithms.";"";"2014";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2560793";0
journals/teco/ChauEK16;article;2017-01-03;"Truthful Mechanisms for Combinatorial Allocation of Electric Power in Alternating Current Electric Systems for Smart Grid.";"";"2016";"ACM Trans. Economics and Comput.";"http://dl.acm.org/citation.cfm?id=2955089";0
journals/teco/FearnleyS16;article;2017-01-03;"Finding Approximate Nash Equilibria of Bimatrix Games via Payoff Queries.";"";"2016";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2956579";0
journals/teco/HummelM16;article;2017-01-03;"When Does Improved Targeting Increase Revenue?";"";"2016";"ACM Trans. Economics and Comput.";"http://dl.acm.org/citation.cfm?id=2956586";0
journals/teco/DimitrovSE15;article;2017-01-03;"Subsidized Prediction Mechanisms for Risk-Averse Agents.";"";"2015";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2716327";0
journals/teco/ChenDDHMS14;article;2017-01-03;"The Price of Anarchy for Selfish Ring Routing is Two.";"";"2014";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2548545";0
journals/teco/GoldbergPS13;article;2017-01-03;"The Complexity of the Homotopy Method, Equilibrium Selection, and Lemke-Howson Solutions.";"";"2013";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2465769.2465774";0
journals/teco/CaryDE0HKKMS14;article;2015-05-07;"Convergence of Position Auctions under Myopic Best-Response Dynamics.";"";"2014";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2632226";0
journals/teco/AumannD15;article;2017-01-03;"The Efficiency of Fair Division with Connected Pieces.";"";"2015";"ACM Trans. Economics and Comput.";"http://doi.acm.org/10.1145/2781776";0
