dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tecs/KangSK13;article;2017-01-11;"Area-efficient convolutional deinterleaver for mobile TV receiver.";"";"2013";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2423636.2423646";0
journals/tecs/BellasiMF15;article;2015-04-20;"Effective Runtime Resource Management Using Linux Control Groups with the BarbequeRTRM Framework.";"";"2015";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2658990";0
journals/tecs/Goehringer14;article;2015-04-22;"Introduction to the Special Issue on Virtual Prototyping of Parallel and Embedded Systems (ViPES).";"";"2014";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2675739";0
journals/tecs/ZhouL08;article;2017-06-08;"Causality interfaces for actor networks.";"";"2008";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1347375.1347382";0
journals/tecs/Schlich10;article;2017-01-11;"Model checking of software for microcontrollers.";"";"2010";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1721695.1721702";1
journals/tecs/JinP14;article;2015-05-07;"PAIS: Parallelism-aware interconnect scheduling in multicores.";"";"2014";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2567934";0
journals/tecs/TahaeeJ10;article;2017-01-11;"A polynomial algorithm for partitioning problems.";"";"2010";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1721695.1721700";0
journals/tecs/ReardonHGSL12;article;2017-01-11;"RCML: An Environment for Estimation Modeling of Reconfigurable Computing Systems.";"";"2012";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2331147.2331153";0
journals/tecs/HamersE12;article;2017-01-11;"Exploiting media stream similarity for energy-efficient decoding and resource prediction.";"";"2012";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2146417.2146419";0
journals/tecs/CastiglionePPMC17;article;2017-06-14;"On-Board Format-Independent Security of Functional Magnetic Resonance Images.";"";"2017";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2893474";0
journals/tecs/BathenD14;article;2015-04-21;"Embedded RAIDs-on-chip for bus-based chip-multiprocessors.";"";"2014";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2533316";0
journals/tecs/AlurDI06;article;2007-03-06;"Predicate abstraction for reachability analysis of hybrid systems.";"";"2006";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1132357.1132363";0
journals/tecs/BoorghanySJ15;article;2017-01-03;"On Constrained Implementation of Lattice-Based Cryptographic Primitives and Schemes on Smart Cards.";"";"2015";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2700078";0
journals/tecs/HsiehH13;article;2017-01-03;"Thermal-aware memory mapping in 3D designs.";"";"2013";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2512457";0
journals/tecs/ZhangVN05;article;2006-02-09;"A highly configurable cache for low energy embedded systems.";"";"2005";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1067915.1067921";0
journals/tecs/TheodoropoulosKG13;article;2017-06-14;"Custom architecture for multicore audio beamforming systems.";"";"2013";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2514641.2514646";0
journals/tecs/DongL12;article;2017-01-11;"Using Auxiliary Sensors for Pairwise Key Establishment in WSN.";"";"2012";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2345770.2345771";0
journals/tecs/FerriF09;article;2017-01-11;"Reconfiguration of IIR filters in response to computer resource availability.";"";"2009";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1596532.1596534";0
journals/tecs/ZhaoGZ15;article;2017-01-03;"Resource Synchronization and Preemption Thresholds Within Mixed-Criticality Scheduling.";"";"2015";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2783440";0
journals/tecs/WinterBFRW06;article;2007-03-06;"A transformational perspective into the core of an abstract class loader for the SSP.";"";"2006";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1196636.1196639";0
journals/tecs/MisailovicKR13;article;2017-01-03;"Parallelizing Sequential Programs with Statistical Accuracy Tests.";"";"2013";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2465787.2465790";0
journals/tecs/BarrioBH14;article;2015-05-07;"Ultra-low-power adder stage design for exascale floating point units.";"";"2014";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2567932";0
journals/tecs/CoussyCBBM06;article;2012-06-05;"A formal method for hardware IP design and integration under I/O and timing constraints.";"";"2006";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1132357.1132359";0
journals/tecs/ArmbrusterBCFHPPPV07;article;2017-01-11;"A real-time Java virtual machine with applications in avionics.";"";"2007";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1324969.1324974";0
journals/tecs/KadayifKCVIS05;article;2006-04-04;"Compiler-directed high-level energy estimation and optimization.";"";"2005";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1113830.1113835";0
journals/tecs/GuZZWQW16;article;2017-01-03;"A Real-Time FPGA-Based Accelerator for ECG Analysis and Diagnosis Using Association-Rule Mining.";"";"2016";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2821508";0
journals/tecs/LiZL15;article;2017-01-03;"Crenel-Interval-Based Dynamic Power Management for Periodic Real-Time Systems.";"";"2015";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2744197";0
journals/tecs/SartoriK13;article;2017-01-03;"Exploiting Timing Error Resilience in Processor Architecture.";"";"2013";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2465787.2465791";0
journals/tecs/ZhangLLC15;article;2015-04-20;"Multilevel Phase Analysis.";"";"2015";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2629594";0
journals/tecs/HuLDKVI09;article;2017-01-11;"Compiler-assisted soft error detection under performance and energy constraints in embedded systems.";"";"2009";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1550987.1550990";0
journals/tecs/Mosbahi13;article;2017-01-03;"Combining Formal Methods for the Development of Reactive Systems.";"";"2013";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2406336.2406352";0
journals/tecs/LeeSKLM08;article;2017-01-11;"A design framework for real-time embedded systems with code size and energy constraints.";"";"2008";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1331331.1331342";0
journals/tecs/LoghiBP07;article;2017-01-11;"Power macromodeling of MPSoC message passing primitives.";"";"2007";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1274858.1274869";0
journals/tecs/BiniBL09;article;2017-06-14;"Minimizing CPU energy in real-time systems with discrete speed management.";"";"2009";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1550987.1550994";0
journals/tecs/TangBGSW17;article;2017-04-18;"Task-FIFO Co-Scheduling of Streaming Applications on MPSoCs with Predictable Memory Hierarchy.";"";"2017";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/3038484";0
journals/tecs/BakHAC15;article;2017-01-03;"Safety and Progress for Distributed Cyber-Physical Systems with Unreliable Communication.";"";"2015";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2739046";0
journals/tecs/DiamantopoulosS14;article;2015-04-22;"Plug&Chip: A Framework for Supporting Rapid Prototyping of 3D Hybrid Virtual SoCs.";"";"2014";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2661634";0
journals/tecs/PandeZ12;article;2017-01-11;"Poly-DWT: Polymorphic wavelet hardware support for dynamic image compression.";"";"2012";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2146417.2146423";0
journals/tecs/LeeWB13;article;2017-06-08;"High-performance and low-energy buffer mapping method for multiprocessor DSP systems.";"";"2013";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2442116.2442132";0
journals/tecs/KimVKSI03;article;2006-02-09;"Partitioned instruction cache architecture for energy efficiency.";"";"2003";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/643470.643473";0
journals/tecs/ChangSCC17;article;2017-04-18;"Eager Synching: A Selective Logging Strategy for Fast fsync() on Flash-Based Android Devices.";"";"2017";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2930668";0
journals/tecs/MitraLL08;article;2017-01-11;"Verifying average dwell time of hybrid systems.";"";"2008";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1457246.1457249";0
journals/tecs/WuZ12;article;2017-01-11;"A Model Checking Based Approach to Bounding Worst-Case Execution Time for Multicore Processors.";"";"2012";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2331147.2331166";0
journals/tecs/CartaAPAB07;article;2017-06-08;"A control theoretic approach to energy-efficient pipelined computation in MPSoCs.";"";"2007";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1274858.1274865";1
journals/tecs/UzelacM13;article;2017-01-03;"Hardware-Based Load Value Trace Filtering for On-the-Fly Debugging.";"";"2013";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2465787.2465799";0
journals/tecs/ShinPKSC12;article;2017-01-11;"Control-theoretic cyber-physical system modeling and synthesis: A case study of an active direct methanol fuel cell.";"";"2012";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2362336.2362343";0
journals/tecs/HanxledenMADFMM14;article;2015-05-07;"Sequentially Constructive Concurrency - A Conservative Extension of the Synchronous Model of Computation.";"";"2014";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2627350";0
journals/tecs/LuRZ16;article;2017-01-03;"Vector Coprocessor Virtualization for Simultaneous Multithreading.";"";"2016";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2898364";0
journals/tecs/NoshadiDAAS13;article;2017-01-11;"HERMES: Mobile system for instability analysis and balance assessment.";"";"2013";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2435227.2435253";0
journals/tecs/BenerecettiF17;article;2017-10-05;"Automatic Synthesis of Switching Controllers for Linear Hybrid Systems: Reachability Control.";"";"2017";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/3047500";0
journals/tecs/PanXYCH17;article;2017-10-05;"Exploiting Multiple Write Modes of Nonvolatile Main Memory in Embedded Systems.";"";"2017";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/3063130";0
journals/tecs/BakaCS16;article;2017-01-03;"Near-Static Shading Exploration for Smart Photovoltaic Module Topologies Based on Snake-like Configurations.";"";"2016";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2837026";0
journals/tecs/KoushanfarDNSP07;article;2017-01-11;"Techniques for maintaining connectivity in wireless ad-hoc networks under energy constraints.";"";"2007";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1275986.1275988";0
journals/tecs/CucinottaCAP12;article;2017-06-08;"Adaptive real-time scheduling for legacy multimedia applications.";"";"2012";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/2362336.2362353";0
journals/tecs/WengW09;article;2017-06-08;"Analytic modeling of network processors for parallel workload mapping.";"";"2009";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1509288.1509290";0
journals/tecs/OzerNG08;article;2017-01-11;"A stochastic bitwidth estimation technique for compact and low-power custom processors.";"";"2008";"ACM Trans. Embedded Comput. Syst.";"http://doi.acm.org/10.1145/1347375.1347387";0
