dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tog/SchwartzburgTTP14;article;2015-04-29;"High-contrast computational caustic design.";"";"2014";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2601097.2601200";0
journals/tog/MullenCPTD09;article;2017-01-04;"Energy-preserving integrators for fluid animation.";"";"2009";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1531326.1531344";0
journals/tog/WoopSS05;article;2006-02-09;"RPU: a programmable ray processing unit for realtime ray tracing.";"";"2005";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1073204.1073211";0
journals/tog/HaL14;article;2015-04-20;"Iterative Training of Dynamic Skills Inspired by Human Coaching Techniques.";"";"2014";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2682626";0
journals/tog/Joe90;article;2003-11-25;"Knot insertion for Beta-spline curves and surfaces.";"";"1990";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/77635.77638";0
journals/tog/BrouetSBC12;article;2017-07-05;"Design preserving garment transfer.";"";"2012";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2185520.2185532";0
journals/tog/CookD05;article;2006-02-09;"Wavelet noise.";"";"2005";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1073204.1073264";0
journals/tog/FisherRSFH12;article;2017-01-03;"Example-based synthesis of 3D object arrangements.";"";"2012";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2366145.2366154";0
journals/tog/Pons-MollPHB17;article;2017-08-06;"ClothCap: seamless 4D clothing capture and retargeting.";"";"2017";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/3072959.3073711";0
journals/tog/PailleRPSL15;article;2017-01-03;"Dihedral angle-based maps of tetrahedral meshes.";"";"2015";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2766900";0
journals/tog/LiangR15;article;2015-04-20;"A Light Transport Framework for Lenslet Light Field Cameras.";"";"2015";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2665075";0
journals/tog/YuCC17;article;2017-08-06;"Computational design of telescoping structures.";"";"2017";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/3072959.3073673";0
journals/tog/OBrienBH02;article;2003-11-25;"Graphical modeling and animation of ductile fracture.";"";"2002";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/566654.566579";0
journals/tog/GuntherRT13;article;2015-04-29;"Opacity optimization for 3D line fields.";"";"2013";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2461912.2461930";0
journals/tog/GrochowMHP04;article;2006-02-09;"Style-based inverse kinematics.";"";"2004";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1015706.1015755";0
journals/tog/ShiHDKD14;article;2015-04-20;"Light Field Reconstruction Using Sparsity in the Continuous Fourier Domain.";"";"2014";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2682631";0
journals/tog/KarasickS95;article;2003-11-25;"Intersecting Solids on a Massively Parallel Processor.";"";"1995";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/200972.200976";0
journals/tog/AlcantaraSASMOA09;article;2015-04-30;"Real-time parallel hashing on the GPU.";"";"2009";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1618452.1618500";0
journals/tog/ChenZXZ14;article;2017-09-28;"An asymptotic numerical method for inverse elastic shape design.";"";"2014";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2601097.2601189";0
journals/tog/ColeGLBFFR08;article;2017-01-04;"Where do people draw lines?";"";"2008";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1360612.1360687";0
journals/tog/WojtanT08;article;2017-01-04;"Fast viscoelastic behavior with thin features.";"";"2008";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1360612.1360646";0
journals/tog/LunKS15;article;2017-01-03;"Elements of style: learning perceptual shape style similarity.";"";"2015";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2766929";0
journals/tog/PalubickiHLRLMP09;article;2017-06-09;"Self-organizing tree models for image synthesis.";"";"2009";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1531326.1531364";0
journals/tog/Olsen86;article;2003-11-25;"MIKE: The Menu Interaction Kontrol Environment.";"";"1986";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/27623.28868";0
journals/tog/WuP10;article;2015-05-27;"Terrain-adaptive bipedal locomotion control.";"";"2010";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1833351.1778809";1
journals/tog/WeiMC11;article;2017-01-04;"Physically valid statistical models for human motion generation.";"";"2011";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1966394.1966398";0
journals/tog/PfaffTCTG10;article;2017-05-18;"Scalable fluid simulation using anisotropic turbulence particles.";"";"2010";"ACM Trans. Graph.";"https://doi.org/10.1145/1882261.1866196";0
journals/tog/TaubinR98;article;2003-11-25;"Geometric Compression Through Topological Surgery.";"";"1998";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/274363.274365";0
journals/tog/ReitsmaP03;article;2017-06-09;"Perceptual metrics for character animation: sensitivity to errors in ballistic motion.";"";"2003";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/882262.882304";0
journals/tog/Raskar15;article;2017-01-03;"eyeSelfie: self directed eye alignment using reciprocal eye box imaging.";"";"2015";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2766970";0
journals/tog/NarainPO13;article;2017-06-09;"Folding and crumpling adaptive sheets.";"";"2013";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2461912.2462010";0
journals/tog/RaghuvanshiSMLG10;article;2015-05-27;"Precomputed wave simulation for real-time sound propagation of dynamic sources in complex scenes.";"";"2010";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1833351.1778805";0
journals/tog/LukenC96;article;2003-11-25;"Comparison of Surface and Derivative Evaluation Methods for the Rendering of NURB Surfaces.";"";"1996";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/234972.234977";0
journals/tog/OsadaFCD02;article;2003-11-25;"Shape distributions.";"";"2002";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/571647.571648";0
journals/tog/MerrellSK10;article;2017-05-18;"Computer-generated residential building layouts.";"";"2010";"ACM Trans. Graph.";"https://doi.org/10.1145/1882261.1866203";0
journals/tog/Hobby90;article;2003-11-25;"Rasterization of nonparametric curves.";"";"1990";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/78964.78966";0
journals/tog/NeffKAS08;article;2017-01-04;"Gesture modeling and animation based on a probabilistic re-creation of speaker style.";"";"2008";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1330511.1330516";0
journals/tog/SunLWS07;article;2011-10-23;"Image vectorization using optimized gradient meshes.";"";"2007";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1276377.1276391";0
journals/tog/YeL08;article;2017-01-03;"Animating responsive characters with dynamic constraints in near-unactuated coordinates.";"";"2008";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1457515.1409065";0
journals/tog/WuSL0CGDC14;article;2015-04-21;"Quality-driven poisson-guided autoscanning.";"";"2014";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2661229.2661242";0
journals/tog/BaranoskiWRB05;article;2014-07-16;"Simulating the dynamics of auroral phenomena.";"";"2005";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1037957.1037960";0
journals/tog/0001ZWBPBT16;article;2017-01-03;"Corrective 3D reconstruction of lips from monocular video.";"";"2016";"ACM Trans. Graph.";"http://dl.acm.org/citation.cfm?id=2982419";0
journals/tog/WangYWCX10;article;2017-05-18;"Data-driven image color theme enhancement.";"";"2010";"ACM Trans. Graph.";"https://doi.org/10.1145/1882261.1866172";0
journals/tog/ZhaoHRB13;article;2015-04-29;"Modular flux transfer: efficient rendering of high-resolution volumes with repeated structures.";"";"2013";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2461912.2461938";0
journals/tog/Sorkine-HornungM14;article;2015-04-29;"Meta-representation of shape families.";"";"2014";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2601097.2601185";0
journals/tog/Cheslack-PostavaWAP08;article;2017-01-03;"Fast, realistic lighting and material design using nonlinear cut approximation.";"";"2008";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1457515.1409081";0
journals/tog/BarnesSFG09;article;2017-01-04;"PatchMatch: a randomized correspondence algorithm for structural image editing.";"";"2009";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1531326.1531330";0
journals/tog/FarbmanFL11;article;2017-01-04;"Convolution pyramids.";"";"2011";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2070781.2024209";0
journals/tog/TenaTM11;article;2017-01-04;"Interactive region-based linear 3D face models.";"";"2011";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2010324.1964971";0
journals/tog/PengZKW11;article;2017-01-04;"Connectivity editing for quadrilateral meshes.";"";"2011";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/2070781.2024175";0
journals/tog/ZhangRLK07;article;2007-08-24;"Continuous collision detection for articulated models using Taylor models and temporal culling.";"";"2007";"ACM Trans. Graph.";"http://doi.acm.org/10.1145/1276377.1276396";0
