dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tois/CroftL84;article;2003-11-25;"Task Support in an Office System.";"";"1984";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/1206.1483";0
journals/tois/DewanC92;article;2006-04-03;"A High-Level and Flexible Framework for Implementing Multiuser User Interfaces.";"";"1992";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/146486.146495";0
journals/tois/ChangL87;article;2006-04-03;"A Knowledge-Based Message Management System.";"";"1987";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/27641.27642";0
journals/tois/FengCD02;article;2003-11-25;"A semantic network-based design methodology for XML documents.";"";"2002";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/582415.582417";0
journals/tois/Limb83;article;2003-11-25;"Editor's introduction.";"";"1983";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/357423.357424";0
journals/tois/LuCL04;article;2006-02-09;"Anchor text mining for translation of Web queries: A transitive translation approach.";"";"2004";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/984321.984324";0
journals/tois/BaiACF17;article;2017-10-05;"Understanding and Leveraging the Impact of Response Latency on User Behaviour in Web Search.";"";"2017";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/3106372";0
journals/tois/ZhouH17;article;2017-10-05;"Modeling and Mining Domain Shared Knowledge for Sentiment Analysis.";"";"2017";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/3091995";0
journals/tois/DatoLNOPTV16;article;2017-01-04;"Fast Ranking with Additive Ensembles of Oblivious and Non-Oblivious Regression Trees.";"";"2016";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/2987380";0
journals/tois/PibiriV17;article;2017-10-05;"Clustered Elias-Fano Indexes.";"";"2017";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/3052773";0
journals/tois/DongCTYY17;article;2017-08-30;"User Modeling on Demographic Attributes in Big Mobile Social Networks.";"";"2017";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/3057278";0
journals/tois/Hirschheim86;article;2006-04-03;"Understanding the Office: A Social-Analytic Perspective.";"";"1986";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/9760.9763";0
journals/tois/NongCHW15;article;2015-10-28;"Induced Sorting Suffixes in External Memory.";"";"2015";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/2699665";0
journals/tois/GanesanGW03;article;2003-11-25;"Exploiting hierarchical domain structure to compute similarity.";"";"2003";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/635484.635487";0
journals/tois/LeroyLC03;article;2003-11-25;"The use of dynamic context to improve casual internet searching.";"";"2003";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/858476.858477";0
journals/tois/TigelaarHT12;article;2017-06-09;"Peer-to-Peer Information Retrieval: An Overview.";"";"2012";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/2180868.2180871";0
journals/tois/Nutt83;article;2003-11-25;"An Experimental Distributed Modeling System.";"";"1983";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/357431.357432";0
journals/tois/BrownG87;article;2006-04-03;"An Experimental Study of People Creating Spreadsheets.";"";"1987";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/27641.28058";0
journals/tois/EastmanJ03;article;2017-06-09;"Coverage, relevance, and ranking: The impact of query operators on Web search engine results.";"";"2003";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/944012.944015";0
journals/tois/GauchS91;article;2006-04-03;"Search Improvement via Automatic Query Reformulation.";"";"1991";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/125187.125193";0
journals/tois/CaiRR16;article;2017-01-03;"Diversifying Query Auto-Completion.";"";"2016";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/2910579";0
journals/tois/BingLWJ15;article;2015-04-20;"Web Query Reformulation via Joint Modeling of Latent Topic Dependency and Term Context.";"";"2015";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/2699666";0
journals/tois/BuiJ86;article;2006-04-03;"Communications Design for Co-oP: A Group Decision Support System.";"";"1986";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/6168.6169";0
journals/tois/Bodoff04;article;2006-02-09;"Relevance models to help estimate document and query parameters.";"";"2004";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/1010614.1010615";0
journals/tois/Lehtonen06;article;2007-03-06;"Preparing heterogeneous XML for full-text search.";"";"2006";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/1185881";0
journals/tois/RiloffL94;article;2006-04-03;"Information as Basic for High-Precision Text Classification.";"";"1994";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/183422.183428";0
journals/tois/HigginsS84;article;2003-11-25;"A Critical Appraisal of Task Taxonomies as a Tool for Studying Office Activities.";"";"1984";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/2275.2279";0
journals/tois/SandersonR99;article;2003-11-25;"The impact on retrieval effectiveness of skewed frequency distributions.";"";"1999";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/326440.326447";0
journals/tois/BaileyHMW07;article;2017-09-17;"Adaptive hypermedia through contextualized open hypermedia structures.";"";"2007";"ACM Trans. Inf. Syst.";"http://doi.acm.org/10.1145/1281485.1281487";0
