dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/toit/Engelen08;article;2017-01-05;"A framework for service-oriented computing with C and C++ Web service components.";"";"2008";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/1361186.1361188";0
journals/toit/WolfY01;article;2003-11-28;"On balancing the load in a clustered web farm.";"";"2001";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/502152.502155";0
journals/toit/GuptaBAR08;article;2017-01-05;"Security analysis of Internet technology components enabling globally distributed workplaces - a framework.";"";"2008";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/1391949.1391951";0
journals/toit/FariasPR16;article;2017-01-03;"Irony Detection in Twitter: The Role of Affective Content.";"";"2016";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/2930663";0
journals/toit/DingMT07;article;2017-01-05;"Equipping smart devices with public key signatures.";"";"2007";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/1189740.1189743";0
journals/toit/CeriDMF07;article;2017-06-09;"Model-driven development of context-aware Web applications.";"";"2007";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/1189740.1189742";0
journals/toit/SunPMDHB13;article;2017-01-03;"Investigating Users' Perspectives of Web Single Sign-On: Conceptual Gaps and Acceptance Model.";"";"2013";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/2532639";0
journals/toit/HuangZCS10;article;2017-01-05;"A programmable network address translator: Design, implementation, and performance.";"";"2010";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/1667067.1667070";0
journals/toit/ArdagnaJSS13;article;2017-09-16;"Providing Users' Anonymity in Mobile Hybrid Networks.";"";"2013";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/2461321.2461322";0
journals/toit/ShehabBG07;article;2017-01-05;"Web services discovery in secure collaboration environments.";"";"2007";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/1294148.1294153";1
journals/toit/TuJLC08;article;2017-06-14;"Nearcast: A locality-aware P2P live streaming approach for distance education.";"";"2008";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/1323651.1323653";0
journals/toit/WethAK17;article;2017-06-29;"Cyber-Physical Social Networks.";"";"2017";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/2996186";0
journals/toit/ChenH05;article;2006-04-06;"Flash crowd mitigation via adaptive admission control based on application-level observations.";"";"2005";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/1084772.1084776";1
journals/toit/Kristol01;article;2003-11-28;"HTTP Cookies: Standards, privacy, and politics.";"";"2001";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/502152.502153";0
journals/toit/0002GK14;article;2015-05-07;"Personalizing Top-k Processing Online in a Peer-to-Peer Social Tagging Network.";"";"2014";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/2602572";0
journals/toit/VoseckyJLXN14;article;2015-04-21;"Integrating Social and Auxiliary Semantics for Multifaceted Topic Modeling in Twitter.";"";"2014";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/2651403";0
journals/toit/YukselCC17;article;2017-03-22;"Brains or Beauty: How to Engender Trust in User-Agent Interactions.";"";"2017";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/2998572";0
journals/toit/ZhuangJLCJ15;article;2017-06-26;"Progressive Batch Medical Image Retrieval Processing in Mobile Wireless Networks.";"";"2015";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/2783437";0
journals/toit/XueZZ08;article;2017-01-05;"Improving Web search using image snippets.";"";"2008";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/1391949.1391955";0
journals/toit/AlbrechtOVP08;article;2017-01-05;"Design and implementation trade-offs for wide-area resource discovery.";"";"2008";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/1391949.1391952";0
journals/toit/DasPCM16;article;2017-01-04;"Characterization of Wireless Multidevice Users.";"";"2016";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/2955096";0
journals/toit/SalomoniMFR08;article;2017-06-09;"A multimedia broker to support accessible and mobile learning through learning objects adaptation.";"";"2008";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/1323651.1323655";0
journals/toit/MrissaGBMRD07;article;2017-06-09;"A context-based mediation approach to compose semantic Web services.";"";"2007";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/1294148.1294152";0
journals/toit/ManciniBPVDPVC17;article;2017-08-25;"Implementing and Evaluating a Laughing Virtual Character.";"";"2017";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/2998571";0
journals/toit/Rinaldi09;article;2017-06-09;"An ontology-driven approach for semantic information retrieval on the Web.";"";"2009";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/1552291.1552293";0
journals/toit/GolbeckH06;article;2007-03-06;"Inferring binary trust relationships in Web-based social networks.";"";"2006";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/1183463.1183470";1
journals/toit/SilvaMASL14;article;2015-04-21;"Revealing the City That We Cannot See.";"";"2014";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/2677208";0
journals/toit/AlfonsoVB17;article;2017-09-16;"Toward Formal Modeling of Affective Agents in a BDI Architecture.";"";"2017";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/3001584";0
journals/toit/GoncalvesHK17;article;2017-06-29;"Eliciting Structured Knowledge from Situated Crowd Markets.";"";"2017";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/3007900";0
journals/toit/AlbanesedMPP13;article;2017-06-09;"A Multimedia Recommender System.";"";"2013";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/2532640";0
journals/toit/KoKMK16;article;2017-01-03;"SoIoT: Toward A User-Centric IoT-Based Service Framework.";"";"2016";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/2835492";0
journals/toit/Baeza-YatesCE07;article;2017-06-09;"Characterization of national Web domains.";"";"2007";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/1239971.1239973";0
journals/toit/KeromytisS07;article;2017-01-05;"Requirements for scalable access control and security management architectures.";"";"2007";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/1239971.1239972";1
journals/toit/DoncelABP14;article;2015-04-20;"Is the Price of Anarchy the Right Measure for Load-Balancing Games?";"";"2014";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/2663498";0
journals/toit/HeJ03;article;2003-11-28;"Southampton TAC: An adaptive autonomous trading agent.";"";"2003";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/857166.857168";0
journals/toit/GburzynskiM04;article;2006-02-09;"Fighting the spam wars: A remailer approach with restrictive aliasing.";"";"2004";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/967030.967031";0
journals/toit/AlhosbanHMMB15;article;2017-01-03;"Bottom-Up Fault Management in Service-Based Systems.";"";"2015";"ACM Trans. Internet Techn.";"http://doi.acm.org/10.1145/2739045";0
