dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tmis/ChakrabortyRD15;article;2017-06-09;"Getting to the Shalls: Facilitating Sensemaking in Requirements Engineering.";"";"2015";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/2629351";0
journals/tmis/BhowmikNSW15;article;2017-01-03;"On the Role of Structural Holes in Requirements Identification: An Exploratory Study on Open-Source Software Development.";"";"2015";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/2795235";0
journals/tmis/DavisGMNSW10;article;2017-01-03;"Ideas for the future of the IS field.";"";"2010";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/1877725.1877727";0
journals/tmis/LiuR11;article;2017-03-27;"Who does what: Collaboration patterns in the wikipedia and their impact on article quality.";"";"2011";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/1985347.1985352";0
journals/tmis/FridgenKBW14;article;2015-04-20;"Improving Business Value Assurance in Large-Scale IT Projects - A Quantitative Method Based on Founded Requirements Assessment.";"";"2014";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/2638544";0
journals/tmis/PadmanabhanHCS11;article;2017-01-04;"From information to operations: Service quality and customer retention.";"";"2011";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/2070710.2070712";0
journals/tmis/Tuzhilin11;article;2017-01-04;"Knowledge management revisited: Old Dogs, New tricks.";"";"2011";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/2019618.2019619";0
journals/tmis/TsaiWC16;article;2017-01-03;"Discovering Finance Keywords via Continuous-Space Language Models.";"";"2016";"ACM Trans. Management Inf. Syst.";"http://dl.acm.org/citation.cfm?id=2948072";0
journals/tmis/SunSY16;article;2017-07-28;"Universal Artifacts: A New Approach to Business Process Management (BPM) Systems.";"";"2016";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/2886104";0
journals/tmis/HoLG14;article;2017-01-04;"Septic Shock Prediction for Patients with Missing Data.";"";"2014";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/2591676";0
journals/tmis/GuoSV14;article;2015-04-20;"A Dataflow Perspective for Business Process Integration.";"";"2014";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/2629450";0
journals/tmis/Al-RamahiLE17;article;2017-08-30;"Discovering Design Principles for Health Behavioral Change Support Systems: A Text Mining Approach.";"";"2017";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/3055534";0
journals/tmis/YanHLW15;article;2015-04-20;"Mining Agents' Goals in Agent-Oriented Business Processes.";"";"2015";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/2629448";0
journals/tmis/KrishnamurthyJR16;article;2017-01-03;"Peripheral Developer Participation in Open Source Projects: An Empirical Analysis.";"";"2016";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/2820618";0
journals/tmis/KostkovaSL14;article;2017-06-09;"#swineflu: The Use of Twitter as an Early Warning and Risk Communication Tool in the 2009 Swine Flu Pandemic.";"";"2014";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/2597892";0
journals/tmis/UllahL13;article;2017-01-04;"A Systematic Review of Business and Information Technology Alignment.";"";"2013";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/2445560.2445564";0
journals/tmis/ZimbraCL15;article;2017-01-03;"Stakeholder Analyses of Firm-Related Web Forums: Applications in Stock Return Prediction.";"";"2015";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/2675693";0
journals/tmis/EftekhariYSGR17;article;2017-05-22;"Do Health Information Exchanges Deter Repetition of Medical Services?";"";"2017";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/3057272";0
journals/tmis/BhattacharjeeJJ17;article;2017-08-30;"Introduction to WITS 2015 Special Issue in TMIS.";"";"2017";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/3108899";0
journals/tmis/MarxMW11;article;2017-01-04;"Six principles for redesigning executive information systems - findings of a survey and evaluation of a prototype.";"";"2011";"ACM Trans. Management Inf. Syst.";"http://doi.acm.org/10.1145/2070710.2070717";0
