dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tomacs/SinghCW13;article;2017-01-05;"Bayesian Learning of Noisy Markov Decision Processes.";"";"2013";"ACM Trans. Model. Comput. Simul.";"http://doi.acm.org/10.1145/2414416.2414420";0
journals/tomacs/Page93a;article;2015-03-06;"Rejoiner.";"";"1993";"ACM Trans. Model. Comput. Simul.";"http://dl.acm.org/citation.cfm?doid=159737.159743";0
journals/tomacs/StiliadisV97;article;2003-11-28;"A Reconfigurable Hardware Approach to Network Simulation.";"";"1997";"ACM Trans. Model. Comput. Simul.";"http://doi.acm.org/10.1145/244804.244809";0
journals/tomacs/HongHY11;article;2017-01-05;"Modeling and simulation of SIP tandem server with finite buffer.";"";"2011";"ACM Trans. Model. Comput. Simul.";"http://doi.acm.org/10.1145/1899396.1899399";0
journals/tomacs/RoederS10;article;2017-01-05;"Information models for queueing system simulation.";"";"2010";"ACM Trans. Model. Comput. Simul.";"http://doi.acm.org/10.1145/1734222.1734224";0
journals/tomacs/SteinigerU16;article;2017-01-03;"Intensional Couplings in Variable-Structure Models: An Exploration Based on Multilevel-DEVS.";"";"2016";"ACM Trans. Model. Comput. Simul.";"http://doi.acm.org/10.1145/2818641";0
journals/tomacs/Vazquez-abadAE02;article;2003-11-28;"Estimation of blocking probabilities in cellular networks with dynamic channel assignment.";"";"2002";"ACM Trans. Model. Comput. Simul.";"http://doi.acm.org/10.1145/511442.511445";0
journals/tomacs/Martinez-MoyanoRCAS08;article;2017-01-05;"A behavioral theory of insider-threat risks: A system dynamics approach.";"";"2008";"ACM Trans. Model. Comput. Simul.";"http://doi.acm.org/10.1145/1346325.1346328";0
journals/tomacs/BegumHG10;article;2017-05-27;"Modeling the interactions between MAC and higher layer: A systematic approach to generate high-level scenarios from MAC-layer scenarios.";"";"2010";"ACM Trans. Model. Comput. Simul.";"https://doi.org/10.1145/1870085.1870092";0
journals/tomacs/GhoshH09;article;2017-06-09;"Corrigendum: Behavior of the NORTA method for correlated random vector generation as the dimension increases.";"";"2009";"ACM Trans. Model. Comput. Simul.";"http://doi.acm.org/10.1145/1596519.1596525";0
