dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/toplas/Steensgaard-Madsen81;article;2006-04-03;"A Statement-Oriented Approach to Data Abstraction.";"";"1981";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/357121.357122";0
journals/toplas/ChoiMN91;article;2006-04-03;"Techniques for Debugging Parallel Programs with Flowback Analysis.";"";"1991";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/115372.115324";0
journals/toplas/AndersonB81;article;2006-04-03;"Locally Least-Cost Error Recovery in Early's Algorithm.";"";"1981";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/357139.357145";0
journals/toplas/FosterT94;article;2006-04-03;"A Compiler Approach to Scalable Concurrent-Program Design.";"";"1994";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/177492.177612";0
journals/toplas/Kaufman84;article;2006-04-03;"Tailored-List and Recombination-Delaying Buddy Systems.";"";"1984";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/357233.357239";0
journals/toplas/SreedharGL97;article;2006-04-03;"Incremental Computation of Dominator Trees.";"";"1997";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/244795.244799";0
journals/toplas/BobrowC79;article;2006-04-03;"Compact Encodings of List Structure.";"";"1979";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/357073.357081";0
journals/toplas/LamportSP82;article;2006-04-03;"The Byzantine Generals Problem.";"";"1982";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/357172.357176";0
journals/toplas/ZhangGZ05;article;2006-02-09;"Cost and precision tradeoffs of dynamic data slicing algorithms.";"";"2005";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/1075382.1075384";0
journals/toplas/Eugster07;article;2017-01-06;"Type-based publish/subscribe: Concepts and experiences.";"";"2007";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/1180475.1180481";0
journals/toplas/BroyP82;article;2006-04-03;"Combining Algebraic and Algorithmic Reasoning: An Approach to the Schorr-Waite Algorithm.";"";"1982";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/357172.357175";0
journals/toplas/MoretTG80;article;2016-12-13;"The Activity of a Variable and Its Relation to Decision Trees.";"";"1980";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/357114.357120";0
journals/toplas/SagivRW98;article;2003-11-26;"Solving Shape-Analysis Problems in Languages with Destructive Updating.";"";"1998";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/271510.271517";0
journals/toplas/ClarkeGL94;article;2006-04-03;"Model Checking and Abstraction.";"";"1994";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/186025.186051";0
journals/toplas/Minsky84;article;2006-04-03;"Selective and Locally Controlled Transport of Privileges.";"";"1984";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/1780.1786";0
journals/toplas/ChoiF94;article;2006-04-03;"Static Slicing in the Presence of Goto Statements.";"";"1994";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/183432.183438";0
journals/toplas/WellingsJSKWM00;article;2017-04-26;"Integrating object-oriented programming and protected objects in Ada 95.";"";"2000";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/353926.353938";0
journals/toplas/ZhuangP10;article;2017-01-06;"An optimization framework for embedded processors with auto-addressing mode.";"";"2010";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/1734206.1734208";0
journals/toplas/Thorup94;article;2006-04-03;"Controlled Grammatic Ambiguity.";"";"1994";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/177492.177759";0
journals/toplas/AcarBBHT09;article;2017-03-14;"An experimental analysis of self-adjusting computation.";"";"2009";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/1596527.1596530";0
journals/toplas/Lamport84;article;2006-04-03;"Using Time Instead of Timeout for Fault-Tolerant Distributed Systems.";"";"1984";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/2993.2994";0
journals/toplas/Waters83;article;2006-04-03;"User Format Control in a Lisp Prettyprinter.";"";"1983";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/69575.357225";0
journals/toplas/WuW95;article;2006-04-03;"A Worst Case of Circularity Test Algorithms for Attribute Grammars.";"";"1995";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/201059.201064";0
journals/toplas/BoerGMP97;article;2006-04-03;"Proving Concurrent Constraint Programs Correct.";"";"1997";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/265943.265954";0
journals/toplas/AungHJR14;article;2015-05-07;"Specialization Slicing.";"";"2014";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/2566620";0
journals/toplas/Turini84;article;2006-04-03;"Magma2: A Language Oriented toward Experiments in Control.";"";"1984";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/1780.1784";0
journals/toplas/IgarashiV06;article;2007-03-06;"Variant parametric types: A flexible subtyping scheme for generics.";"";"2006";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/1152650";0
journals/toplas/PingaliM09;article;2017-01-06;"Remembrances of things past.";"";"2009";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/1516507.1538825";0
journals/toplas/Winner84;article;2006-04-03;"Unassigned Objects.";"";"1984";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/1780.1785";0
journals/toplas/GloyS99;article;2016-12-05;"Procedure placement using temporal-ordering information.";"";"1999";"ACM Trans. Program. Lang. Syst.";"http://doi.acm.org/10.1145/330249.330254";0
