dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tosem/FlemingSPBBLK13;article;2017-01-03;"An Information Foraging Theory Perspective on Tools for Debugging, Refactoring, and Reuse Tasks.";"";"2013";"ACM Trans. Softw. Eng. Methodol.";"http://doi.acm.org/10.1145/2430545.2430551";0
journals/tosem/SchneiderMT92;article;2017-01-30;"An Experimental Study of Fault Detection In User Requirements Documents.";"";"1992";"ACM Trans. Softw. Eng. Methodol.";"http://doi.acm.org/10.1145/128894.128897";0
journals/tosem/ZhangE14;article;2015-05-07;"Amplifying Tests to Validate Exception Handling Code: An Extended Study in the Mobile Application Domain.";"";"2014";"ACM Trans. Softw. Eng. Methodol.";"http://doi.acm.org/10.1145/2652483";0
journals/tosem/BauchHB16;article;2017-01-03;"Control Explicit-Data Symbolic Model Checking.";"";"2016";"ACM Trans. Softw. Eng. Methodol.";"http://doi.acm.org/10.1145/2888393";0
journals/tosem/BrandV96;article;2017-06-09;"Generation of Formatters for Context-Free Languages.";"";"1996";"ACM Trans. Softw. Eng. Methodol.";"http://doi.acm.org/10.1145/226155.226156";0
journals/tosem/ChenTC01;article;2017-06-09;"TACCLE: a methodology for object-oriented software testing at the class and cluster levels.";"";"2001";"ACM Trans. Softw. Eng. Methodol.";"http://doi.acm.org/10.1145/366378.366380";0
journals/tosem/X03;article;2003-11-26;"Reviewers 2002.";"";"2003";"ACM Trans. Softw. Eng. Methodol.";"http://doi.acm.org/10.1145/839268.839273";0
journals/tosem/XuR13;article;2017-01-03;"Precise memory leak detection for java software using container profiling.";"";"2013";"ACM Trans. Softw. Eng. Methodol.";"http://doi.acm.org/10.1145/2491509.2491511";0
journals/tosem/KapoorB07;article;2017-06-09;"Test conditions for fault classes in Boolean specifications.";"";"2007";"ACM Trans. Softw. Eng. Methodol.";"http://doi.acm.org/10.1145/1243987.1243988";0
journals/tosem/WassermannGSD07;article;2017-01-03;"Static checking of dynamically generated queries in database applications.";"";"2007";"ACM Trans. Softw. Eng. Methodol.";"http://doi.acm.org/10.1145/1276933.1276935";0
journals/tosem/FischbeinDBCU12;article;2017-06-09;"Weak Alphabet Merging of Partial Behavior Models.";"";"2012";"ACM Trans. Softw. Eng. Methodol.";"http://doi.acm.org/10.1145/2089116.2089119";0
journals/tosem/SiegelMAC08;article;2017-01-03;"Combining symbolic execution with model checking to verify parallel numerical programs.";"";"2008";"ACM Trans. Softw. Eng. Methodol.";"http://doi.acm.org/10.1145/1348250.1348256";0
journals/tosem/Corbett00;article;2003-11-26;"Using shape analysis to reduce finite-state models of concurrent Java programs.";"";"2000";"ACM Trans. Softw. Eng. Methodol.";"http://doi.acm.org/10.1145/332740.332741";0
journals/tosem/LuciaFOT07;article;2017-06-09;"Recovering traceability links in software artifact management systems using information retrieval methods.";"";"2007";"ACM Trans. Softw. Eng. Methodol.";"http://doi.acm.org/10.1145/1276933.1276934";0
journals/tosem/Weyuker96;article;2003-11-26;"Using Failure Cost Information for Testing and Reliability Assessment.";"";"1996";"ACM Trans. Softw. Eng. Methodol.";"http://doi.acm.org/10.1145/227607.227608";0
