dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/ai/Shirai73;article;2017-05-27;"A Context Sensitive Line Finder for Recognition of Polyhedra.";"";"1973";"Artif. Intell.";"https://doi.org/10.1016/0004-3702(73)90002-7";0
journals/ai/DechterP89;article;2017-05-27;"Tree Clustering for Constraint Networks.";"";"1989";"Artif. Intell.";"https://doi.org/10.1016/0004-3702(89)90037-4";0
journals/ai/GalRSRG12;article;2017-06-05;"Plan recognition in exploratory domains.";"";"2012";"Artif. Intell.";"https://doi.org/10.1016/j.artint.2011.09.002";0
journals/ai/SiklossyRM73;article;2017-05-27;"Breadth-First Search: Some Surprising Results.";"";"1973";"Artif. Intell.";"https://doi.org/10.1016/0004-3702(73)90006-4";0
journals/ai/Valdes-Perez99;article;2017-05-27;"Principles of Human Computer Collaboration for Knowledge Discovery in Science.";"";"1999";"Artif. Intell.";"https://doi.org/10.1016/S0004-3702(98)00116-7";0
journals/ai/EiterGL97;article;2017-05-27;"Semantics and Complexity of Abduction from Default Theories.";"";"1997";"Artif. Intell.";"https://doi.org/10.1016/S0004-3702(96)00040-9";0
journals/ai/Davis79;article;2017-05-27;"Interactive Transfer of Expertise: Acquisition of New Inference Rules.";"";"1979";"Artif. Intell.";None;0
journals/ai/RosenfeldKKS08;article;2017-05-27;"A study of mechanisms for improving robotic group performance.";"";"2008";"Artif. Intell.";"https://doi.org/10.1016/j.artint.2007.09.008";0
journals/ai/DelgadoSB11;article;2017-05-27;"Efficient solutions to factored MDPs with imprecise transition probabilities.";"";"2011";"Artif. Intell.";"https://doi.org/10.1016/j.artint.2011.01.001";0
journals/ai/Huang15;article;2017-05-27;"Bounded model checking of strategy ability with perfect recall.";"";"2015";"Artif. Intell.";"https://doi.org/10.1016/j.artint.2015.01.005";0
journals/ai/Simon83;article;2017-05-27;"Search and Reasoning in Problem Solving.";"";"1983";"Artif. Intell.";"https://doi.org/10.1016/S0004-3702(83)80003-4";0
journals/ai/McCarthy00;article;2017-05-27;"Review: M. Shanahan, Solving the Frame Problem.";"";"2000";"Artif. Intell.";"https://doi.org/10.1016/S0004-3702(00)00057-6";0
journals/ai/McDermott82;article;2017-05-27;"R1: A Rule-Based Configurer of Computer Systems.";"";"1982";"Artif. Intell.";"https://doi.org/10.1016/0004-3702(82)90021-2";0
journals/ai/CaiS13;article;2017-05-27;"Local search for Boolean Satisfiability with configuration checking and subscore.";"";"2013";"Artif. Intell.";"https://doi.org/10.1016/j.artint.2013.09.001";0
journals/ai/BaroniCDG13;article;2017-06-05;"Automata for infinite argumentation structures.";"";"2013";"Artif. Intell.";"https://doi.org/10.1016/j.artint.2013.05.002";0
journals/ai/Mengshoel10;article;2017-05-27;"Understanding the scalability of Bayesian network inference using clique tree growth curves.";"";"2010";"Artif. Intell.";"https://doi.org/10.1016/j.artint.2010.05.007";0
