dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/cacm/BaroudiG86;article;2011-06-07;"Impact of the Technological Environment on Programmer/Analyst Job Outcomes.";"";"1986";"Commun. ACM";"http://doi.acm.org/10.1145/5948.5953";0
journals/cacm/LangfordR11;article;2017-06-05;"Conferences and video lectures; scientific educational games.";"";"2011";"Commun. ACM";"http://doi.acm.org/10.1145/2043174.2043178";0
journals/cacm/Wells63b;article;2003-11-20;"Recent improvements in MADCAP.";"";"1963";"Commun. ACM";"http://doi.acm.org/10.1145/368310.368389";0
journals/cacm/Neville-Neil15b;article;2015-06-15;"Lazarus code.";"";"2015";"Commun. ACM";"http://doi.acm.org/10.1145/2753172";0
journals/cacm/Stewart04;article;2006-02-09;"Introduction.";"";"2004";"Commun. ACM";"http://doi.acm.org/10.1145/1029496.1029522";0
journals/cacm/Cerf05;article;2006-02-09;"Spam, spim, and spit.";"";"2005";"Commun. ACM";"http://doi.acm.org/10.1145/1053291.1053314";0
journals/cacm/Schank98;article;2003-11-20;"Horses For Courses.";"";"1998";"Commun. ACM";"http://doi.acm.org/10.1145/278476.278482";0
journals/cacm/AtiasS12;article;2012-05-01;"Comparative analysis of protein networks: hard problems, practical solutions.";"";"2012";"Commun. ACM";"http://doi.acm.org/10.1145/2160718.2160738";0
journals/cacm/KierulfCN90;article;2011-06-07;"Smart Game Board and Go Explorer: A Study in Software and Knowledge Engineering.";"";"1990";"Commun. ACM";"http://doi.acm.org/10.1145/75577.75581";0
journals/cacm/X11g;article;2011-03-14;"In the Virtual Extension.";"";"2011";"Commun. ACM";"http://doi.acm.org/10.1145/1897852.1897855";0
journals/cacm/McGinity02;article;2003-11-20;"Call it techonomics.";"";"2002";"Commun. ACM";"http://doi.acm.org/10.1145/504729.504744";0
journals/cacm/Cusumano13;article;2013-01-21;"The Apple-Samsung lawsuits.";"";"2013";"Commun. ACM";"http://doi.acm.org/10.1145/2398356.2398366";1
journals/cacm/Bowman97;article;2011-06-07;"VR Meets Physical Therapy.";"";"1997";"Commun. ACM";"http://doi.acm.org/10.1145/257874.257887";0
journals/cacm/Valdes-Perez99;article;2003-11-20;"Discovery Tools for Science Apps.";"";"1999";"Commun. ACM";"http://doi.acm.org/10.1145/319382.319389";0
journals/cacm/Wolfram84;article;2003-11-20;"Special Section on Computing at the Frontiers of Theoretical Physics - Introduction.";"";"1985";"Commun. ACM";"";0
journals/cacm/Huskey64;article;2003-11-20;"Journal readership and journal purpose.";"";"1964";"Commun. ACM";"http://doi.acm.org/10.1145/364984.364987";0
journals/cacm/Wirth65;article;2006-03-31;"Algorithm 249: outreal N [15].";"";"1965";"Commun. ACM";"http://doi.acm.org/10.1145/363744.363754";0
journals/cacm/Marsaglia03;article;2003-11-20;"Seeds for random number generators.";"";"2003";"Commun. ACM";"http://doi.acm.org/10.1145/769800.769827";0
journals/cacm/Lau73;article;2003-11-20;"Binary Pattern Reconstruction from Projections [Z] (Remark on Algorithm 445).";"";"1973";"Commun. ACM";"";0
journals/cacm/OdenS72;article;2011-06-07;"A Model of Memory Contention in a Paging Machine.";"";"1972";"Commun. ACM";"http://doi.acm.org/10.1145/361532.361554";0
journals/cacm/EndresF98;article;2012-09-14;"Students Access Books and Journals through MeDoc.";"";"1998";"Commun. ACM";"http://doi.acm.org/10.1145/273035.273058";0
journals/cacm/Peace03;article;2006-02-09;"Balancing free speech and censorship: academia's response to the Internet.";"";"2003";"Commun. ACM";"http://doi.acm.org/10.1145/948383.948388";0
journals/cacm/Lyness71;article;2011-06-07;"ENTCAF and ENTCRE: Evaluation of Normalized Taylor Coefficients of an Analytic Function [C5] (Algorithm 413).";"";"1971";"Commun. ACM";"http://doi.acm.org/10.1145/362759.362820";0
journals/cacm/Wyk90;article;2011-06-07;"Literate Programming: An Assessment.";"";"1990";"Commun. ACM";"http://doi.acm.org/10.1145/77481.316051";0
journals/cacm/LiuS00;article;2003-11-20;"Is paperless really more?";"";"2000";"Commun. ACM";"http://doi.acm.org/10.1145/353360.353370";0
journals/cacm/BentleyK86;article;2011-06-07;"GRAP - A Language for Typesetting Graphs.";"";"1986";"Commun. ACM";"http://doi.acm.org/10.1145/6424.6429";0
journals/cacm/BacherBWS17;article;2017-08-08;"Spin-it: optimizing moment of inertia for spinnable objects.";"";"2017";"Commun. ACM";"http://doi.acm.org/10.1145/3068766";0
journals/cacm/Dayhoff63;article;2003-11-20;"A contour-map program for x-ray crystallography.";"";"1963";"Commun. ACM";"http://doi.acm.org/10.1145/367651.367688";0
journals/cacm/GuhaBM16;article;2016-02-25;"Schema.org: evolution of structured data on the web.";"";"2016";"Commun. ACM";"http://doi.acm.org/10.1145/2844544";0
journals/cacm/MercuriN03;article;2006-02-09;"Security by obscurity.";"";"2003";"Commun. ACM";"http://doi.acm.org/10.1145/948383.948413";0
journals/cacm/Hodes70;article;2013-01-17;"A programming system for the on-line analysis of biomedical images.";"";"1970";"Commun. ACM";"http://doi.acm.org/10.1145/362349.362351";0
journals/cacm/Moravec03;article;2006-02-09;"Robots, after all.";"";"2003";"Commun. ACM";"http://doi.acm.org/10.1145/944217.944218";0
journals/cacm/Glass99;article;2003-11-20;"The Realities of Software Payoffs.";"";"1999";"Commun. ACM";"http://doi.acm.org/10.1145/293411.293481";0
journals/cacm/Polanczyk12;article;2012-09-07;"Extending the semantics of scheduling priorities.";"";"2012";"Commun. ACM";"http://doi.acm.org/10.1145/2240236.2240252";0
journals/cacm/X12d;article;2012-04-20;"The beauty of simplicity.";"";"2012";"Commun. ACM";"http://doi.acm.org/10.1145/2133806.2133808";0
journals/cacm/SantosS08;article;2008-11-03;"RFID in the supply chain: panacea or Pandora's box?";"";"2008";"Commun. ACM";"http://doi.acm.org/10.1145/1400181.1400209";0
journals/cacm/BrugM75;article;2011-06-07;"State-Space, Problem-Reduction, and Theorem Proving-Some Relationships.";"";"1975";"Commun. ACM";"http://doi.acm.org/10.1145/360666.360672";0
journals/cacm/JainAS99;article;2003-11-20;"Agents for Process Coherence in Virtual Enterprises.";"";"1999";"Commun. ACM";"http://doi.acm.org/10.1145/295685.295702";0
journals/cacm/Greengard09d;article;2009-12-08;"Making automation work.";"";"2009";"Commun. ACM";"http://doi.acm.org/10.1145/1610252.1610261";0
journals/cacm/Liskov72;article;2011-06-07;"The Design of the Venus Operating System.";"";"1972";"Commun. ACM";"http://doi.acm.org/10.1145/361268.361272";0
