dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
conf/icml/BubeckWV13;inproceedings;2013-11-20;"Multiple Identifications in Multi-Armed Bandits.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/bubeck13.html";0
conf/icml/ZhaiB13;inproceedings;2017-07-21;"Online Latent Dirichlet Allocation with Infinite Vocabulary.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/zhai13.html";0
conf/icml/HamiltonFP13;inproceedings;2013-11-19;"Modelling Sparse Dynamical Systems with Compressed Predictive State Representations.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/hamilton13.html";0
conf/icml/MehtaG13;inproceedings;2013-11-19;"Sparsity-Based Generalization Bounds for Predictive Sparse Coding.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/mehta13.html";0
conf/icml/HeaukulaniG13;inproceedings;2013-11-19;"Dynamic Probabilistic Models for Latent Feature Propagation in Social Networks.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/heaukulani13.html";0
conf/icml/OstingBO13;inproceedings;2013-11-19;"Enhanced statistical rankings via targeted data collection.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/osting13.html";0
conf/icml/WangX13;inproceedings;2013-11-19;"Noisy Sparse Subspace Clustering.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/wang13.html";0
conf/icml/GirshickSD13;inproceedings;2013-11-19;"Discriminatively Activated Sparselets.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/girshick13.html";0
conf/icml/WulsinFL13;inproceedings;2013-11-19;"Parsing epileptic events using a Markov switching process model for correlated time series.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/wulsin13.html";0
conf/icml/GrinbergP13;inproceedings;2013-11-19;"Average Reward Optimization Objective In Partially Observable Domains.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/grinberg13.html";0
conf/icml/SznitmanLFJF13;inproceedings;2015-02-27;"An Optimal Policy for Target Localization with Application to Electron Microscopy.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/sznitman13.html";0
conf/icml/BalcanBEL13;inproceedings;2013-11-19;"Efficient Semi-supervised and Active Learning of Disjunctions.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/balcan13.html";0
conf/icml/YuCSS13;inproceedings;2013-11-19;"Characterizing the Representer Theorem.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/yu13.html";0
conf/icml/XiangTY13;inproceedings;2013-11-19;"Efficient Sparse Group Feature Selection via Nonconvex Optimization.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/xiang13.html";0
conf/icml/ChenK13;inproceedings;2016-06-30;"Near-optimal Batch Mode Active Learning and Adaptive Submodular Optimization.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/chen13b.html";0
conf/icml/ChenLYY13;inproceedings;2013-12-11;"General Functional Matrix Factorization Using Gradient Boosting.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/chen13e.html";0
conf/icml/GilboaSCG13;inproceedings;2016-06-08;"Scaling Multidimensional Gaussian Processes using Projected Additive Approximations.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/gilboa13.html";0
conf/icml/ZuluagaSKP13;inproceedings;2016-06-30;"Active Learning for Multi-Objective Optimization.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/zuluaga13.html";0
conf/icml/KarbasiSS13;inproceedings;2013-11-19;"Iterative Learning and Denoising in Convolutional Neural Associative Memories.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/karbasi13.html";0
conf/icml/MenonTGLK13;inproceedings;2013-11-19;"A Machine Learning Framework for Programming by Example.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/menon13.html";0
conf/icml/PareekR13;inproceedings;2016-04-08;"Human Boosting.";"ICML (1)";"2013";"";"http://jmlr.org/proceedings/papers/v28/pareek13.html";0
