dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
conf/icra/TigliOT93;inproceedings;2017-05-22;"Toward a New Intelligent Reactive Controller for Autonomous Mobile Robots.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292184";0
conf/icra/BackesLS93;inproceedings;2017-05-22;"The Modular Telerobot Task Execution System for Space Telerobotics.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292225";0
conf/icra/SakaguchiFWM93;inproceedings;2017-05-22;"Motion Planning and Control for a Robot Performer.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292262";0
conf/icra/ChenL93;inproceedings;2017-05-22;"Task Level Optimum Scheduling by Truncated Petri Nets Applied to Operation of Multi-Robot Workcells.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292195";0
conf/icra/NelsonK93;inproceedings;2017-05-22;"Increasing the Tracking Region of an Eye-In-Hand System by Singularity and Joint Limit Avoidance.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292208";0
conf/icra/Donald93a;inproceedings;2017-05-22;"Information Invariants in Robotics: Part II - Sensors and Computation.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292189";0
conf/icra/KawauchiIF93;inproceedings;2017-05-22;"A Principle of Distributed Decision Making of Celluar Robotic System (CEBOT).";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292248";0
conf/icra/TakeuchiGA93;inproceedings;2017-05-22;"Automated Polishing Process with a Human-Like Dextrous Robot.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292266";0
conf/icra/LashR93;inproceedings;2017-05-22;"Path Planning for Robotic Applications in Roadway Crack Sealing.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292252";0
conf/icra/DohringLN93;inproceedings;2017-05-22;"A Load-Dependent Transmission Friction Model: Theory and Experiments.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292210";0
conf/icra/ReznikL93;inproceedings;2017-05-22;"Sensor-Based Motion Planning for Highly Redundant Kinematic Structures: II. The Case of a Snake Arm Manipulator.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292256";0
conf/icra/HenrioudM93;inproceedings;2017-05-22;"Systematic Method for the Design of Flexible Assembly Systems.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.291871";0
conf/icra/BaiardiCCP93;inproceedings;2017-05-22;"Modelling Contact Phenomena Within the Dynamic Simulation of Advanced Robotic Structures.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.291850";0
conf/icra/BrokowskiPG93;inproceedings;2017-05-22;"Curved Fences for Part Alignment.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292216";0
conf/icra/YoshikawaHDM93;inproceedings;2017-05-22;"Quasi-Static Trajectory Tracking Control of flexible Manipulator by Macro-Micro Manipulator System.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.291848";0
conf/icra/LewisV93;inproceedings;2017-05-22;"Flexible Robot Arm Control by a Feedback Linearization/Singular Perturbation Approach.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292232";0
conf/icra/WangL93;inproceedings;2017-05-22;"Integrated Structure/Trajectory-Tracking-Control Design of Flexible Robot Arms.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.291814";0
conf/icra/Ishida93;inproceedings;2017-05-22;"Towards Organizational Problem Solving.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292249";0
conf/icra/OlsenC93;inproceedings;2017-05-22;"Automated Composite Tape Lay-Up Using Robotic Devices.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292190";0
conf/icra/KimB93;inproceedings;2017-05-22;"Constructing Design Plans for DFA Redesign.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292193";0
conf/icra/KhorramiZT93;inproceedings;2017-05-22;"Experimental Results on Active Control of Flexible-Link Manipulators with Embedded Piezoceramics.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292180";0
conf/icra/Wang93;inproceedings;2017-05-22;"Establish a Globally Consistent Order of Discrete Events in Distributed Robotic Systems.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292251";0
conf/icra/BoddyT93;inproceedings;2017-05-22;"Whole-Arm Reactive Collision Avoidance Control of Kinematically Redundant Manipulators.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292203";0
conf/icra/Siciliano93;inproceedings;2017-05-22;"Closed-Loop Inverse Kinematics Algorithms for Redundant Spacecraft/Manipulator Systems.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.291865";0
conf/icra/BrostC93;inproceedings;2017-05-22;"Probabilistic Analysis of Manipulation Tasks: A Research Agenda.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292229";0
conf/icra/PilA93;inproceedings;2017-05-22;"A Computer Integrated Development System for High Speed Robot Design Incorporating Structural Reconfiguration.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.291827";0
conf/icra/DeoW93a;inproceedings;2017-05-22;"Minimum Infinity-Norm Inverse Kinematic Solution For Redundant Manipulators.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292204";0
conf/icra/LucariniVCS93;inproceedings;2017-05-22;"Celluar Robotics: Simulation and HW Implementation.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292250";0
conf/icra/BessonnetL93;inproceedings;2017-05-22;"Planning of Optimal Free Paths of Robotic Manipulators with Bounds on Dynamic Forces.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292187";0
conf/icra/ButtazzoAF93;inproceedings;2017-05-22;"Mousebuster: A Robot System for Catching Fast Moving Objects by Vision.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292263";0
conf/icra/ChongCS93;inproceedings;2017-05-22;"A Finite Motion Planning Strategy for Multifingered Robotic Hands Considering Sliding and Rolling Contacts.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.291852";0
conf/icra/UeyamaF93;inproceedings;2017-05-22;"Knowledge Acquisition and Distributed Decision Making - Cellular Robotics Approach Using Genetic Algorithm.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.291854";0
conf/icra/RabeloYJT93;inproceedings;2017-05-22;"Intelligent Scheduling for Flexible Manufacturing Systems.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.292244";0
conf/icra/JankowskiEE93;inproceedings;2017-05-22;"Inverse Dynamics Control of Multiple Robot Arms with Flexible Joints.";"ICRA (3)";"1993";"";"https://doi.org/10.1109/ROBOT.1993.291818";0
