dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/taslp/ZhangLLS16;article;2017-08-28;"Listwise Ranking Functions for Statistical Machine Translation.";"";"2016";"IEEE/ACM Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASLP.2016.2560527";0
journals/taslp/HuangWW16;article;2017-05-28;"Improving Mandarin Prosody Generation Using Alternative Smoothing Techniques.";"";"2016";"IEEE/ACM Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASLP.2016.2588727";0
journals/taslp/WuC16a;article;2017-05-28;"Generation of Affective Accompaniment in Accordance With Emotion Flow.";"";"2016";"IEEE/ACM Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASLP.2016.2603006";0
journals/taslp/WuZS14;article;2017-05-28;"The Theory of Compressive Sensing Matching Pursuit Considering Time-domain Noise with Application to Speech Enhancement.";"";"2014";"IEEE/ACM Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASLP.2014.2300336";0
journals/taslp/NakashikaTA15;article;2017-05-28;"Voice Conversion Using RNN Pre-Trained by Recurrent Temporal Restricted Boltzmann Machines.";"";"2015";"IEEE/ACM Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASLP.2014.2379589";0
journals/taslp/ReindlMBK14;article;2017-05-28;"Minimum Mutual Information-Based Linearly Constrained Broadband Signal Extraction.";"";"2014";"IEEE/ACM Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASLP.2014.2319155";0
journals/taslp/KimKK15;article;2017-05-28;"Automatic Intelligibility Assessment of Dysarthric Speech Using Phonologically-Structured Sparse Linear Model.";"";"2015";"IEEE/ACM Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASLP.2015.2403619";0
journals/taslp/DurandBDR17;article;2017-05-28;"Robust Downbeat Tracking Using an Ensemble of Convolutional Networks.";"";"2017";"IEEE/ACM Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASLP.2016.2623565";0
journals/taslp/CumaniL14a;article;2017-05-28;"Large-Scale Training of Pairwise Support Vector Machines for Speaker Recognition.";"";"2014";"IEEE/ACM Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASLP.2014.2341914";0
journals/taslp/ZaoCF14;article;2017-05-28;"Speech Enhancement with EMD and Hurst-Based Mode Selection.";"";"2014";"IEEE/ACM Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASLP.2014.2312541";0
journals/taslp/OtsukaIYSO14;article;2017-06-08;"Multichannel sound source dereverberation and separation for arbitrary number of sources based on Bayesian nonparametrics.";"";"2014";"IEEE/ACM Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASLP.2014.2363790";0
journals/taslp/RafiiDP14;article;2017-05-28;"Combining rhythm-based and pitch-based methods for background and melody separation.";"";"2014";"IEEE/ACM Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASLP.2014.2354242";0
journals/taslp/GrijalvaMFG16;article;2017-06-08;"A Manifold Learning Approach for Personalizing HRTFs from Anthropometric Features.";"";"2016";"IEEE/ACM Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASLP.2016.2517565";0
