dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tcbb/BefekaduTTR11;article;2017-06-08;"Probabilistic Mixture Regression Models for Alignment of LC-MS Data.";"";"2011";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2010.88";0
journals/tcbb/GaneshKumarRDV14;article;2017-05-28;"Hybrid Ant Bee Algorithm for Fuzzy Expert System Based Sample Classification.";"";"2014";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2014.2307325";0
journals/tcbb/MarschallHKR12;article;2017-06-08;"Probabilistic Arithmetic Automata and Their Applications.";"";"2012";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2012.109";0
journals/tcbb/WongB11;article;2017-06-08;"Using Kernel Alignment to Select Features of Molecular Descriptors in a QSAR Study.";"";"2011";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2011.31";0
journals/tcbb/MurphyWD11;article;2017-06-14;"A Theoretical Analysis of the Prodrug Delivery System for Treating Antibiotic-Resistant Bacteria.";"";"2011";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2010.58";0
journals/tcbb/BuhrmanGKKS11;article;2017-05-28;"Some Mathematical Refinements Concerning Error Minimization in the Genetic Code.";"";"2011";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2011.40";0
journals/tcbb/BansalS11;article;2017-05-28;"A Note on the Fixed Parameter Tractability of the Gene-Duplication Problem.";"";"2011";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2010.74";0
journals/tcbb/ZhangWL14;article;2017-05-28;"Synchronization of Boolean Networks with Different Update Schemes.";"";"2014";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2014.2338313";0
journals/tcbb/AgrawalH11;article;2017-05-28;"Pairwise Statistical Significance of Local Sequence Alignment Using Sequence-Specific and Position-Specific Substitution Matrices.";"";"2011";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2009.69";0
journals/tcbb/RajapakseH05;article;2006-02-09;"Markov Encoding for Detecting Signals in Genomic Sequences.";"";"2005";"IEEE/ACM Trans. Comput. Biology Bioinform.";"http://doi.acm.org/10.1145/1070604.1070688";0
journals/tcbb/KulekciVX12;article;2017-05-28;"Efficient Maximal Repeat Finding Using the Burrows-Wheeler Transform and Wavelet Tree.";"";"2012";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2011.127";0
journals/tcbb/NasrLRBH13;article;2017-06-08;"Intensity-Based Skeletonization of CryoEM Gray-Scale Images Using a True Segmentation-Free Algorithm.";"";"2013";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2013.121";0
journals/tcbb/Taha14;article;2017-06-08;"Determining Semantically Related Significant Genes.";"";"2014";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2014.2344668";0
journals/tcbb/GuoJYFKZ14;article;2017-05-28;"Reliable and Fast Estimation of Recombination Rates by Convergence Diagnosis and Parallel Markov Chain Monte Carlo.";"";"2014";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2013.133";0
journals/tcbb/GrunewaldSBBM13;article;2017-06-14;"SuperQ: Computing Supernetworks from Quartets.";"";"2013";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2013.8";0
journals/tcbb/Rosenberg13;article;2017-05-28;"Coalescent Histories for Caterpillar-Like Families.";"";"2013";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2013.123";0
journals/tcbb/OhLZ11;article;2017-05-28;"Ensemble Learning with Active Example Selection for Imbalanced Biomedical Data Classification.";"";"2011";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2010.96";0
journals/tcbb/ZoppisGBCMGFGSBMAM12;article;2017-06-08;"Mutual Information Optimization for Mass Spectra Data Alignment.";"";"2012";"IEEE/ACM Trans. Comput. Biology Bioinform.";"https://doi.org/10.1109/TCBB.2011.80";0
