dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/ton/Naik97;article;2017-05-27;"Efficient computation of unique input/output sequences in finite-state machines.";"";"1997";"IEEE/ACM Trans. Netw.";"https://doi.org/10.1109/90.649519";0
journals/ton/ElhouraniGR16;article;2017-05-27;"IP Fast Rerouting for Multi-Link Failures.";"";"2016";"IEEE/ACM Trans. Netw.";"https://doi.org/10.1109/TNET.2016.2516442";0
journals/ton/YuenM05;article;2017-05-27;"Price-based rate control in random access networks.";"";"2005";"IEEE/ACM Trans. Netw.";"https://doi.org/10.1109/TNET.2005.858448";1
journals/ton/MenthL12;article;2017-05-27;"Performance of PCN-Based Admission Control Under Challenging Conditions.";"";"2012";"IEEE/ACM Trans. Netw.";"https://doi.org/10.1109/TNET.2012.2189415";0
journals/ton/MarkopoulouIBCGD08;article;2009-03-23;"Characterization of failures in an operational IP backbone network.";"";"2008";"IEEE/ACM Trans. Netw.";"http://doi.acm.org/10.1145/1453698.1453699";0
journals/ton/GharakheiliSMVM17;article;2017-09-06;"Enabling Fast and Slow Lanes for Content Providers Using Software Defined Networking.";"";"2017";"IEEE/ACM Trans. Netw.";"https://doi.org/10.1109/TNET.2016.2627005";0
journals/ton/StoicaAZSS04;article;2017-05-27;"Internet indirection infrastructure.";"";"2004";"IEEE/ACM Trans. Netw.";"https://doi.org/10.1109/TNET.2004.826279";0
journals/ton/SuV00;article;2017-05-27;"Statistical multiplexing and mix-dependent alternative routing in multiservice VP networks.";"";"2000";"IEEE/ACM Trans. Netw.";"https://doi.org/10.1109/90.836481";0
journals/ton/HartK94;article;2017-05-27;"Automated repair of complex systems by fault compensation.";"";"1994";"IEEE/ACM Trans. Netw.";"https://doi.org/10.1109/90.298437";0
journals/ton/ZhangXTT08;article;2008-08-05;"Faster algorithms for construction of recovery trees enhancing QoP and QoS.";"";"2008";"IEEE/ACM Trans. Netw.";"http://doi.acm.org/10.1145/1399562.1399574";0
journals/ton/LiWLCX11;article;2017-09-28;"Defending Against Distance Cheating in Link-Weighted Application-Layer Multicast.";"";"2011";"IEEE/ACM Trans. Netw.";"https://doi.org/10.1109/TNET.2011.2118230";0
