dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tsp/JainS86;article;2017-05-18;"High performance signal-modeling by pencil-of-functions method: Band-pass case.";"";"1986";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/TASSP.1986.1164894";0
journals/tsp/ScalesT87;article;2017-05-18;"On the connection between IRLS and Gauss' method for l1inversion: Comments on "Fast algorithms for lpdeconvolution".";"";"1987";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/TASSP.1987.1165175";0
journals/tsp/Bershad87a;article;2017-05-18;"On the optimum gain parameter in LMS adaptation.";"";"1987";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/TASSP.1987.1165232";0
journals/tsp/FellmanKK90;article;2017-05-18;"Design and evaluation of an architecture for a digital signal processor for instrumentation applications.";"";"1990";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/29.106871";0
journals/tsp/TekalpKW89;article;2017-09-16;"Edge-adaptive Kalman filtering for image restoration with ringing suppression.";"";"1989";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/ASSP.1989.28060";0
journals/tsp/JuangRW87;article;2017-05-18;"On the use of bandpass liftering in speech recognition.";"";"1987";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/TASSP.1987.1165237";0
journals/tsp/PalmieriB89;article;2017-05-18;"Ll-filters-a new class of order statistic filters.";"";"1989";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/29.17561";0
journals/tsp/KumarP86;article;2017-05-18;"Recursive center-frequency adaptive filters for the enhancement of bandpass signals.";"";"1986";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/TASSP.1986.1164842";0
journals/tsp/Radonja90;article;2017-05-18;"Roundoff noise in signal estimation and minimization of total real estimator output noise.";"";"1990";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/29.61534";0
journals/tsp/KroonDS86;article;2017-05-18;"Regular-pulse excitation-A novel approach to effective and efficient multipulse coding of speech.";"";"1986";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/TASSP.1986.1164946";0
journals/tsp/WilliamsPMS88;article;2017-05-18;"An improved spatial smoothing technique for bearing estimation in a multipath environment.";"";"1988";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/29.1546";0
journals/tsp/DelsarteGK85a;article;2017-05-18;"A generalization of the Levinson algorithm for Hermitian Toeplitz matrices with any rank profile.";"";"1985";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/TASSP.1985.1164645";0
journals/tsp/CadzowS87;article;2017-05-18;"Linear modeling and the coherence function.";"";"1987";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/TASSP.1987.1165022";0
journals/tsp/KayN90;article;2017-05-18;"An efficient two-dimensional frequency estimator.";"";"1990";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/29.60114";0
journals/tsp/BohmannM86;article;2017-05-18;"An all-digital realization of a baseband DLL implemented as a dynamical state estimator.";"";"1986";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/TASSP.1986.1164865";0
journals/tsp/NarayanB90;article;2017-05-18;"Spectral estimation of quasi-periodic data.";"";"1990";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/29.106869";0
journals/tsp/Vergara-Dominguez90;article;2017-06-09;"New insights into the high-order Yule-Walker equations.";"";"1990";"IEEE Trans. Acoustics, Speech, and Signal Processing";"https://doi.org/10.1109/29.60088";0
