dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/taes/TranRBML14;article;2017-05-27;"Performance Bounds for the Pulse-Phase Estimation of X-Ray Pulsars.";"";"2014";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2013.110666";0
journals/taes/Henkel15;article;2017-05-27;"Tightly coupled precise point positioning and attitude determination.";"";"2015";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2015.140568";0
journals/taes/ZhengZLLW16;article;2017-05-27;"Optimization and analysis of PDAF with Bayesian detection.";"";"2016";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2016.150176";0
journals/taes/KalenderS13;article;2017-05-27;"Sparse Grid-Based Nonlinear Filtering.";"";"2013";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2013.6621823";0
journals/taes/Raghavan12;article;2017-05-27;"Statistical Interpretation of a Data Adaptive Clutter Subspace Estimation Algorithm.";"";"2012";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2012.6178068";0
journals/taes/MusickiS13;article;2017-05-27;"Track Initialization: Prior Target Velocity and Acceleration Moments.";"";"2013";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2013.6404131";0
journals/taes/GrzymischF15;article;2017-05-27;"Nonlinear pseudo-measurement filtering for in-orbit bearings-only navigation.";"";"2015";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2015.130823";0
journals/taes/SongWZ12;article;2017-07-12;"On Fisher Information Reduction for Range-Only Localization with Imperfect Detection.";"";"2012";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2012.6324762";0
journals/taes/AubryMFHO15;article;2017-06-08;"Radar detection and range estimation using oversampled data.";"";"2015";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2014.130364";0
journals/taes/MoeiniN16;article;2017-05-27;"Global attitude/position estimation using landmark and biased velocity measurements.";"";"2016";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2015.140626";1
journals/taes/LeomanniGGFS17;article;2017-07-26;"Minimum Switching Thruster Control for Spacecraft Precision Pointing.";"";"2017";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2017.2655120";0
journals/taes/PrattHGL11;article;2017-05-27;"Subspace Optimization in Centralized Noncoherent MIMO Radar.";"";"2011";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2011.5751254";0
journals/taes/Meng13;article;2017-05-27;"Performance Analysis of OS-CFAR with Binary Integration for Weibull Background.";"";"2013";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2013.6494420";0
journals/taes/BaeKK16;article;2017-05-27;"Efficient frequency-hopping synchronization for satellite communications using dehop-rehop transponders.";"";"2016";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2015.150062";0
journals/taes/DwivediBBP16;article;2017-05-27;"Generalized estimation and predictive guidance for evasive targets.";"";"2016";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2016.140861";0
journals/taes/Alcorta-GarciaZ11;article;2017-09-16;"A Nonlinear Observer-Based Strategy for Aircraft Oscillatory Failure Detection: A380 Case Study.";"";"2011";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2011.6034665";0
journals/taes/GuiVX15;article;2017-05-27;"Attitude tracking of a rigid spacecraft using two internal torques.";"";"2015";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2015.140670";0
journals/taes/XuD17;article;2017-07-26;"Optimal Sensor Placement for 3-D Angle-of-Arrival Target Localization.";"";"2017";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2017.2667999";0
journals/taes/JiLWYBCLL16;article;2017-05-27;"An integrated tailoring model for thermal cycling tests of spacecraft electronics.";"";"2016";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2016.150525";0
journals/taes/GiorgiH15;article;2017-05-27;"Ionospheric bias detection in carrier phase-only ground-based augmentation systems.";"";"2015";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2015.130295";1
journals/taes/TranDNS17;article;2017-07-26;"A Dynamically Configurable Decimator for a GNSS Baseband Receiver.";"";"2017";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2017.2650298";0
journals/taes/GorjiTK13;article;2017-05-27;"Widely Separated MIMO versus Multistatic Radars for Target Localization and Tracking.";"";"2013";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2013.6621809";0
journals/taes/SjanicG15a;article;2017-05-27;"Navigation and SAR focusing with map aiding.";"";"2015";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2015.130397";0
journals/taes/ZhouXLD17;article;2017-06-28;"Robust CFAR Detector With Weighted Amplitude Iteration in Nonhomogeneous Sea Clutter.";"";"2017";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2017.2671798";0
journals/taes/OhTKTPW14;article;2017-06-08;"Coordinated Standoff Tracking Using Path Shaping for Multiple UAVs.";"";"2014";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2013.110712";0
journals/taes/LiaoZC12;article;2017-05-27;"DOA Estimation and Tracking of ULAs with Mutual Coupling.";"";"2012";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2012.6129676";0
journals/taes/DattathreyaS14a;article;2017-05-27;"Mission aware energy efficiency in stationary combat vehicles.";"";"2014";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2014.120770";0
journals/taes/WangLH14;article;2017-05-27;"Direction finding algorithms based on joint iterative subspace optimization.";"";"2014";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2014.120395";0
journals/taes/GhoshBMR12;article;2017-06-08;"Improved Estimation of Kinematic State of Reentry Ballistic Targets with Modeling of Colored and Nonstationary Seeker Noise.";"";"2012";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2012.6324691";0
journals/taes/GrazianoD14;article;2017-05-27;"Novel constellation design method for spaceborne/airborne bistatic SAR systems.";"";"2014";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2014.130161";0
journals/taes/LuDWBP17;article;2017-10-19;"A Bootstrapped PMHT with Feature Measurements.";"";"2017";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2017.2704698";0
journals/taes/LeeV16;article;2017-05-27;"Adaptive finite-time control for spacecraft hovering over an asteroid.";"";"2016";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2015.140822";1
journals/taes/DigneBKCJ17;article;2017-06-14;"Classification of Radar Pulses in a Naval Warfare Context Using Bézier Curve Modeling of the Instantaneous Frequency Law.";"";"2017";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2017.2671578";0
journals/taes/BrasHMBT14;article;2017-05-27;"Approach maneuvers for autonomous landing using visual servo control.";"";"2014";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2013.110780";1
journals/taes/ZhangHLLS14;article;2017-05-27;"A Method for Finding Best Channels in Beam-Space Post-Doppler Reduced-Dimension STAP.";"";"2014";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2013.120145";0
journals/taes/WangC17;article;2017-09-16;"Navigation and Control Based on Integral-Uncertainty Observer for Unmanned Jet Aircraft.";"";"2017";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2017.2668078";0
journals/taes/YuPP12;article;2017-05-27;"CSSF MIMO RADAR: Compressive-Sensing and Step-Frequency Based MIMO Radar.";"";"2012";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2012.6178074";0
journals/taes/HayounWS16;article;2017-05-27;"A mixed L";"";"2016";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2016.150915";0
journals/taes/NickelCL13;article;2017-05-27;"Estimation of Extended Targets using the Generalized Monopulse Estimator: Extension to a Mixed Target Model.";"";"2013";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2013.6558043";0
journals/taes/PollardPR11;article;2017-05-27;"Hybrid Algorithms for Multitarget Tracking using MHT and GM-CPHD.";"";"2011";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2011.5751229";0
journals/taes/DengH13;article;2017-05-27;"Interference Mitigation Processing for Spectrum-Sharing Between Radar and Wireless Communications Systems.";"";"2013";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2013.6558027";0
journals/taes/SeoT15;article;2017-06-15;"Observability analysis and enhancement of radome aberration estimation with line-of-sight angle-only measurement.";"";"2015";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2015.140531";0
journals/taes/YangLSG13;article;2017-06-20;"Nonlinear-Disturbance-Observer-Based Robust Flight Control for Airbreathing Hypersonic Vehicles.";"";"2013";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2013.6494412";0
journals/taes/Zatman00;article;2017-05-27;"Circular array STAP.";"";"2000";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/7.845235";0
journals/taes/Hussain11;article;2017-05-27;"Ambiguity Functions for Monostatic and Bistatic Radar Systems using UWB Throb Signal.";"";"2011";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2011.5937260";0
journals/taes/JiaPBSWC16;article;2017-05-27;"Cooperative space object tracking using space-based optical sensors via consensus-based filters.";"";"2016";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2016.140506";0
journals/taes/OBrienG11;article;2017-05-27;"Mitigation of Adaptive Antenna Induced Bias Errors in GNSS Receivers.";"";"2011";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2011.5705689";0
journals/taes/LanzerottiCM15;article;2017-05-27;"Theoretical phase calculation approach for N simultaneous signals.";"";"2015";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2014.130687";0
journals/taes/KayDR13;article;2017-05-27;"Sensor Integration by Joint PDF Construction using the Exponential Family.";"";"2013";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2013.6404121";0
journals/taes/LiCL14;article;2017-05-27;"Spaceborne SIMO-SAR for three-dimensional ionospheric irregularity sounding.";"";"2014";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2014.120214";0
journals/taes/ChaumetteNL12;article;2017-05-27;"Detection and Parameter Estimation of Extended Targets using the Generalized Monopulse Estimator.";"";"2012";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2012.6324719";0
journals/taes/JensenB00;article;2017-05-27;"Experimental verification of noncoherent Doppler tracking at the Deep Space Network.";"";"2000";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/7.892689";0
journals/taes/WonESFZC12;article;2017-05-27;"Trade-Off Between Data Rate and Signal Power Split in GNSS Signal Design.";"";"2012";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2012.6237591";0
journals/taes/ZhangZZC13;article;2017-05-27;"A Bistatic Synthetic Aperture Radar Imagery Simulation of Maritime Scene Using the Extended Nonlinear Chirp Scaling Algorithm.";"";"2013";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2013.6558038";0
journals/taes/LiLW14;article;2017-05-27;"Target tracking in a collaborative sensor network.";"";"2014";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2014.120287";0
journals/taes/SangstonGG12;article;2017-06-15;"Coherent Radar Target Detection in Heavy-Tailed Compound-Gaussian Clutter.";"";"2012";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2012.6129621";0
journals/taes/Agrawal00;article;2017-05-27;"Determination of cross regulation in multioutput resonant converters.";"";"2000";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/7.869494";0
journals/taes/KolbS14;article;2017-05-27;"Sparse array imaging for microwave gauging by compressed sensing.";"";"2014";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2013.120440";0
journals/taes/MoarrefOR15;article;2017-05-27;"Multiloop controller design for a fly-by-wireless UAV quadrotor based on a multirate sampled-data model.";"";"2015";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2015.140331";1
journals/taes/Coutts00;article;2017-05-27;"Passive localization of moving emitters using out-of-plane multipath.";"";"2000";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/7.845246";0
journals/taes/GurbuzCM12;article;2017-05-27;"Bearing Estimation via Spatial Sparsity using Compressive Sensing.";"";"2012";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2012.6178067";0
journals/taes/MartorellaSSB14;article;2017-05-27;"3D interferometric ISAR imaging of noncooperative targets.";"";"2014";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2014.130210";0
journals/taes/HeTKP13;article;2017-05-27;"Modified Murty's Algorithm for Diverse Multitarget Top Hypothesis Extraction.";"";"2013";"IEEE Trans. Aerospace and Electronic Systems";None;0
journals/taes/ZhuFFLF12;article;2017-05-27;"Target Turning Maneuver Detection using High Resolution Doppler Profile.";"";"2012";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2012.6129669";0
journals/taes/HanRB16;article;2017-05-27;"Maneuvering target tracking using retrospective-cost input estimation.";"";"2016";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2016.150186";0
journals/taes/ChenMM11;article;2017-05-27;"Comment on "One-Step Solution for the Multistep Out-of-Sequence-Measurement Problem in Tracking.";"";"2011";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2011.5937302";0
journals/taes/CoxsonH13;article;2017-05-27;"Construction of Complementary Code Matrices for Waveform Design.";"";"2013";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2013.6558021";0
journals/taes/LeigsneringAAZ14;article;2017-05-27;"Multipath exploitation in through-the-wall radar imaging using sparse reconstruction.";"";"2014";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2013.120528";0
journals/taes/GreenewaldZH16;article;2017-05-27;"Robust SAR STAP via Kronecker decomposition.";"";"2016";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2016.150712";0
journals/taes/NeemaSD16;article;2017-05-27;"Dual phase consensus algorithm for distributed sensor management.";"";"2016";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2016.150196";0
journals/taes/LiuFLW17;article;2017-10-18;"Solar Flare TDOA Navigation Method Using Direct and Reflected Light for Mars Exploration.";"";"2017";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2017.2700958";0
journals/taes/JiangSYY16a;article;2017-06-15;"Three-dimensional aircraft isar imaging based on shipborne radar.";"";"2016";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2016.150393";0
journals/taes/RhudyF0NGC15;article;2017-05-27;"Aircraft model-independent airspeed estimation without pitot tube measurements.";"";"2015";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2015.130631";0
journals/taes/RiwantoTKP17;article;2017-07-26;"Particle Swarm Optimization With Rotation Axis Fitting for Magnetometer Calibration.";"";"2017";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2017.2667458";0
journals/taes/BriguiGTF14;article;2017-05-27;"New SAR target imaging algorithm based on oblique projection for clutter reduction.";"";"2014";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2014.110287";0
journals/taes/FilipeVT16;article;2017-05-27;"Pose tracking without linearand angular-velocity feedback using dual quaternions.";"";"2016";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2015.150046";0
journals/taes/LanL16;article;2017-05-27;"Tracking of extended object or target group using random matrix: new model and approach.";"";"2016";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2016.130346";0
journals/taes/HanN16;article;2017-05-27;"Jointly optimal design for mimo radar frequency-hopping waveforms using game theory.";"";"2016";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2015.140408";0
journals/taes/CroonAI15;article;2017-06-15;"Controlling spacecraft landings with constantly and exponentially decreasing time-to-contact.";"";"2015";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2014.130135";0
journals/taes/SpykerN00a;article;2017-05-27;"Analysis of double-layer capacitors supplying constant power loads.";"";"2000";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/7.892696";0
journals/taes/ShiZZ17;article;2017-07-26;"Almost-Global Finite-Time Trajectory Tracking Control for Quadrotors in the Exponential Coordinates.";"";"2017";"IEEE Trans. Aerospace and Electronic Systems";"https://doi.org/10.1109/TAES.2017.2649258";0
