dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/taffco/Arroyo-Palacios16;article;2017-07-27;"Dancing with Physio: A Mobile Game with Physiologically Aware Virtual Humans.";"";"2016";"IEEE Trans. Affective Computing";"https://doi.org/10.1109/TAFFC.2015.2472013";0
journals/taffco/RahmanAY16;article;2017-05-18;"A Unified Framework for Dividing and Predicting a Large Set of Action Units.";"";"2016";"IEEE Trans. Affective Computing";"https://doi.org/10.1109/TAFFC.2015.2465373";0
journals/taffco/HoqueMP12;article;2017-05-18;"Exploring Temporal Patterns in Classifying Frustrated and Delighted Smiles.";"";"2012";"IEEE Trans. Affective Computing";"https://doi.org/10.1109/T-AFFC.2012.11";0
journals/taffco/WenLCWSH14;article;2017-06-08;"Emotion Recognition Based on Multi-Variant Correlation of Physiological Signals.";"";"2014";"IEEE Trans. Affective Computing";"https://doi.org/10.1109/TAFFC.2014.2327617";0
journals/taffco/WangJTWCX15;article;2017-05-18;"Modeling Emotion Influence in Image Social Networks.";"";"2015";"IEEE Trans. Affective Computing";"https://doi.org/10.1109/TAFFC.2015.2400917";0
journals/taffco/McKeownVCPS12;article;2017-06-08;"The SEMAINE Database: Annotated Multimodal Records of Emotionally Colored Conversations between a Person and a Limited Agent.";"";"2012";"IEEE Trans. Affective Computing";"https://doi.org/10.1109/T-AFFC.2011.20";0
journals/taffco/ZhuWZTM11;article;2017-05-18;"Aspect-Based Opinion Polling from Customer Reviews.";"";"2011";"IEEE Trans. Affective Computing";"https://doi.org/10.1109/T-AFFC.2011.2";0
journals/taffco/CalvoD10;article;2017-06-14;"Affect Detection: An Interdisciplinary Review of Models, Methods, and Their Applications.";"";"2010";"IEEE Trans. Affective Computing";"https://doi.org/10.1109/T-AFFC.2010.1";0
journals/taffco/SaariFEBLS16;article;2017-06-08;"Genre-Adaptive Semantic Computing and Audio-Based Modelling for Music Mood Annotation.";"";"2016";"IEEE Trans. Affective Computing";"https://doi.org/10.1109/TAFFC.2015.2462841";0
journals/taffco/LeeR16;article;2017-05-18;"Partial Matching of Facial Expression Sequence Using Over-Complete Transition Dictionary for Emotion Recognition.";"";"2016";"IEEE Trans. Affective Computing";"https://doi.org/10.1109/TAFFC.2015.2496320";0
