dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/taslp/LombardZBK11;article;2017-05-28;"TDOA Estimation for Multiple Sound Sources in Noisy and Reverberant Environments Using Broadband Independent Component Analysis.";"";"2011";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2010.2092765";0
journals/taslp/HummersoneMB11;article;2017-06-14;"Ideal Binary Mask Ratio: A Novel Metric for Assessing Binary-Mask-Based Sound Source Separation Algorithms.";"";"2011";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2011.2109380";0
journals/taslp/ErkelensH08;article;2017-05-28;"Tracking of Nonstationary Noise Based on Data-Driven Recursive Noise Power Estimation.";"";"2008";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2008.2001108";0
journals/taslp/ArisoySRS12;article;2017-05-28;"Discriminative Language Modeling With Linguistic and Statistically Derived Features.";"";"2012";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2011.2162323";0
journals/taslp/UmeshS07;article;2017-05-28;"A Study of Filter Bank Smoothing in MFCC Features for Recognition of Children's Speech.";"";"2007";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2007.906194";0
journals/taslp/LuLZ06;article;2017-05-28;"Automatic mood detection and tracking of music audio signals.";"";"2006";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TSA.2005.860344";0
journals/taslp/ZhaoD12;article;2017-05-28;"Variational Bayesian Joint Factor Analysis Models for Speaker Verification.";"";"2012";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2011.2170972";0
journals/taslp/DaviesP07;article;2017-06-08;"Context-Dependent Beat Tracking of Musical Audio.";"";"2007";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2006.885257";0
journals/taslp/KimH09;article;2017-05-28;"Time-Frequency Correlation-Based Missing-Feature Reconstruction for Robust Speech Recognition in Band-Restricted Conditions.";"";"2009";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2009.2015080";0
journals/taslp/VidalCRCM06;article;2017-06-08;"Computer-assisted translation using speech recognition.";"";"2006";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TSA.2005.857788";0
journals/taslp/ChienW09;article;2017-06-14;"Minimum Rank Error Language Modeling.";"";"2009";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2008.2008366";0
journals/taslp/DengAB06;article;2017-05-28;"Tracking vocal tract resonances using a quantized nonlinear function embeddedin a temporal constraint.";"";"2006";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TSA.2005.855841";0
journals/taslp/ManciniBP07;article;2017-06-08;"A Virtual Head Driven by Music Expressivity.";"";"2007";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2007.899256";0
journals/taslp/AgiomyrgiannakisS07;article;2017-05-28;"Conditional Vector Quantization for Speech Coding.";"";"2007";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2006.881702";0
journals/taslp/TsaoL09;article;2017-05-28;"An Ensemble Speaker and Speaking Environment Modeling Approach to Robust Speech Recognition.";"";"2009";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2009.2016231";0
journals/taslp/RaoM13;article;2017-05-28;"Boosting the Performance of I-Vector Based Speaker Verification via Utterance Partitioning.";"";"2013";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2013.2243436";0
journals/taslp/HirsimakiPK09;article;2017-05-28;"Importance of High-Order N-Gram Models in Morph-Based Speech Recognition.";"";"2009";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2008.2012323";0
journals/taslp/KowalskiVG10;article;2017-05-28;"Beyond the Narrowband Approximation: Wideband Convex Methods for Under-Determined Reverberant Audio Source Separation.";"";"2010";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2010.2050089";0
journals/taslp/TranterR06;article;2017-05-28;"An overview of automatic speaker diarization systems.";"";"2006";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2006.878256";0
journals/taslp/DasH12;article;2017-05-28;"Constrained Iterative Speech Enhancement Using Phonetic Classes.";"";"2012";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2012.2191282";0
journals/taslp/MayPK12a;article;2017-09-16;"A Binaural Scene Analyzer for Joint Localization and Recognition of Speakers in the Presence of Interfering Noise Sources and Reverberation.";"";"2012";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2012.2193391";0
journals/taslp/LingRY13;article;2017-05-28;"Articulatory Control of HMM-Based Parametric Speech Synthesis Using Feature-Space-Switched Multiple Regression.";"";"2013";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2012.2215600";0
journals/taslp/IrcingPP09;article;2017-06-08;"Using Morphological Information for Robust Language Modeling in Czech ASR System.";"";"2009";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2009.2014217";0
journals/taslp/CaiL12;article;2017-06-08;"Mutually Reinforced Manifold-Ranking Based Relevance Propagation Model for Query-Focused Multi-Document Summarization.";"";"2012";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2012.2186291";0
journals/taslp/AkhtarM11;article;2017-05-28;"Improving Performance of Hybrid Active Noise Control Systems for Uncorrelated Narrowband Disturbances.";"";"2011";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2011.2112349";0
journals/taslp/LinW11;article;2017-05-28;"Burst Onset Landmark Detection and Its Application to Speech Recognition.";"";"2011";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2010.2089518";0
journals/taslp/WuQW11;article;2017-06-08;"Stereo Acoustic Echo Cancellation Employing Frequency-Domain Preprocessing and Adaptive Filter.";"";"2011";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2010.2052804";0
journals/taslp/AnanthakrishnanN08;article;2017-05-28;"Automatic Prosodic Event Detection Using Acoustic, Lexical, and Syntactic Evidence.";"";"2008";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2007.907570";0
journals/taslp/Solera-UrenaGPMD12;article;2017-06-08;"Real-Time Robust Automatic Speech Recognition Using Compact Support Vector Machines.";"";"2012";"IEEE Trans. Audio, Speech & Language Processing";"https://doi.org/10.1109/TASL.2011.2178597";0
