dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tac/AiharaB99;article;2017-05-20;"On the Mortensen equation for maximum likelihood state estimation.";"";"1999";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/9.793785";0
journals/tac/YiNU08;article;2017-06-08;"Controllability and Observability of Systems of Linear Delay Differential Equations Via the Matrix Lambert W Function.";"";"2008";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2008.919549";0
journals/tac/Sarkka07;article;2017-05-20;"On Unscented Kalman Filtering for State Estimation of Continuous-Time Nonlinear Systems.";"";"2007";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2007.904453";0
journals/tac/HusseinB08;article;2017-05-20;"Optimal Control of Underactuated Nonholonomic Mechanical Systems.";"";"2008";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2008.919853";0
journals/tac/FarzaMFPGB14;article;2017-05-20;"Continuous-Discrete Time Observers for a Class of MIMO Nonlinear Systems.";"";"2014";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2013.2283754";0
journals/tac/CzornikS02;article;2017-05-20;"On the sensitivity of the coupled continuous-time Lyapunov equation.";"";"2002";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2002.800660";0
journals/tac/HuL02;article;2017-05-20;"Exact characterization of invariant ellipsoids for single input linear systems subject to actuator saturation.";"";"2002";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/9.981738";0
journals/tac/YuLL12;article;2017-05-20;"Rendezvous Without Coordinates.";"";"2012";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2011.2158172";0
journals/tac/LeeH02;article;2017-05-20;"A novel approach to control of nonminimum-phase nonlinear systems.";"";"2002";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2002.802764";1
journals/tac/TrentelmanW99;article;2017-05-20;"H";"";"1999";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/9.751346";0
journals/tac/HanK07;article;2017-05-20;"L";"";"2007";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2007.895890";0
journals/tac/CaccavaleSV99;article;2017-06-08;"Robot impedance control with nondiagonal stiffness.";"";"1999";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/9.793782";1
journals/tac/Choi04;article;2017-05-20;"An analysis and design method for uncertain variable structure systems with bounded controllers.";"";"2004";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2004.825630";1
journals/tac/XuY00;article;2017-05-20;"H";"";"2000";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/9.867074";0
journals/tac/ChenF04;article;2017-05-20;"Output tracking for nonlinear stochastic systems by iterative learning control.";"";"2004";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2004.825613";1
journals/tac/Sreenivas12;article;2017-05-20;"On the Existence of Supervisory Policies That Enforce Liveness in Partially Controlled Free-Choice Petri Nets.";"";"2012";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2011.2159883";0
journals/tac/LiuS00;article;2017-06-08;"Stabilizing a flexible beam handled by two manipulators via PD feedback.";"";"2000";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/9.887656";0
journals/tac/YinXH11;article;2017-05-20;"Corrections to "A High-Order Internal Model Based Iterative Learning Control Scheme for Nonlinear Systems With Time-Iteration-Varying Parameters" [Nov 10 2665-2670].";"";"2011";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2010.2091830";0
journals/tac/ZevinP10;article;2017-05-20;"Sharp Bounds for Lyapunov Exponents and Stability Conditions for Uncertain Systems With Delays.";"";"2010";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2010.2042349";0
journals/tac/GundesO07;article;2017-05-20;"PID Stabilization of MIMO Plants.";"";"2007";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2007.902763";0
journals/tac/MazencM16;article;2017-05-20;"Stability Analysis for Time-Varying Systems With Delay Using Linear Lyapunov Functionals and a Positive Systems Approach.";"";"2016";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2015.2446111";0
journals/tac/HendrickxSJ15;article;2017-06-14;"Finite-Time Consensus Using Stochastic Matrices With Positive Diagonals.";"";"2015";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2014.2352691";0
journals/tac/JiangN99;article;2017-05-20;"A recursive technique for tracking control of nonholonomic systems in chained form.";"";"1999";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/9.746253";1
journals/tac/RotkowitzL06a;article;2017-05-20;"Affine Controller Parameterization for Decentralized Control Over Banach Spaces.";"";"2006";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2006.880781";0
journals/tac/HajiahmadiSH16;article;2017-06-14;"Design of Stabilizing Switching Laws for Mixed Switched Affine Systems.";"";"2016";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2015.2480216";0
journals/tac/GattamiB16;article;2017-05-20;"Simple Covariance Approach to ℋ";"";"2016";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2015.2457192";0
journals/tac/SchmidZ03;article;2017-06-08;"Performance limitations of nonlinear periodic sampled-data controllers for L";"";"2003";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2003.815022";1
journals/tac/LoLK02;article;2017-05-20;"Comments on "Optimal solution of the two-stage Kalman estimator.";"";"2002";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/9.981745";0
journals/tac/IkhouaneR06;article;2017-06-08;"A linear controller for hysteretic systems.";"";"2006";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2005.863511";1
journals/tac/GarciaPZ01;article;2017-05-20;"Stabilization of discrete time linear systems by static output feedback.";"";"2001";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/9.975499";0
journals/tac/ZhouK07;article;2017-05-20;"Bisimilarity Control of Partially Observed Deterministic Systems.";"";"2007";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2007.904470";0
journals/tac/IordacheA06;article;2017-05-20;"Decentralized supervision of Petri nets.";"";"2006";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2005.863894";0
journals/tac/ShinL12;article;2017-05-20;"Decentralized Control via Gröbner Bases and Variable Elimination.";"";"2012";"IEEE Trans. Automat. Contr.";"https://doi.org/10.1109/TAC.2011.2170110";0
