dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tase/LennartsonBMFHFA14;article;2017-06-08;"Supervisory Control for State-Vector Transition Models - A Unified Approach.";"";"2014";"IEEE Trans. Automation Science and Engineering";"https://doi.org/10.1109/TASE.2013.2291115";0
journals/tase/MoCLL09;article;2017-05-27;"Flow Diversion Strategies for Routing in Integrated Automatic Shipment Handling Systems.";"";"2009";"IEEE Trans. Automation Science and Engineering";"https://doi.org/10.1109/TASE.2008.2009098";0
journals/tase/GarciaV09;article;2017-05-27;"Automated Refinement of Automated Visual Inspection Algorithms.";"";"2009";"IEEE Trans. Automation Science and Engineering";"https://doi.org/10.1109/TASE.2009.2021354";0
journals/tase/Lefebvre16;article;2017-05-27;"Approaching Minimal Time Control Sequences for Timed Petri Nets.";"";"2016";"IEEE Trans. Automation Science and Engineering";"https://doi.org/10.1109/TASE.2015.2467165";0
journals/tase/XuWR06;article;2017-07-12;"STEP-NC and function blocks for interoperable manufacturing.";"";"2006";"IEEE Trans. Automation Science and Engineering";"https://doi.org/10.1109/TASE.2005.862147";0
journals/tase/KimC09;article;2017-05-27;"Direction Sensing RFID Reader for Mobile Robot Navigation.";"";"2009";"IEEE Trans. Automation Science and Engineering";"https://doi.org/10.1109/TASE.2008.2006858";0
journals/tase/DiganiSSF15;article;2017-06-08;"Ensemble Coordination Approach in Multi-AGV Systems Applied to Industrial Warehouses.";"";"2015";"IEEE Trans. Automation Science and Engineering";"https://doi.org/10.1109/TASE.2015.2446614";0
journals/tase/ZhouK07;article;2017-05-27;"A Small Model Theorem for Bisimilarity Control Under Partial Observation.";"";"2007";"IEEE Trans. Automation Science and Engineering";"https://doi.org/10.1109/TASE.2006.873004";0
journals/tase/WangL08;article;2017-05-27;"Effective Neighborhood Operators for Solving the Flexible Demand Assignment Problem.";"";"2008";"IEEE Trans. Automation Science and Engineering";"https://doi.org/10.1109/TASE.2007.897615";0
journals/tase/WangWWDLC16;article;2017-05-27;"A Spatial Calibration Model for Nanotube Film Quality Prediction.";"";"2016";"IEEE Trans. Automation Science and Engineering";"https://doi.org/10.1109/TASE.2015.2413833";0
journals/tase/KimHS07;article;2017-05-27;"Automatic Control Sequence Generation for a Hybrid Disassembly System.";"";"2007";"IEEE Trans. Automation Science and Engineering";"https://doi.org/10.1109/TASE.2006.880538";0
journals/tase/SakakiEDBP12;article;2017-06-08;"A Generalized Tip-Membrane Contact Detection Algorithm for Automated Single Cell Electroporation Using Statistical Process Control.";"";"2012";"IEEE Trans. Automation Science and Engineering";"https://doi.org/10.1109/TASE.2012.2188027";0
journals/tase/WangWW15;article;2017-05-27;"A Run-to-Run Profile Control Algorithm for Improving the Flatness of Nano-Scale Products.";"";"2015";"IEEE Trans. Automation Science and Engineering";"https://doi.org/10.1109/TASE.2013.2284935";0
journals/tase/WilhelmAC06;article;2017-05-27;"Optimizing picking operations on dual-head placement machines.";"";"2006";"IEEE Trans. Automation Science and Engineering";"https://doi.org/10.1109/TASE.2005.860992";0
journals/tase/StappenAAI16;article;2017-05-27;"Guest Editorial Special Section on the 11th Workshop on the Algorithmic Foundations of Robotics (WAFR 2014).";"";"2016";"IEEE Trans. Automation Science and Engineering";"https://doi.org/10.1109/TASE.2016.2529438";0
