dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tamd/UgurNSO15;article;2017-05-27;"Staged Development of Robot Skills: Behavior Formation, Affordance Learning and Imitation with Motionese.";"";"2015";"IEEE Trans. Autonomous Mental Development";"https://doi.org/10.1109/TAMD.2015.2426192";0
journals/tamd/CangelosiMSNNFTBSNFWRTDSZ10;article;2017-09-16;"Integration of Action and Language Knowledge: A Roadmap for Developmental Robotics.";"";"2010";"IEEE Trans. Autonomous Mental Development";"https://doi.org/10.1109/TAMD.2010.2053034";0
journals/tamd/GriffithSSS12;article;2017-05-27;"A Behavior-Grounded Approach to Forming Object Categories: Separating Containers From Noncontainers.";"";"2012";"IEEE Trans. Autonomous Mental Development";"https://doi.org/10.1109/TAMD.2011.2157504";0
journals/tamd/MalfazGBS11;article;2017-09-16;"A Biologically Inspired Architecture for an Autonomous and Social Robot.";"";"2011";"IEEE Trans. Autonomous Mental Development";"https://doi.org/10.1109/TAMD.2011.2112766";0
journals/tamd/ChungC11;article;2017-05-27;"Emergence of Memory in Reactive Agents Equipped With Environmental Markers.";"";"2011";"IEEE Trans. Autonomous Mental Development";"https://doi.org/10.1109/TAMD.2011.2132800";0
journals/tamd/YongM09;article;2017-05-27;"Coevolution of Role-Based Cooperation in Multiagent Systems.";"";"2009";"IEEE Trans. Autonomous Mental Development";"https://doi.org/10.1109/TAMD.2009.2037732";0
journals/tamd/DongWBDLCLY15;article;2017-06-08;"Local Multimodal Serial Analysis for Fusing EEG-fMRI: A New Method to Study Familial Cortical Myoclonic Tremor and Epilepsy.";"";"2015";"IEEE Trans. Autonomous Mental Development";"https://doi.org/10.1109/TAMD.2015.2411740";0
journals/tamd/KaraoguzRWG13;article;2017-05-27;"Learning Information Acquisition for Multitasking Scenarios in Dynamic Environments.";"";"2013";"IEEE Trans. Autonomous Mental Development";"https://doi.org/10.1109/TAMD.2012.2226241";0
journals/tamd/MorseGBC10;article;2017-06-08;"Epigenetic Robotics Architecture (ERA).";"";"2010";"IEEE Trans. Autonomous Mental Development";"https://doi.org/10.1109/TAMD.2010.2087020";0
journals/tamd/Weng12;article;2017-05-27;"Symbolic Models and Emergent Models: A Review.";"";"2012";"IEEE Trans. Autonomous Mental Development";"https://doi.org/10.1109/TAMD.2011.2159113";0
journals/tamd/ShimodaYK13;article;2017-05-27;"Adaptability of Tacit Learning in Bipedal Locomotion.";"";"2013";"IEEE Trans. Autonomous Mental Development";"https://doi.org/10.1109/TAMD.2013.2248007";0
