dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tbd/NabavinejadGM16;article;2017-05-20;"The Memory Challenge in Reduce Phase of MapReduce Applications.";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2607756";0
journals/tbd/ChengK15;article;2017-08-18;"Scale-Out Processing of Large RDF Datasets.";"";"2015";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2015.2505719";0
journals/tbd/Crago15;article;2017-05-20;"Welcome to the IEEE Transactions on Big Data.";"";"2015";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2015.2469371";0
journals/tbd/WangQSA16;article;2017-05-20;"Guest Editorial: Big Media Data: Understanding, Search, and Mining.";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2562839";0
journals/tbd/ShengVYY16;article;2017-05-20;"Guest Editorial: Big Data Analytics and the Web.";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2613758";0
journals/tbd/ZhengMS17;article;2017-06-06;"Guest Editorial: Urban Computing.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2017.2699838";0
journals/tbd/LinTTC17;article;2017-05-20;"Guest Editorial: Big Scholar Data Discovery and Collaboration.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2017.2663878";0
journals/tbd/CeliktenFM17;article;2017-06-14;"Modeling Urban Behavior by Mining Geotagged Social Data.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2628398";0
journals/tbd/LeOLL17;article;2017-06-06;"Local Gaussian Processes for Efficient Fine-Grained Traffic Speed Prediction.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2620488";0
journals/tbd/ZhangLHS15;article;2017-05-20;"Code Consistent Hashing Based on Information-Theoretic Criterion.";"";"2015";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2015.2499191";0
journals/tbd/GoelKR17;article;2017-06-06;"Optimal Pick up Point Selection for Effective Ride Sharing.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2599936";0
journals/tbd/ChopadeZ17;article;2017-09-13;"A Framework for Community Detection in Large Networks Using Game-Theoretic Modeling.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2628725";0
journals/tbd/WestWB16;article;2017-05-20;"A Recommendation System Based on Hierarchical Clustering of an Article-Level Citation Network.";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2541167";0
journals/tbd/LinTTC16a;article;2017-05-20;"Guest Editorial: Special Issue on Big Scholar Data Discovery and Collaboration (Continued).";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2591458";0
journals/tbd/ShengVYY15;article;2017-05-20;"Guest Editorial: Big Data Analytics and the Web.";"";"2015";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2518778";0
journals/tbd/YangSSLL15;article;2017-05-20;"Robust Discrete Spectral Hashing for Large-Scale Image Semantic Indexing.";"";"2015";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2516024";0
journals/tbd/DingLDTYN17;article;2017-06-06;"Detecting and Analyzing Urban Regions with High Impact of Weather Change on Transport.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2623320";0
journals/tbd/LiuQ0N15;article;2017-06-14;"SMC: A Practical Schema for Privacy-Preserved Data Sharing over Distributed Data Streams.";"";"2015";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2015.2498156";0
journals/tbd/SidhantaGMB17;article;2017-09-13;"Adaptable SLA-Aware Consistency Tuning for Quorum-Replicated Datastores.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2017.2656121";0
journals/tbd/DongJC16;article;2017-05-20;"Can Scientific Impact Be Predicted?";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2521657";0
journals/tbd/HochbaumB16;article;2017-07-27;"Sparse Computation for Large-Scale Data Mining.";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2576470";0
journals/tbd/ChenZ17;article;2017-09-16;"Learning to Classify Fine-Grained Categories with Privileged Visual-Semantic Misalignment.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2602231";0
journals/tbd/Zheng15;article;2017-05-20;"Methodologies for Cross-Domain Data Fusion: An Overview.";"";"2015";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2015.2465959";0
journals/tbd/WuWZYLZZ15;article;2017-10-11;"Weakly Semi-Supervised Deep Learning for Multi-Label Image Annotation.";"";"2015";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2015.2497270";0
journals/tbd/XiaWBL17;article;2017-06-14;"Big Scholarly Data: A Survey.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2641460";0
journals/tbd/HuBLK17;article;2017-05-20;"Tales of Two Cities: Using Social Media to Understand Idiosyncratic Lifestyles in Distinctive Metropolitan Areas.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2580542";0
journals/tbd/ZhaoQZLLX17;article;2017-06-14;"Toward Efficient and Flexible Metadata Indexing of Big Data Systems.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2640301";0
journals/tbd/ChanWGA17;article;2017-09-13;"A Distributed Stream Library for Java 8.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2017.2666201";0
journals/tbd/LiTX16;article;2017-05-20;"Performance Modeling and Predictive Scheduling for Distributed Stream Data Processing.";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2616148";0
journals/tbd/WuWSCCSCK16;article;2017-05-20;"Towards Real-Time Detection and Tracking of Spatio-Temporal Features: Blob-Filaments in Fusion Plasma.";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2599929";0
journals/tbd/DongLLHZCCI16;article;2017-05-20;"A Hierarchical Distributed Processing Framework for Big Image Data.";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2613992";0
journals/tbd/HongYWH15;article;2017-09-17;"Learning Visual Semantic Relationships for Efficient Visual Retrieval.";"";"2015";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2515640";0
journals/tbd/PanWH16;article;2017-05-20;"Analyzing Big Smart Metering Data Towards Differentiated User Services: A Sublinear Approach.";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2599924";0
journals/tbd/KhanKKK16;article;2017-07-27;"Universal Nonlinear Regression on High Dimensional Data Using Adaptive Hierarchical Trees.";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2555323";0
journals/tbd/ChenZHCLM17;article;2017-09-14;"Retrieving Objects by Partitioning.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2566664";0
journals/tbd/WangQSA17;article;2017-08-15;"Guest Editorial: Big Media Data: Understanding, Search, and Mining.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2017.2665161";0
journals/tbd/LinTTC16;article;2017-05-20;"Guest Editorial: Big Scholar Data Discovery and Collaboration.";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2562840";0
journals/tbd/SarkarCASHFZB17;article;2017-06-06;"Effective Urban Structure Inference from Traffic Flow Dynamics.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2641003";0
journals/tbd/ItohYTTKK16;article;2017-05-20;"Visual Exploration of Changes in Passenger Flows and Tweets on Mega-City Metro Network.";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2546301";0
journals/tbd/ZhangHLMS17;article;2017-09-13;"Taxi-Passenger-Demand Modeling Based on Big Data from a Roving Sensor Network.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2627224";0
journals/tbd/ShenLWV17;article;2017-05-20;"SocialQ&A: An Online Social Network Based Question and Answer System.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2629487";0
journals/tbd/HuTL15;article;2017-05-20;"Embracing Information Explosion without Choking: Clustering and Labeling in Microblogging.";"";"2015";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2015.2451635";0
journals/tbd/OtaVSF17;article;2017-09-13;"STaRS: Simulating Taxi Ride Sharing at Scale.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2627223";0
journals/tbd/XingHDKWLZXKY15;article;2017-06-08;"Petuum: A New Platform for Distributed Machine Learning on Big Data.";"";"2015";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2015.2472014";0
journals/tbd/JiangQMF16;article;2017-05-20;"Personalized Travel Sequence Recommendation on Multi-Source Big Social Media.";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2541160";0
journals/tbd/DattaBAM17;article;2017-05-20;"The Habits of Highly Effective Researchers: An Empirical Study.";"";"2017";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2611668";0
journals/tbd/ShamotoSDSM16;article;2017-05-20;"GPU-Accelerated Large-Scale Distributed Sorting Coping with Device Memory Capacity.";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2015.2511001";0
journals/tbd/ShaoWF16;article;2017-09-18;"Scalable Nearest Neighbor Sparse Graph Approximation by Exploiting Graph Structure.";"";"2016";"IEEE Trans. Big Data";"https://doi.org/10.1109/TBDATA.2016.2617883";0
