dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tbcas/CorradiI15;article;2017-05-18;"A Neuromorphic Event-Based Neural Recording System for Smart Brain-Machine-Interfaces.";"";"2015";"IEEE Trans. Biomed. Circuits and Systems";"https://doi.org/10.1109/TBCAS.2015.2479256";0
journals/tbcas/KimCBS15;article;2017-07-27;"Controlling E. coli Gene Expression Noise.";"";"2015";"IEEE Trans. Biomed. Circuits and Systems";"https://doi.org/10.1109/TBCAS.2015.2461135";0
journals/tbcas/GhoreishizadehBCCM14;article;2017-06-14;"An Integrated Control and Readout Circuit for Implantable Multi-Target Electrochemical Biosensing.";"";"2014";"IEEE Trans. Biomed. Circuits and Systems";"https://doi.org/10.1109/TBCAS.2014.2315157";0
journals/tbcas/ThanapitakT13;article;2017-05-18;"A Bionics Chemical Synapse.";"";"2013";"IEEE Trans. Biomed. Circuits and Systems";"https://doi.org/10.1109/TBCAS.2012.2202494";0
journals/tbcas/AltafY16;article;2017-06-14;"A 1.83 µJ/Classification, 8-Channel, Patient-Specific Epileptic Seizure Classification SoC Using a Non-Linear Support Vector Machine.";"";"2016";"IEEE Trans. Biomed. Circuits and Systems";"https://doi.org/10.1109/TBCAS.2014.2386891";0
journals/tbcas/ChenYB16;article;2017-06-08;"A 128-Channel Extreme Learning Machine-Based Neural Decoder for Brain Machine Interfaces.";"";"2016";"IEEE Trans. Biomed. Circuits and Systems";"https://doi.org/10.1109/TBCAS.2015.2483618";0
journals/tbcas/JowG07;article;2017-05-18;"Design and Optimization of Printed Spiral Coils for Efficient Transcutaneous Inductive Power Transmission.";"";"2007";"IEEE Trans. Biomed. Circuits and Systems";"https://doi.org/10.1109/TBCAS.2007.913130";0
journals/tbcas/HanifiGMSA12;article;2017-05-18;"A Linear Parametric Approach for Analysis of Mouse Respiratory Impedance.";"";"2012";"IEEE Trans. Biomed. Circuits and Systems";"https://doi.org/10.1109/TBCAS.2011.2174456";0
journals/tbcas/LiuSB09;article;2017-08-03;"Special Issue on Selected Papers from BiOCAS 2008 Guest Editors' Introduction.";"";"2009";"IEEE Trans. Biomed. Circuits and Systems";"https://doi.org/10.1109/TBCAS.2009.2036981";0
journals/tbcas/ChoiK09;article;2017-05-18;"A Remote Compact Sensor for the Real-Time Monitoring of Human Heartbeat and Respiration Rate.";"";"2009";"IEEE Trans. Biomed. Circuits and Systems";"https://doi.org/10.1109/TBCAS.2009.2019628";0
journals/tbcas/LandeB07c;article;2017-06-08;"Editorial.";"";"2007";"IEEE Trans. Biomed. Circuits and Systems";"https://doi.org/10.1109/TBCAS.2008.916512";0
journals/tbcas/ChunYL14;article;2017-05-18;"Safety Ensuring Retinal Prosthesis With Precise Charge Balance and Low Power Consumption.";"";"2014";"IEEE Trans. Biomed. Circuits and Systems";"https://doi.org/10.1109/TBCAS.2013.2257171";0
journals/tbcas/VincentLLRBGZKG15;article;2017-06-14;"Spin-Transfer Torque Magnetic Memory as a Stochastic Memristive Synapse for Neuromorphic Systems.";"";"2015";"IEEE Trans. Biomed. Circuits and Systems";"https://doi.org/10.1109/TBCAS.2015.2414423";0
journals/tbcas/Rodriguez-VillegasLC14;article;2017-05-18;"A Low Power Linear Phase Programmable Long Delay Circuit.";"";"2014";"IEEE Trans. Biomed. Circuits and Systems";"https://doi.org/10.1109/TBCAS.2013.2273851";0
journals/tbcas/RamakrishnanHG11;article;2017-05-18;"Floating Gate Synapses With Spike-Time-Dependent Plasticity.";"";"2011";"IEEE Trans. Biomed. Circuits and Systems";"https://doi.org/10.1109/TBCAS.2011.2109000";0
