dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tbe/BradyKMK00;article;2017-05-27;"A maximum-likelihood base caller for DNA sequencing.";"";"2000";"IEEE Trans. Biomed. Engineering";"https://doi.org/10.1109/10.867962";0
journals/tbe/LeeKL11;article;2017-05-27;"A Real-Time ECG Data Compression and Transmission Algorithm for an e-Health Device.";"";"2011";"IEEE Trans. Biomed. Engineering";"https://doi.org/10.1109/TBME.2011.2156794";0
journals/tbe/HeckerLBDSD11;article;2017-05-27;"A New Method to Analyze Distortion Product Otoacoustic Emissions (DPOAEs) in the High-Frequency Range Up to 18 kHz Using Windowed Periodograms.";"";"2011";"IEEE Trans. Biomed. Engineering";"https://doi.org/10.1109/TBME.2011.2157154";0
journals/tbe/DenderePSWD15;article;2017-06-08;"Dual-Energy X-Ray Absorptiometry for Measurement of Phalangeal Bone Mineral Density on a Slot-Scanning Digital Radiography System.";"";"2015";"IEEE Trans. Biomed. Engineering";"https://doi.org/10.1109/TBME.2015.2447575";0
journals/tbe/Al-NashashT05;article;2017-06-08;"Monitoring of global cerebral ischemia using wavelet entropy rate of change.";"";"2005";"IEEE Trans. Biomed. Engineering";"https://doi.org/10.1109/TBME.2005.857634";0
journals/tbe/ChappellUP07;article;2017-06-14;"Modeling the Detachment and Transport of Bubbles From Nucleation Sites in Small Vessels.";"";"2007";"IEEE Trans. Biomed. Engineering";"https://doi.org/10.1109/TBME.2007.895113";0
journals/tbe/JavedSCML11;article;2017-05-27;"Identification and Control for Automated Regulation of Hemodynamic Variables During Hemodialysis.";"";"2011";"IEEE Trans. Biomed. Engineering";"https://doi.org/10.1109/TBME.2011.2110650";0
journals/tbe/BaumgartenZSMJH17;article;2017-09-16;"Improvement of Pyramidal Tract Side Effect Prediction Using a Data-Driven Method in Subthalamic Stimulation.";"";"2017";"IEEE Trans. Biomed. Engineering";"https://doi.org/10.1109/TBME.2016.2638018";0
journals/tbe/MuzikPJCJD05;article;2017-06-08;"Application of an objective method for localizing bilateral cortical FDG PET abnormalities to guide the resection of epileptic foci.";"";"2005";"IEEE Trans. Biomed. Engineering";"https://doi.org/10.1109/TBME.2005.854233";0
journals/tbe/ChenF04;article;2017-05-27;"Noninvasive quantification of the differential portal and arterial contribution to the liver blood supply from PET measurements using the ";"";"2004";"IEEE Trans. Biomed. Engineering";"https://doi.org/10.1109/TBME.2004.828032";0
journals/tbe/SnowHM06;article;2017-05-27;"Intraspinal microstimulation using cylindrical multielectrodes.";"";"2006";"IEEE Trans. Biomed. Engineering";"https://doi.org/10.1109/TBME.2005.857638";0
