dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tcc/LiWCL17;article;2017-06-20;"Adaptive Cloud Deployment Using Persistence Strategies and Application Awareness.";"";"2017";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2015.2409873";0
journals/tcc/HuangT16;article;2017-05-26;"M-Convex VM Consolidation: Towards a Better VM Workload Consolidation.";"";"2016";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2014.2369423";0
journals/tcc/MashayekhyNG15a;article;2017-05-26;"Physical Machine Resource Management in Clouds: A Mechanism Design Approach.";"";"2015";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2014.2369419";0
journals/tcc/CandeiaSL15;article;2017-05-26;"Business-Driven Long-Term Capacity Planning for SaaS Applications.";"";"2015";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2015.2424877";0
journals/tcc/NepalSFWCKYL17;article;2017-09-13;"TruXy: Trusted Storage Cloud for Scientific Workflows.";"";"2017";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2015.2489638";0
journals/tcc/ToosiVRB15;article;2017-06-08;"Revenue Maximization with Optimal Capacity Control in Infrastructure as a Service Cloud Markets.";"";"2015";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2014.2382119";0
journals/tcc/HongCHCH15;article;2017-06-08;"Placing Virtual Machines to Optimize Cloud Gaming Experience.";"";"2015";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2014.2338295";0
journals/tcc/ZhangZYBW15;article;2017-05-26;"PRISM: Fine-Grained Resource-Aware Scheduling for MapReduce.";"";"2015";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2014.2379096";0
journals/tcc/LuoRL15;article;2017-05-26;"Spatio-Temporal Load Balancing for Energy Cost Optimization in Distributed Internet Data Centers.";"";"2015";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2015.2415798";0
journals/tcc/DiWC14;article;2017-05-26;"Adaptive Algorithm for Minimizing Cloud Task Length with Prediction Errors.";"";"2014";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2013.16";0
journals/tcc/DuanPL14;article;2017-06-14;"Multi-Objective Game Theoretic Schedulingof Bag-of-Tasks Workflows on Hybrid Clouds.";"";"2014";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2014.2303077";0
journals/tcc/MorenoGTX14;article;2017-05-26;"Analysis, Modeling and Simulation of Workload Patterns in a Large-Scale Utility Cloud.";"";"2014";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2014.2314661";0
journals/tcc/FerrettiPCM14a;article;2017-06-14;"Scalable Architecture for Multi-User Encrypted SQL Operations on Cloud Database Services.";"";"2014";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2014.2378782";0
journals/tcc/TsaiHCCY14;article;2017-05-26;"A Hyper-Heuristic Scheduling Algorithm for Cloud.";"";"2014";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2014.2315797";0
journals/tcc/LunaTTS17;article;2017-09-13;"Quantitative Reasoning about Cloud Security Using Service Level Agreements.";"";"2017";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2015.2469659";0
journals/tcc/MaWP15;article;2017-05-26;"A Scalable and Reliable Matching Service for Content-Based Publish/Subscribe Systems.";"";"2015";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2014.2338327";0
journals/tcc/GuanML14;article;2017-05-26;"Workload-Aware Credit Scheduler for Improving Network I/O Performance in Virtualization Environment.";"";"2014";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2014.2314649";0
journals/tcc/Lei17;article;2017-05-26;"TCC: State of the Transactions.";"";"2017";"IEEE Trans. Cloud Computing";"https://doi.org/10.1109/TCC.2017.2652698";0
