dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tccn/ModiMM17;article;2017-07-26;"QoS Driven Channel Selection Algorithm for Cognitive Radio Network: Multi-User Multi-Armed Bandit Approach.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2675901";0
journals/tccn/ChenBHS17;article;2017-10-17;"Competitive Resource Allocation in HetNets: The Impact of Small-Cell Spectrum Constraints and Investment Costs.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2747581";0
journals/tccn/RiihijarviMV17;article;2017-10-17;"Statistical Inference on Spectrum Data for Design and Enforcement of Harm Claim Thresholds.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2746578";0
journals/tccn/WuYL16;article;2017-05-26;"Cooperative Secondary Beam Selection for Cognitive Multiuser MIMO Transmission With Random Beamforming.";"";"2016";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2016.2590419";0
journals/tccn/AlnakhliAC17;article;2017-07-26;"Joint Spectrum and Energy Efficiency in Device to Device Communication Enabled Wireless Networks.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2689015";0
journals/tccn/GiordanoTGMBTS15;article;2017-05-26;"YouLighter: A Cognitive Approach to Unveil YouTube CDN and Changes.";"";"2015";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2016.2517004";0
journals/tccn/SatoF17;article;2017-07-26;"Kriging-Based Interference Power Constraint: Integrated Design of the Radio Environment Map and Transmission Power.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2653189";0
journals/tccn/YuanQTJSHLT16;article;2017-07-27;"An Online Admission Control Algorithm for Dynamic Traffic in Underlay Coexistence Paradigm.";"";"2016";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2016.2615943";0
journals/tccn/LuisODB16;article;2017-06-14;"Characterization of the Opportunistic Service Time in Cognitive Radio Networks.";"";"2016";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2016.2603994";0
journals/tccn/LinGTJS16;article;2017-05-26;"Multi-Phase Smart Relaying and Cooperative Jamming in Secure Cognitive Radio Networks.";"";"2016";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2016.2577043";0
journals/tccn/BhattacharyaGS015;article;2017-06-08;"Noncontiguous Channel Allocation for Multimedia Communication in Cognitive Radio Networks.";"";"2015";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2016.2549033";0
journals/tccn/GhoshCA15;article;2017-05-26;"Normalized Nash Equilibrium for Power Allocation in Cognitive Radio Networks.";"";"2015";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2015.2496578";0
journals/tccn/KhanLSHKM17;article;2017-10-18;"Distributed and Coordinated Spectrum Access Methods for Heterogeneous Channel Bonding.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2709753";0
journals/tccn/NguyenKH15;article;2017-05-26;"Distributed Bargaining Mechanisms for MIMO Dynamic Spectrum Access Systems.";"";"2015";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2015.2496317";0
journals/tccn/ChiriyathPB17;article;2017-07-26;"Radar-Communications Convergence: Coexistence, Cooperation, and Co-Design.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2666266";0
journals/tccn/AbdelhadiSC15;article;2017-05-26;"A Multitier Wireless Spectrum Sharing System Leveraging Secure Spectrum Auctions.";"";"2015";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2015.2488618";0
journals/tccn/MuthukumarS17;article;2017-10-17;"Fundamental Limits on Ex-Post Enforcement and Implications for Spectrum Rights.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2747579";0
journals/tccn/CaoT15;article;2017-05-26;"Cognitive Beamforming in Underlay Two-Way Relay Networks With Multiantenna Terminals.";"";"2015";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2015.2498615";0
journals/tccn/DastangooFGK16;article;2017-05-26;"Competing Cognitive Resilient Networks.";"";"2016";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2016.2570798";0
journals/tccn/VermaCC17;article;2017-10-17;"Energy-Assisted Decode-and-Forward for Energy Harvesting Cooperative Cognitive Networks.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2709759";0
journals/tccn/CirikFR16;article;2017-05-26;"Transceiver Design in Full-Duplex MIMO Cognitive Radios Under Channel Uncertainties.";"";"2016";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2016.2572691";0
journals/tccn/LorenzoKPGB16;article;2017-07-27;"Joint Resource Bidding and Tipping Strategies in Multi-Hop Cognitive Networks.";"";"2016";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2016.2604838";0
journals/tccn/WangUYA17;article;2017-07-26;"Extended Delivery Time Analysis for Secondary Packet Transmission With Adaptive Modulation Under Interweave Cognitive Implementation.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2699971";0
journals/tccn/PaisanaKMD17;article;2017-07-26;"Signal Processing for Temporal Spectrum Sharing in a Multi-Radar Environment.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2705165";0
journals/tccn/SbouiRA15;article;2017-06-14;"Energy-Efficient Power Allocation for Underlay Cognitive Radio Systems.";"";"2015";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2015.2488622";0
journals/tccn/FarooqGYKA17;article;2017-10-17;"Green Virtualization for Multiple Collaborative Cellular Operators.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2712133";0
journals/tccn/SafaviS15;article;2017-05-26;"Effective Bandwidth for Delay Tolerant Secondary User Traffic in Multi-PU, Multi-SU Dynamic Spectrum Access Networks.";"";"2015";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2015.2504451";0
journals/tccn/BhattacharjeeDC17;article;2017-07-26;"Quantifying Trust for Robust Fusion While Spectrum Sharing in Distributed DSA Networks.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2702173";0
journals/tccn/Al-SaadiSH17;article;2017-10-17;"Semantic Reasoning in Cognitive Networks for Heterogeneous Wireless Mesh Systems.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2712136";0
journals/tccn/AnandC16;article;2017-07-27;"A Micro-Finance Model for Spectrum Management in Wireless Networks.";"";"2016";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2016.2601305";0
journals/tccn/VosoughiCM16;article;2017-05-26;"Trust-Aware Consensus-Inspired Distributed Cooperative Spectrum Sensing for Cognitive Radio Ad Hoc Networks.";"";"2016";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2016.2584080";0
journals/tccn/ZengT17;article;2017-07-26;"Fundamental Performance Trade-Offs in Cooperative Cognitive Radio Systems.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2701814";0
journals/tccn/KliksTNHGB15;article;2017-05-26;"Cross-Layer Analysis in Cognitive Radio - Context Identification and Decision Making Aspects.";"";"2015";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2016.2566643";0
journals/tccn/KhanLAVHDM17;article;2017-10-17;"Database-Assisted Distributed and Cloud-Based Access Methods for Unlicensed and Radar Bands.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2733533";0
journals/tccn/Zorzi15;article;2017-05-26;"Editorial: Launching the New IEEE Transactions on Cognitive Communications and Networking.";"";"2015";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2015.2505939";0
journals/tccn/NguyenSSH17;article;2017-10-17;"3.5 GHz Environmental Sensing Capability Detection Thresholds and Deployment.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2748121";0
journals/tccn/HyderIXT16;article;2017-05-26;"Interference Aware Reliable Cooperative Cognitive Networks for Real-Time Applications.";"";"2016";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2016.2566641";0
journals/tccn/KashefE15;article;2017-05-26;"Exploiting Different Cognition Levels of Channel Information in Transmission Scheduling of Two Sources Over Time Varying Wireless Channels.";"";"2015";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2015.2501806";0
journals/tccn/GalanopoulosFT16;article;2017-07-27;"Efficient Coexistence of LTE With WiFi in the Licensed and Unlicensed Spectrum Aggregation.";"";"2016";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2016.2594780";0
journals/tccn/AgarwalD16;article;2017-06-08;"Cognitive Multihoming System for Energy and Cost Aware Video Transmission.";"";"2016";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2016.2605697";0
journals/tccn/GuptaB16;article;2017-07-27;"An Adaptive Subcarrier Sharing Scheme for OFDM-Based Cooperative Cognitive Radios.";"";"2016";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2016.2621750";0
journals/tccn/HoilesGKDZ15;article;2017-05-26;"Adaptive Caching in the YouTube Content Distribution Network: A Revealed Preference Game-Theoretic Learning Approach.";"";"2015";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2015.2488649";0
journals/tccn/LiLSZ17;article;2017-07-26;"Optimal Spectrum Sensing Interval in Energy-Harvesting Cognitive Radio Networks.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2702167";0
journals/tccn/YingRP17;article;2017-07-26;"Pricing Mechanisms for Crowd-Sensed Spatial-Statistics-Based Radio Mapping.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2701812";0
journals/tccn/LaghateC17;article;2017-10-17;"Cooperatively Learning Footprints of Multiple Incumbent Transmitters by Using Cognitive Radio Networks.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2710309";0
journals/tccn/HyderJX17;article;2017-07-26;"Bid and Time Truthful Online Auctions in Dynamic Spectrum Markets.";"";"2017";"IEEE Trans. Cogn. Comm. & Networking";"https://doi.org/10.1109/TCCN.2017.2669997";0
