dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tamd/MaS17;article;2017-07-26;"Aesthetics Evaluation for Robotic Chinese Calligraphy.";"";"2017";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2645598";0
journals/tamd/PetitFD16;article;2017-06-08;"Lifelong Augmentation of Multimodal Streaming Autobiographical Memories.";"";"2016";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TAMD.2015.2507439";0
journals/tamd/NishiharaNN17;article;2017-09-21;"Online Algorithm for Robots to Learn Object Concepts and Language Model.";"";"2017";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2552579";0
journals/tamd/Lakatos17;article;2017-09-21;"Dogs as Behavior Models for Companion Robots: How Can Human-Dog Interactions Assist Social Robotics?";"";"2017";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2552244";0
journals/tamd/FerlandM16;article;2017-07-27;"Selective Attention by Perceptual Filtering in a Robot Control Architecture.";"";"2016";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2604375";0
journals/tamd/Jin16;article;2017-05-27;"Editorial IEEE Transactions on Cognitive and Developmental Systems.";"";"2016";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2521064";0
journals/tamd/KreningHFIRT17;article;2017-07-26;"Learning From Explanations Using Sentiment and Advice in RL.";"";"2017";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2628365";0
journals/tamd/SantucciBM16;article;2017-07-27;"GRAIL: A Goal-Discovering Robotic Architecture for Intrinsically-Motivated Learning.";"";"2016";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2538961";0
journals/tamd/HeathBW16;article;2017-05-27;"Lingodroids: Cross-Situational Learning for Episodic Elements.";"";"2016";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TAMD.2015.2442619";0
journals/tamd/MeolaCSZCTGB16;article;2017-05-27;"Interplay of Rhythmic and Discrete Manipulation Movements During Development: A Policy-Search Reinforcement-Learning Robot Model.";"";"2016";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TAMD.2015.2494460";0
journals/tamd/DuanZGA16;article;2017-05-27;"Verification of the Effect of an Assembly Skill Transfer Method on Cognition Skills.";"";"2016";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2535289";0
journals/tamd/CocoBCCFRGD17;article;2017-09-21;"Multilevel Behavioral Synchronization in a Joint Tower-Building Task.";"";"2017";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2545739";0
journals/tamd/SantosFCB17;article;2017-09-21;"SNet: Co-Developing Artificial Retinas and Predictive Internal Models for Real Robots.";"";"2017";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2638885";0
journals/tamd/HogmanBMK16;article;2017-05-27;"A Sensorimotor Learning Framework for Object Categorization.";"";"2016";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TAMD.2015.2463728";0
journals/tamd/HuAXY17;article;2017-09-21;"Bio-Inspired Embedded Vision System for Autonomous Micro-Robots: The LGMD Case.";"";"2017";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2574624";0
journals/tamd/TaniguchiNN16;article;2017-07-27;"Nonparametric Bayesian Double Articulation Analyzer for Direct Language Acquisition From Continuous Speech Signals.";"";"2016";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2550591";0
journals/tamd/VitelloACV17;article;2017-07-26;"A Bio-Inspired Cognitive Agent for Autonomous Urban Vehicles Routing Optimization.";"";"2017";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2608500";0
journals/tamd/Asada16;article;2017-07-27;"Modeling Early Vocal Development Through Infant-Caregiver Interaction: A Review.";"";"2016";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2552493";0
journals/tamd/ZambelliD17;article;2017-06-28;"Online Multimodal Ensemble Learning Using Self-Learned Sensorimotor Representations.";"";"2017";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2624705";0
journals/tamd/MarcelAG17;article;2017-06-28;"Building a Sensorimotor Representation of a Naive Agent's Tactile Space.";"";"2017";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2617922";0
journals/tamd/CaccavaleF17;article;2017-07-26;"Flexible Task Execution and Attentional Regulations in Human-Robot Interaction.";"";"2017";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2016.2614690";0
journals/tamd/PierrisD17;article;2017-06-15;"Learning Robot Control Using a Hierarchical SOM-Based Encoding.";"";"2017";"IEEE Trans. Cognitive and Developmental Systems";"https://doi.org/10.1109/TCDS.2017.2657744";0
