dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tcom/HsiehTL96;article;2017-05-28;"Noiseless coding of VQ index using index grouping algorithm.";"";"1996";"IEEE Trans. Communications";"https://doi.org/10.1109/26.545893";0
journals/tcom/SongL11;article;2017-08-23;"Diversity Analysis for Linear Equalizers over ISI Channels.";"";"2011";"IEEE Trans. Communications";"https://doi.org/10.1109/TCOMM.2011.062311.100342";0
journals/tcom/MonemiRH16;article;2017-05-28;"On Characterization of Feasible Interference Regions in Cognitive Radio Networks.";"";"2016";"IEEE Trans. Communications";"https://doi.org/10.1109/TCOMM.2015.2514093";0
journals/tcom/HoGS12;article;2017-05-28;"Gaussian Two-Way Relay Channel with Private Information for the Relay.";"";"2012";"IEEE Trans. Communications";"https://doi.org/10.1109/TCOMM.2011.112311.090671";0
journals/tcom/ShinPJ12;article;2017-05-28;"Can One Achieve Multiuser Diversity in Uplink Multi-Cell Networks?";"";"2012";"IEEE Trans. Communications";"https://doi.org/10.1109/TCOMM.2012.091012.110152";0
journals/tcom/KoppelaarT98;article;2017-05-28;"Comment on "Error rate performance of the projection code".";"";"1998";"IEEE Trans. Communications";"https://doi.org/10.1109/26.668718";0
journals/tcom/SadeghiR08;article;2017-06-08;"On Information Rates of Time-Varying Fading Channels Modeled as Finite-State Markov Channels.";"";"2008";"IEEE Trans. Communications";"https://doi.org/10.1109/TCOMM.2008.060622";0
journals/tcom/FletcherPS86;article;2017-05-28;"A Queueing Network Model of a Circuit Switching Access Scheme in an Integrated Services Environment.";"";"1986";"IEEE Trans. Communications";"https://doi.org/10.1109/TCOM.1986.1096435";0
journals/tcom/BenvenutoBB08;article;2017-05-28;"Joint Optimum Linear Precoding and Power Control Strategies for Downlink MC-CDMA Systems.";"";"2008";"IEEE Trans. Communications";"https://doi.org/10.1109/TCOMM.2008.050153";0
journals/tcom/Korn90;article;2017-05-28;"M-ary frequency shift keying with limiter-discriminator-integrator detector in satellite mobile channel with narrowband receiver filter.";"";"1990";"IEEE Trans. Communications";"https://doi.org/10.1109/26.61448";0
journals/tcom/ZarrabizadehS97;article;2017-05-28;"A differentially coherent PN code acquisition receiver for CDMA systems.";"";"1997";"IEEE Trans. Communications";"https://doi.org/10.1109/26.649772";0
journals/tcom/WebbS95;article;2017-05-28;"Variable rate QAM for mobile radio.";"";"1995";"IEEE Trans. Communications";"https://doi.org/10.1109/26.392965";0
