dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tciaig/QuekTT09;article;2017-05-26;"Public Goods Provision: An Evolutionary Game Theoretic Study Under Asymmetric Information.";"";"2009";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2009.2018832";0
journals/tciaig/Schmidt14;article;2017-05-26;"The Axiom General Purpose Game Playing System.";"";"2014";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2014.2302303";0
journals/tciaig/DoranP10;article;2017-06-08;"Controlled Procedural Terrain Generation Using Software Agents.";"";"2010";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2010.2049020";0
journals/tciaig/AnthonyPN14;article;2017-05-26;"General Self-Motivation and Strategy Identification: Case Studies Based on Sokoban and Pac-Man.";"";"2014";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2013.2295372";0
journals/tciaig/PrendingerPF16;article;2017-07-18;"Extending Real-Time Challenge Balancing to Multiplayer Games: A Study on Eco-Driving.";"";"2016";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2014.2364258";0
journals/tciaig/BonyadiMNN17;article;2017-10-16;"Ahura: A Heuristic-Based Racer for the Open Racing Car Simulator.";"";"2017";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2016.2565661";0
journals/tciaig/SamothrakisRL11;article;2017-06-14;"Fast Approximate Max-n Monte Carlo Tree Search for Ms Pac-Man.";"";"2011";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2011.2144597";0
journals/tciaig/YannakakisT15;article;2017-06-14;"A Panorama of Artificial and Computational Intelligence in Games.";"";"2015";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2014.2339221";0
journals/tciaig/Schaul14;article;2017-05-26;"An Extensible Description Language for Video Games.";"";"2014";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2014.2352795";0
journals/tciaig/BaughmanCDBB14;article;2017-05-26;"DeepQA Jeopardy! Gamification: A Machine-Learning Perspective.";"";"2014";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2013.2285651";0
journals/tciaig/EndrassKMAR14;article;2017-05-26;"Designing User-Character Dialog in Interactive Narratives: An Exploratory Experiment.";"";"2014";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2013.2290509";0
journals/tciaig/LandryDM13;article;2017-05-26;"A Heuristic-Based Planner and Improved Controller for a Two-Layered Approach for the Game of Billiards.";"";"2013";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2013.2284385";0
journals/tciaig/BlewittUM13;article;2017-05-26;"Applicability of GPGPU Computing to Real-Time AI Solutions in Games.";"";"2013";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2013.2258156";0
journals/tciaig/RenzMSW16;article;2017-07-18;"Guest Editorial: Physics-Based Simulation Games.";"";"2016";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2016.2571560";0
journals/tciaig/Al-KhateebK12;article;2017-06-08;"Introducing Individual and Social Learning Into Evolutionary Checkers.";"";"2012";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2012.2209424";0
journals/tciaig/LoiaconoCL11;article;2017-05-26;"Automatic Track Generation for High-End Racing Games Using Evolutionary Computation.";"";"2011";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2011.2163692";0
journals/tciaig/PaoCC10;article;2017-05-26;"Game Bot Detection via Avatar Trajectory Analysis.";"";"2010";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2010.2072506";0
journals/tciaig/LakshikaBE17;article;2017-10-16;"Understanding the Interplay of Model Complexity and Fidelity in Multiagent Systems via an Evolutionary Framework.";"";"2017";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2016.2560882";0
journals/tciaig/BaierW15;article;2017-06-08;"MCTS-Minimax Hybrids.";"";"2015";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2014.2366555";0
journals/tciaig/BaierBHH15;article;2017-05-26;"Fast Algorithm for Catching a Prey Quickly in Known and Partially Known Game Maps.";"";"2015";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2014.2337889";0
journals/tciaig/YannakakisH09;article;2017-06-14;"Real-Time Game Adaptation for Optimizing Player Satisfaction.";"";"2009";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2009.2024533";0
journals/tciaig/NguyenT13;article;2017-06-08;"Monte Carlo Tree Search for Collaboration Control of Ghosts in Ms. Pac-Man.";"";"2013";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2012.2214776";0
journals/tciaig/SoejimaKW10;article;2017-05-26;"Evaluating Root Parallelization in Go.";"";"2010";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2010.2096427";0
journals/tciaig/NicolauLOB17;article;2017-10-16;"Evolutionary Behavior Tree Approaches for Navigating Platform Games.";"";"2017";"IEEE Trans. Comput. Intellig. and AI in Games";"https://doi.org/10.1109/TCIAIG.2016.2543661";0
