dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tcss/ServiE14;article;2017-05-28;"A Mathematical Approach to Gauging Influence by Identifying Shifts in the Emotions of Social Media Users.";"";"2014";"IEEE Trans. Comput. Social Systems";"https://doi.org/10.1109/TCSS.2014.2384216";0
journals/tcss/TziritasLKX15;article;2017-05-28;"Distributed Algorithms for the Operator Placement Problem.";"";"2015";"IEEE Trans. Comput. Social Systems";"https://doi.org/10.1109/TCSS.2016.2519503";0
journals/tcss/YuanWZ17;article;2017-09-21;"Competitive Analysis of Bidding Behavior on Sponsored Search Advertising Markets.";"";"2017";"IEEE Trans. Comput. Social Systems";"https://doi.org/10.1109/TCSS.2017.2730925";0
journals/tcss/LiuX16;article;2017-08-28;"Detecting Rumors Through Modeling Information Propagation Networks in a Social Media Environment.";"";"2016";"IEEE Trans. Comput. Social Systems";"https://doi.org/10.1109/TCSS.2016.2612980";0
journals/tcss/ZhuLYWB17;article;2017-09-21;"Maximizing the Influence and Profit in Social Networks.";"";"2017";"IEEE Trans. Comput. Social Systems";"https://doi.org/10.1109/TCSS.2017.2715183";0
journals/tcss/JiaWJZC17;article;2017-09-21;"Link Inference in Dynamic Heterogeneous Information Network: A Knapsack-Based Approach.";"";"2017";"IEEE Trans. Comput. Social Systems";"https://doi.org/10.1109/TCSS.2017.2715069";0
journals/tcss/DongRZL15;article;2017-09-16;"Guest Editorial on Advances in Tools and Techniques for Enabling Cyber-Physical-Social Systems - Part I.";"";"2015";"IEEE Trans. Comput. Social Systems";"https://doi.org/10.1109/TCSS.2016.2527158";0
journals/tcss/ParkSSS15;article;2017-05-28;"APE: A Data-Driven, Behavioral Model-Based Anti-Poaching Engine.";"";"2015";"IEEE Trans. Comput. Social Systems";"https://doi.org/10.1109/TCSS.2016.2517452";0
journals/tcss/KrishnamurthyP14;article;2017-05-28;"A Tutorial on Interactive Sensing in Social Networks.";"";"2014";"IEEE Trans. Comput. Social Systems";"https://doi.org/10.1109/TCSS.2014.2307452";0
journals/tcss/KayesC15;article;2017-05-28;"Retention in Online Blogging: A Case Study of the Blogster Community.";"";"2015";"IEEE Trans. Comput. Social Systems";"https://doi.org/10.1109/TCSS.2015.2495135";0
journals/tcss/XiaJYMH16;article;2017-05-28;"A Signaling Game for Uncertain Data Delivery in Selfish Mobile Social Networks.";"";"2016";"IEEE Trans. Comput. Social Systems";"https://doi.org/10.1109/TCSS.2016.2584103";0
journals/tcss/ParadiseSPEERP17;article;2017-09-21;"Creation and Management of Social Network Honeypots for Detecting Targeted Cyber Attacks.";"";"2017";"IEEE Trans. Comput. Social Systems";"https://doi.org/10.1109/TCSS.2017.2719705";0
journals/tcss/FarasatGNN16;article;2017-06-15;"Social Network Analysis With Data Fusion.";"";"2016";"IEEE Trans. Comput. Social Systems";"https://doi.org/10.1109/TCSS.2016.2613563";0
