dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tci/ShinKGS15;article;2017-07-27;"Photon-Efficient Computational 3-D and Reflectivity Imaging With Single-Photon Detectors.";"";"2015";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2015.2453093";0
journals/tci/GregorF15;article;2017-05-18;"Comparison of SIRT and SQS for Regularized Weighted Least Squares Image Reconstruction.";"";"2015";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2015.2442511";0
journals/tci/Parada-MayorgaA17;article;2017-05-16;"Colored Coded Aperture Design in Compressive Spectral Imaging via Minimum Coherence.";"";"2017";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2017.2692649";0
journals/tci/ZislerKSPS16;article;2017-07-27;"Non-Binary Discrete Tomography by Continuous Non-Convex Optimization.";"";"2016";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2016.2563321";0
journals/tci/MohanVGGXGVB15;article;2017-05-18;"TIMBIR: A Method for Time-Space Reconstruction From Interlaced Views.";"";"2015";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2015.2431913";0
journals/tci/LefkimmiatisO15;article;2017-05-18;"Nonlocal Structure Tensor Functionals for Image Regularization.";"";"2015";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2015.2434616";0
journals/tci/TanL17;article;2017-05-18;"Imaging and Parameter Estimating for Fast Moving Targets in Airborne SAR.";"";"2017";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2016.2634421";0
journals/tci/MaoZ16;article;2017-05-18;"Two-dimensional Autofocus for Spotlight SAR Polar Format Imagery.";"";"2016";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2016.2612945";0
journals/tci/CaldasGPB17;article;2017-09-06;"Acoustic Imaging of In-Duct Aeroengine Noise Sources Using Rotating Beamforming and Phased Arrays.";"";"2017";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2017.2721744";0
journals/tci/GuvenGC16;article;2017-05-18;"An Augmented Lagrangian Method for Complex-Valued Compressed SAR Imaging.";"";"2016";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2016.2580498";0
journals/tci/KamilovPSGVUP16;article;2017-05-18;"Optical Tomographic Image Reconstruction Based on Beam Propagation and Sparse Regularization.";"";"2016";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2016.2519261";0
journals/tci/JohnYLM15;article;2017-05-18;"Saliency Map Generation by the Convolutional Neural Network for Real-Time Traffic Light Detection Using Template Matching.";"";"2015";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2015.2480006";0
journals/tci/MarinoniG17;article;2017-06-14;"Unsupervised Data Driven Feature Extraction by Means of Mutual Information Maximization.";"";"2017";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2017.2669731";0
journals/tci/HalimiBDB017;article;2017-06-14;"Fast Hyperspectral Unmixing in Presence of Nonlinearity or Mismodeling Effects.";"";"2017";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2016.2631979";0
journals/tci/KappelerYDK16;article;2017-05-18;"Video Super-Resolution With Convolutional Neural Networks.";"";"2016";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2016.2532323";0
journals/tci/AbbasKS16;article;2017-05-18;"Numerical Inversion of Circular arc Radon Transform.";"";"2016";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2016.2615806";0
journals/tci/WangL16;article;2017-07-27;"Multi-Resolution Compressed Sensing Reconstruction Via Approximate Message Passing.";"";"2016";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2016.2575741";0
journals/tci/Venkatakrishnan15;article;2017-05-18;"Model-Based Iterative Reconstruction for Bright-Field Electron Tomography.";"";"2015";"IEEE Trans. Computational Imaging";"https://doi.org/10.1109/TCI.2014.2371751";1
