dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tc/BoullisT05;article;2017-05-20;"Some Optimizations of Hardware Multiplication by Constant Matrices.";"";"2005";"IEEE Trans. Computers";"https://doi.org/10.1109/TC.2005.168";0
journals/tc/MilanoOS14;article;2017-05-20;"Guest Editors' Introduction: Special Section on Computational Sustainability: Where Computer Science meets Sustainable Development.";"";"2014";"IEEE Trans. Computers";"https://doi.org/10.1109/TC.2014.4";0
journals/tc/LeeD90;article;2017-05-20;"A Performance Analysis of Times Synchronous Communication Primitives.";"";"1990";"IEEE Trans. Computers";"https://doi.org/10.1109/12.57054";0
journals/tc/ChangL90;article;2017-05-20;"A Decomposition Approach for Balancing Large-Scale Acyclic Data Flow Graphs.";"";"1990";"IEEE Trans. Computers";"https://doi.org/10.1109/12.46279";0
journals/tc/NarayananGB93;article;2017-05-20;"Optimal Configuring of Multiple Scan Chains.";"";"1993";"IEEE Trans. Computers";"https://doi.org/10.1109/12.241600";0
journals/tc/TaniguchiS75;article;2017-05-20;"A New Voltage to Frequency Converter.";"";"1975";"IEEE Trans. Computers";"https://doi.org/10.1109/T-C.1975.224122";0
journals/tc/Easton78;article;2017-05-20;"Computation of Cold-Start Miss Ratios.";"";"1978";"IEEE Trans. Computers";"https://doi.org/10.1109/TC.1978.1675119";0
journals/tc/Stone72;article;2017-05-20;"Dynamic Memories with Enhanced Data Access.";"";"1972";"IEEE Trans. Computers";"https://doi.org/10.1109/TC.1972.5008976";0
journals/tc/Renschler69a;article;2017-05-20;"Author's reply";"";"1969";"IEEE Trans. Computers";"https://doi.org/10.1109/T-C.1969.222650";0
journals/tc/KapsYS05;article;2017-05-20;"Energy Scalable Universal Hashing.";"";"2005";"IEEE Trans. Computers";"https://doi.org/10.1109/TC.2005.195";0
journals/tc/Beizer71;article;2017-05-20;"Correction to "Towards a New Theory of Sequential Switching Networks"";"";"1971";"IEEE Trans. Computers";"https://doi.org/10.1109/T-C.1971.223379";0
journals/tc/HanSH01;article;2017-05-20;"Synchronous Bandwidth Allocation for Real-Time Communications with the Timed-Token MAC Protocol.";"";"2001";"IEEE Trans. Computers";"https://doi.org/10.1109/12.926157";0
journals/tc/PomeranzR97;article;2017-05-20;"On Dictionary-Based Fault Location in Digital Logic Circuits.";"";"1997";"IEEE Trans. Computers";"https://doi.org/10.1109/12.559802";0
journals/tc/WangPS96;article;2017-05-20;"Optimal Data Scheduling for Uniform Multidimensional Applications.";"";"1996";"IEEE Trans. Computers";"https://doi.org/10.1109/12.545974";0
journals/tc/FanLW03;article;2017-05-20;"General Models and a Reduction Design Technique for FPGA Switch Box Designs.";"";"2003";"IEEE Trans. Computers";"https://doi.org/10.1109/TC.2003.1159751";0
journals/tc/Horna71;article;2017-05-20;"Pulse Reflection in Transmission Lines.";"";"1971";"IEEE Trans. Computers";"https://doi.org/10.1109/T-C.1971.223169";0
journals/tc/DekkerD95;article;2017-05-20;"Parallel Minimal Norm Method of Tridiagonal Linear Systems.";"";"1995";"IEEE Trans. Computers";"https://doi.org/10.1109/12.392854";0
