dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tce/NamSKLH00;article;2017-05-28;"New fast-search algorithm for block matching motion estimation using temporal and spatial correlation of motion vector.";"";"2000";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/30.920443";0
journals/tce/YangPL07;article;2017-05-28;"A Fast Algorithm for YCbCr to RGB Conversion.";"";"2007";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2007.4429242";0
journals/tce/AhnAKC12;article;2017-05-28;"Experimental outage capacity analysis for off-body wireless body area network channel with transmit diversity.";"";"2012";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2012.6227423";0
journals/tce/ChoB06;article;2017-05-28;"Edge-adaptive local min/max nonlinear filter-based shoot suppression.";"";"2006";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2006.1706514";0
journals/tce/HsiaK10;article;2017-05-28;"Cost effective design and implementation of scanning-based LED backlight for LCD module.";"";"2010";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2010.5681068";0
journals/tce/TsaiLH08;article;2017-05-28;"VLIW-aware software optimization of AAC decoder on parallel architecture core DSP (PACDSP) processor.";"";"2008";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2008.4560181";0
journals/tce/KimK99a;article;2017-05-28;"Fast and robust parameter estimation method for global motion compensation in the video coder.";"";"1999";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/30.754420";0
journals/tce/NaK02;article;2017-05-28;"A single chip driver system for 1.2 inch organic electroluminescent display.";"";"2002";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2002.1010125";0
journals/tce/KimJLRC06;article;2017-05-28;"Embedded face recognition based on fast genetic algorithm for intelligent digital photography.";"";"2006";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2006.1706463";0
journals/tce/OjoS01;article;2017-05-28;"Adaptive global concealment of video up-conversion artefacts.";"";"2001";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/30.920418";0
journals/tce/QiCLZW10;article;2017-05-28;"Soft handover mechanism based on RTP parallel transmission for mobile IPTV services.";"";"2010";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2010.5681100";0
journals/tce/KimLPS05;article;2017-05-28;"MPEG-4 compatible stereoscopic sequence codec for stereo broadcasting.";"";"2005";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2005.1561849";0
journals/tce/TesorieroGLP09;article;2017-06-08;"Tracking autonomous entities using rfid technology.";"";"2009";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2009.5174435";0
journals/tce/JeonKJ06;article;2017-06-14;"Rough sets attributes reduction based expert system in interlaced video sequences.";"";"2006";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2006.273155";0
journals/tce/ChoiKLK10;article;2017-05-28;"Noise insensitive focus value operator for digital imaging systems.";"";"2010";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2010.5505933";0
journals/tce/TsaiBWL09;article;2017-05-28;"Design and implementation of a socket with low standby power.";"";"2009";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2009.5278027";0
journals/tce/ChoiLK99;article;2017-05-28;"New autofocusing technique using the frequency selective weighted median filter for video cameras.";"";"1999";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/30.793616";0
journals/tce/ChavarriasPGSS16;article;2017-05-28;"Design of multicore HEVC decoders using actor-based dataflow models and OpenMP.";"";"2016";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2016.7613200";0
journals/tce/QiWLLC16;article;2017-05-28;"Resource orchestration for multi-task application in home-to-home cloud.";"";"2016";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2016.7514719";0
journals/tce/PanLZTY07;article;2017-05-28;"Format-Independent Motion Content Description based on Spatiotemporal Visual Sensitivity.";"";"2007";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2007.381758";0
journals/tce/ChoiNR10;article;2017-06-08;"Towards an automatic face indexing system for actor-based video services in an IPTV environment.";"";"2010";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2010.5439138";0
journals/tce/KwonKP99;article;2017-09-16;"A variable block-size dot-based watermarking method.";"";"1999";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/30.809212";0
journals/tce/YoonPJ04;article;2017-05-28;"Spiral intra macroblock refresh with motion vector restriction for low bit-rate video telephony over a 3G network.";"";"2004";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2004.1362496";0
journals/tce/OhK08;article;2017-05-28;"FPGA-based fast image warping with data-parallelization schemes.";"";"2008";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2008.4711272";0
journals/tce/MoonLLS05;article;2017-05-28;"Design of a universal middleware bridge for device interoperability in heterogeneous home network middleware.";"";"2005";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2005.1405738";0
journals/tce/ChandKO06;article;2017-05-28;"Request based data delivery in video-on-demand services.";"";"2006";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2006.273151";0
journals/tce/Atzori03;article;2017-05-28;"Transmission of JPEG2000 images over wireless channels with unequal power distribution.";"";"2003";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2003.1261169";0
journals/tce/Yu03;article;2017-05-28;"An efficient architecture for 2-D biorthogonal inverse discrete wavelet transforms.";"";"2003";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2003.1209536";0
journals/tce/CostaRWRZ15;article;2017-05-28;"Swarm os control plane: an architecture proposal for heterogeneous and organic networks.";"";"2015";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2015.7389799";1
journals/tce/NawasakiOI09;article;2017-05-28;"Home network system supporting consumer electronics recall.";"";"2009";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2009.5373749";0
journals/tce/LimME13;article;2017-05-28;"Virtual memory partitioning for enhancing application performance in mobile platforms.";"";"2013";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2013.6689690";0
journals/tce/LiuYW10;article;2017-05-28;"A novel sequential-color RGB-LED backlight driving system with local dimming control and dynamic bus voltage regulation.";"";"2010";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2010.5681126";1
journals/tce/ParkLYK10;article;2017-05-28;"Scalable and robust data dissemination for large-scale wireless sensor networks.";"";"2010";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2010.5606305";0
journals/tce/LiuFGK00;article;2017-05-28;"Wide band home phone line characterization.";"";"2000";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/30.826384";0
journals/tce/Nait-Ali07;article;2017-05-28;"Genetic Algorithms for Blind Digital Image Stabilization Under Very Low SNR.";"";"2007";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2007.4341557";0
journals/tce/KimJJSC06;article;2017-05-28;"Low cost implementation of filterless class D audio amplifier with constant switching frequency.";"";"2006";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2006.273168";0
journals/tce/ChoiLJSK99;article;2017-05-28;"A design of a 10-W single-chip class D audio amplifier with very high efficiency using CMOS technology.";"";"1999";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/30.793526";0
journals/tce/TackLCL06;article;2017-05-28;"Eliminating CPU overhead for on-the-fly content adaptation with MPEG-4 wavelet subdivision surfaces.";"";"2006";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2006.1649680";0
journals/tce/NishimuraIKKA04;article;2017-05-28;"High-speed DVD-multi drive system.";"";"2004";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2004.1277862";0
journals/tce/PanDY13;article;2017-05-28;"TDS-OFDM based HDTV transmission over fast fading channels.";"";"2013";"IEEE Trans. Consumer Electronics";"https://doi.org/10.1109/TCE.2013.6490236";0
