dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tcst/LandauLRB96;article;2017-05-28;"Robust control of a 360° flexible arm using the combined pole placement/sensitivity function shaping method.";"";"1996";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/87.508885";1
journals/tcst/ErdemA04;article;2017-05-28;"Design of a class of nonlinear controllers via state dependent Riccati equations.";"";"2004";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2003.819588";1
journals/tcst/SamiappanMPA08;article;2017-05-28;"Maglev Apparatus for Power Minimization and Control of Artificial Hearts.";"";"2008";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2007.903063";0
journals/tcst/GodboleKT13;article;2017-06-08;"Performance Analysis of Generalized Extended State Observer in Tackling Sinusoidal Disturbances.";"";"2013";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2012.2231512";0
journals/tcst/TsopelakosP17;article;2017-07-27;"Design and Evaluation of Dynamic Positioning Controllers With Parasitic Thrust Reduction for an Overactuated Floating Platform.";"";"2017";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2016.2554060";0
journals/tcst/BazaeiM09;article;2017-05-28;"Force Transmission Through a Structurally Flexible Beam: Dynamic Modeling and Feedback Control.";"";"2009";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2008.2006184";0
journals/tcst/HerrmannHTPG08;article;2017-06-15;"Discrete Robust Anti-Windup to Improve a Novel Dual-Stage Large-Span Track-Seek/Following Method.";"";"2008";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2008.917876";0
journals/tcst/MattinglyRD00;article;2017-05-28;"Exact temperature tracking for hyperthermia: a model-based approach.";"";"2000";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/87.880603";0
journals/tcst/CavalloMNP07;article;2017-06-15;"Gray-Box Identification of Continuous-Time Models of Flexible Structures.";"";"2007";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2006.890284";0
journals/tcst/YangSJ14;article;2017-05-28;"Model-Based Stochastic Optimal Air-Fuel Ratio Control With Residual Gas Fraction of Spark Ignition Engines.";"";"2014";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2013.2272832";0
journals/tcst/RyuPHH05;article;2017-05-28;"Time domain passivity control with reference energy following.";"";"2005";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2005.847336";1
journals/tcst/LiLZ03;article;2017-05-28;"Fuel-injection control system design and experiments of a diesel engine.";"";"2003";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2003.810399";1
journals/tcst/YaoJWWC15;article;2017-09-15;"Wide-Area Damping Controller for Power System Interarea Oscillations: A Networked Predictive Control Approach.";"";"2015";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2014.2311852";0
journals/tcst/BleulerGHLMSW94;article;2017-05-28;"Application of digital signal processors for industrial magnetic bearings.";"";"1994";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/87.338647";0
journals/tcst/DulebaS03;article;2017-05-28;"Nonholonomic motion planning based on Newton algorithm with energy optimization.";"";"2003";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2003.810394";0
journals/tcst/AlessandriCG13;article;2017-06-08;"Predictive Control of Container Flows in Maritime Intermodal Terminals.";"";"2013";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2012.2200680";0
journals/tcst/PengC06;article;2017-05-28;"Covariance-based hardware selection-Part II: equivalence results for the sensor, actuator, and simultaneous selection problems.";"";"2006";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2005.863671";0
journals/tcst/FreidovichRSJ10;article;2017-06-15;"LuGre-Model-Based Friction Compensation.";"";"2010";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2008.2010501";0
journals/tcst/PourbabaeeMK16;article;2017-06-15;"Sensor Fault Detection, Isolation, and Identification Using Multiple-Model-Based Hybrid Kalman Filter for Gas Turbine Engines.";"";"2016";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2015.2480003";0
journals/tcst/Doyle04;article;2017-05-28;"Editorial Control at the Molecular Level.";"";"2004";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2003.822628";0
journals/tcst/BerkelTHVS15;article;2017-05-28;"From Optimal to Real-Time Control of a Mechanical Hybrid Powertrain.";"";"2015";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2014.2334476";0
journals/tcst/StanchevRKVV17;article;2017-09-21;"Systematic Transformation of Chemical Catalyst Models for Control Design.";"";"2017";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2016.2623769";0
journals/tcst/CordinerGMMZ14;article;2017-06-08;"Torque Setpoint Tracking for Parallel Hybrid Electric Vehicles Using Dynamic Input Allocation.";"";"2014";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2013.2293179";0
journals/tcst/PerezOD02;article;2017-06-08;"Output tracking between operating points for nonlinear processes: Van de Vusse example.";"";"2002";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2002.1014680";0
journals/tcst/GaleazziBP13;article;2017-06-15;"Early Detection of Parametric Roll Resonance on Container Ships.";"";"2013";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2012.2189399";0
journals/tcst/WangH11;article;2017-05-28;"Bayesian-Based Decision-Making for Object Search and Classification.";"";"2011";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2010.2087760";0
journals/tcst/SwarnakarMC08;article;2017-09-15;"A New Scheme on Robust Observer-Based Control Design for Interconnected Systems With Application to an Industrial Utility Boiler.";"";"2008";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2007.908217";0
journals/tcst/WitDP00;article;2017-06-08;"Nonlinear control of an underwater vehicle/manipulator with composite dynamics.";"";"2000";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/87.880599";1
journals/tcst/YuWST07;article;2017-10-11;"Control and Coordination of Multiple Biomimetic Robotic Fish.";"";"2007";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2006.883228";0
journals/tcst/BegovichSM02;article;2017-05-28;"Takagi-Sugeno fuzzy scheme for real-time trajectory tracking of an underactuated robot.";"";"2002";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/87.974334";0
journals/tcst/El-HawwaryEEF06;article;2017-05-28;"Adaptive Fuzzy Control of the Inverted Pendulum Problem.";"";"2006";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2006.880217";0
journals/tcst/Khoukhi10;article;2017-05-28;"Data-Driven Multi-Stage Motion Planning of Parallel Kinematic Machines.";"";"2010";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2009.2036600";0
journals/tcst/YaoHLW11;article;2017-05-28;"Adaptive Robust Precision Motion Control of a High-Speed Industrial Gantry With Cogging Force Compensations.";"";"2011";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2010.2070504";0
journals/tcst/LopourS09;article;2017-06-08;"Adaptive Sliding-Mode Control of a Charged Particle in an Ion Trap.";"";"2009";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2008.2005258";0
journals/tcst/000110a;article;2017-05-28;"Distributed Cooperative Attitude Synchronization and Tracking for Multiple Rigid Bodies.";"";"2010";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2009.2016428";0
journals/tcst/ZhongY08;article;2017-05-28;"Adaptive Robust Precision Motion Control of a Piezoelectric Positioning Stage.";"";"2008";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2007.916319";0
journals/tcst/ZhangW06;article;2017-05-28;"Adaptive Interval Model Control of Arc Welding Process.";"";"2006";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2006.880215";0
journals/tcst/ZhongL15;article;2017-06-15;"Tuning Fractional-Order Π";"";"2015";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2014.2382642";0
journals/tcst/KimLM13;article;2017-09-15;"Modeling and Control of a Nonlinear Mechanism for High Performance Microfluidic Systems.";"";"2013";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2011.2172445";0
journals/tcst/JungHB04;article;2017-05-28;"Force tracking impedance control of robot manipulators under unknown environment.";"";"2004";"IEEE Trans. Contr. Sys. Techn.";"https://doi.org/10.1109/TCST.2004.824320";1
