dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tcns/ShelarA17;article;2017-05-27;"Security Assessment of Electricity Distribution Networks Under DER Node Compromises.";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2016.2598427";0
journals/tcns/WangC17;article;2017-10-11;"A Hybrid Quasi Steady-State Model for Long-Term Stability Analysis of Electric Power Networks: Model Development and Theoretical Basis.";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2016.2520366";0
journals/tcns/MalladaFT16;article;2017-07-27;"Distributed Synchronization of Heterogeneous Oscillators on Networks With Arbitrary Topology.";"";"2016";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2428371";0
journals/tcns/SeybothWQYA14;article;2017-06-08;"Collective Circular Motion of Unicycle Type Vehicles With Nonidentical Constant Velocities.";"";"2014";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2316995";0
journals/tcns/SchwagerVPRT17;article;2017-09-29;"Robust Adaptive Coverage Control for Robotic Sensor Networks.";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2512326";0
journals/tcns/ZhangFS15;article;2017-06-08;"A Notion of Robustness in Complex Networks.";"";"2015";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2413551";0
journals/tcns/Olshevsky14;article;2017-05-27;"Minimal Controllability Problems.";"";"2014";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2337974";0
journals/tcns/Campos-DelgadoL17;article;2017-09-29;"Power Allocation in Mobile Cellular Communication Under Multiplicative Noise and Interference Uncertainty.";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2512323";0
journals/tcns/ZhaoLWZPW17;article;2017-06-29;"Supervisory Control of Networked Timed Discrete Event Systems and Its Applications to Power Distribution Networks.";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2482219";0
journals/tcns/HoCC17;article;2017-06-29;"Analysis for the Robust H";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2489340";0
journals/tcns/PoonawalaSES15;article;2017-05-27;"Collision-Free Formation Control with Decentralized Connectivity Preservation for Nonholonomic-Wheeled Mobile Robots.";"";"2015";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2378876";0
journals/tcns/SiSHLT16;article;2017-05-27;"Channel Sensitivity of LIFO-Backpressure: Quirks and Improvements.";"";"2016";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2428453";0
journals/tcns/PriscoliIMP15;article;2017-05-27;"Leader-Following Coordination of Nonlinear Agents Under Time-Varying Communication Topologies.";"";"2015";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2426752";0
journals/tcns/KamKNWE14;article;2017-05-27;"Cognitive Cooperative Random Access for Multicast: Stability and Throughput Analysis.";"";"2014";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2311651";0
journals/tcns/Marden17;article;2017-09-29;"The Role of Information in Distributed Resource Allocation.";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2016.2553363";0
journals/tcns/RavazziFTI15;article;2017-05-27;"Ergodic Randomized Algorithms and Dynamics Over Networks.";"";"2015";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2367571";0
journals/tcns/GregoireQFFW15;article;2017-05-27;"Capacity-Aware Backpressure Traffic Signal Control.";"";"2015";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2378871";0
journals/tcns/Gattami17a;article;2017-09-29;"Team Decision Problems With Convex Quadratic Constraints.";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2016.2521061";0
journals/tcns/Matni17;article;2017-06-29;"Communication Delay Co-Design in ℋ";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2497100";0
journals/tcns/WuZLTL16;article;2017-05-27;"Identifying Topologies of Complex Dynamical Networks With Stochastic Perturbations.";"";"2016";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2482178";0
journals/tcns/CiccoCM15;article;2017-06-08;"Local SIP Overload Control: Controller Design and Optimization by Extremum Seeking.";"";"2015";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2401171";0
journals/tcns/BeckNOT14;article;2017-05-27;"An O(1/k) Gradient Method for Network Resource Allocation Problems.";"";"2014";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2309751";0
journals/tcns/CovielloF16;article;2017-05-27;"An Instance of Distributed Social Computation: The Multiagent Group Membership Problem.";"";"2016";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2453671";0
journals/tcns/AkbariGL17;article;2017-09-29;"Distributed Online Convex Optimization on Time-Varying Directed Graphs.";"";"2017";"IEEE Trans. Control of Network Systems";"";0
journals/tcns/ShiPJBJ15;article;2017-05-27;"Emergent Behaviors Over Signed Random Dynamical Networks: State-Flipping Model.";"";"2015";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2378915";0
journals/tcns/KarpovskyLM14;article;2017-05-27;"Optimal Turn Prohibition for Deadlock Prevention in Networks With Regular Topologies.";"";"2014";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2304869";0
journals/tcns/CharalambousYYP15;article;2017-09-04;"Distributed Finite-Time Average Consensus in Digraphs in the Presence of Time Delays.";"";"2015";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2426732";0
journals/tcns/GuoSJS17;article;2017-06-08;"Optimal Linear Cyber-Attack on Remote State Estimation.";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2016.2570003";0
journals/tcns/PonniahHK16;article;2017-05-27;"A System-Theoretic Clean Slate Approach to Provably Secure Ad-Hoc Wireless Networking.";"";"2016";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2428309";0
journals/tcns/BoseGCL15;article;2017-05-27;"Quadratically Constrained Quadratic Programs on Acyclic Graphs With Application to Power Flow.";"";"2015";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2401172";0
journals/tcns/WangP15;article;2017-05-27;"Statistical Traffic Anomaly Detection in Time-Varying Communication Networks.";"";"2015";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2378631";0
journals/tcns/DongXLZ14;article;2017-05-27;"Formation Control for High-Order Linear Time-Invariant Multiagent Systems With Time Delays.";"";"2014";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2337972";0
journals/tcns/TouriL14;article;2017-05-27;"On Endogenous Random Consensus and Averaging Dynamics.";"";"2014";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2337973";0
journals/tcns/XuTM15;article;2017-06-15;"Specification and Synthesis of Reactive Protocols for Aircraft Electric Power Distribution.";"";"2015";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2401174";0
journals/tcns/ApersS17;article;2017-09-29;"Accelerating Consensus by Spectral Clustering and Polynomial Filters.";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2016.2520885";0
journals/tcns/ReppaPP15;article;2017-05-27;"Distributed Sensor Fault Diagnosis for a Network of Interconnected Cyberphysical Systems.";"";"2015";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2367362";0
journals/tcns/AzumaYS17;article;2017-06-29;"Structural Monostability of Activation-Inhibition Boolean Networks.";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2485440";0
journals/tcns/HabibiMA17;article;2017-09-29;"A Gradient-Based Coverage Optimization Strategy for Mobile Sensor Networks.";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2016.2515370";0
journals/tcns/DvijothamTF15;article;2017-05-27;"Convex Structured Controller Design in Finite Horizon.";"";"2015";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2367359";0
journals/tcns/LiZC16;article;2017-05-27;"Connecting Automatic Generation Control and Economic Dispatch From an Optimization View.";"";"2016";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2459451";0
journals/tcns/TavafoghiT17;article;2017-09-29;"Multidimensional Forward Contracts Under Uncertainty for Electricity Markets.";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2016.2518924";0
journals/tcns/MartinGFJ14;article;2017-06-15;"Multiagent Flocking Under General Communication Rule.";"";"2014";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2316994";0
journals/tcns/BlanchiniCGM17;article;2017-08-28;"A Robust Decentralized Control for Channel Sharing Communication.";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2502025";0
journals/tcns/WuZ16;article;2017-05-27;"A Speeding-Up and Slowing-Down Strategy for Distributed Source Seeking With Robustness Analysis.";"";"2016";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2459414";0
journals/tcns/WangP17;article;2017-06-29;"Botnet Detection Based on Anomaly and Community Detection.";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2016.2532804";0
journals/tcns/TanakaFL17;article;2017-09-16;"Faithful Implementations of Distributed Algorithms and Control Laws.";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2489318";0
journals/tcns/FitchL16;article;2017-05-27;"Joint Centrality Distinguishes Optimal Leaders in Noisy Networks.";"";"2016";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2481138";0
journals/tcns/MukhopadhyayM16;article;2017-05-27;"Analysis of Randomized Join-the-Shortest-Queue (JSQ) Schemes in Large Heterogeneous Processor-Sharing Systems.";"";"2016";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2428331";0
journals/tcns/TallCAA14;article;2017-05-27;"Distributed Coordination of Self-Organizing Mechanisms in Communication Networks.";"";"2014";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2357511";0
journals/tcns/HeAEY16;article;2017-05-27;"Polynomial Complexity Minimum-Time Scheduling in a Class of Wireless Networks.";"";"2016";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2512678";0
journals/tcns/FranzeT14;article;2017-06-15;"Networked Control Systems: A Polynomial Receding Horizon Approach.";"";"2014";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2357502";0
journals/tcns/PourazarmC17;article;2017-06-29;"Energy-Based Lifetime Maximization and Security of Wireless-Sensor Networks With General Nonideal Battery Models.";"";"2017";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2015.2501598";0
journals/tcns/YiH14;article;2017-05-27;"Quantized Subgradient Algorithm and Data-Rate Analysis for Distributed Optimization.";"";"2014";"IEEE Trans. Control of Network Systems";"https://doi.org/10.1109/TCNS.2014.2357513";0
