dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tcyb/Al-JarrahAYMTK16;article;2017-06-14;"Data Randomization and Cluster-Based Partitioning for Botnet Intrusion Detection.";"";"2016";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2015.2490802";0
journals/tcyb/KongAS13;article;2017-05-17;"A Generalized Laplacian of Gaussian Filter for Blob Detection and Its Applications.";"";"2013";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TSMCB.2012.2228639";0
journals/tcyb/TangY15;article;2017-05-17;"Image Pair Analysis With Matrix-Value Operator.";"";"2015";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2014.2363882";0
journals/tcyb/PrecupDPRP14;article;2017-06-14;"Adaptive GSA-Based Optimal Tuning of PI Controlled Servo Systems With Reduced Process Parametric Sensitivity, Robust Stability and Controller Robustness.";"";"2014";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2014.2307257";0
journals/tcyb/Ruiz-CruzSOLH13;article;2017-05-17;"Particle Swarm Optimization for Discrete-Time Inverse Optimal Control of a Doubly Fed Induction Generator.";"";"2013";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TSMCB.2012.2228188";0
journals/tcyb/ZhangLHXS13;article;2017-06-14;"Dynamic Extreme Learning Machine and Its Approximation Capability.";"";"2013";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2013.2239987";0
journals/tcyb/WuSSC13;article;2017-05-17;"Stochastic Synchronization of Markovian Jump Neural Networks With Time-Varying Delay Using Sampled Data.";"";"2013";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TSMCB.2012.2230441";0
journals/tcyb/LangmannWHL14;article;2017-06-14;"Development and Investigation of a Long-Range Time-of-Flight and Color Imaging System.";"";"2014";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2013.2283971";0
journals/tcyb/WangNYGY15;article;2017-05-17;"Robust 2DPCA With Non-greedy ℓ";"";"2015";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2014.2341575";0
journals/tcyb/KeZB13;article;2017-06-08;"MOEA/D-ACO: A Multiobjective Evolutionary Algorithm Using Decomposition and AntColony.";"";"2013";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TSMCB.2012.2231860";0
journals/tcyb/MisraSK16;article;2017-05-17;"MIRACLE: Mobility Prediction Inside a Coverage Hole Using Stochastic Learning Weak Estimator.";"";"2016";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2015.2450836";0
journals/tcyb/LudwigNRP13;article;2017-06-08;"Improving the Generalization Capacity of Cascade Classifiers.";"";"2013";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2013.2240678";0
journals/tcyb/LiuWZCC14;article;2017-05-17;"Adaptive Fuzzy Output-Feedback Controller Design for Nonlinear Systems via Backstepping and Small-Gain Approach.";"";"2014";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2013.2292702";0
journals/tcyb/ZhangWZ14;article;2017-09-12;"Last-Position Elimination-Based Learning Automata.";"";"2014";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2014.2309478";0
journals/tcyb/KarakayaGAT16;article;2017-06-08;"Identifying (Quasi) Equally Informative Subsets in Feature Selection Problems for Classification: A Max-Relevance Min-Redundancy Approach.";"";"2016";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2015.2444435";0
journals/tcyb/LiJRW17;article;2017-06-14;"Information Fusion of Passive Sensors for Detection of Moving Targets in Dynamic Environments.";"";"2017";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2015.2508024";0
journals/tcyb/ChengJ15;article;2017-05-17;"A Competitive Swarm Optimizer for Large Scale Optimization.";"";"2015";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2014.2322602";0
journals/tcyb/LiYLL14;article;2017-06-14;"Evolutionary Algorithms With Segment-Based Search for Multiobjective Optimization Problems.";"";"2014";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2013.2282503";0
journals/tcyb/WangLLLW17;article;2017-09-30;"Backstepping-Based Lyapunov Function Construction Using Approximate Dynamic Programming and Sum of Square Techniques.";"";"2017";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2016.2574747";0
journals/tcyb/NarayanMC13;article;2017-05-17;"Embedding Human Expert Cognition Into Autonomous UAS Trajectory Planning.";"";"2013";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TSMCB.2012.2211349";0
journals/tcyb/WangEH15;article;2017-06-08;"Large Tanker Motion Model Identification Using Generalized Ellipsoidal Basis Function-Based Fuzzy Neural Networks.";"";"2015";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2014.2382679";0
journals/tcyb/TanSP16;article;2017-05-17;"Edge-Aware Filtering with Local Polynomial Approximation and Rectangle-Based Weighting.";"";"2016";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2015.2485203";0
journals/tcyb/Moreno-Valenzuela16;article;2017-05-17;"Adaptive Neural Network Control for the Trajectory Tracking of the Furuta Pendulum.";"";"2016";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2015.2509863";0
journals/tcyb/NieHZXTS16;article;2017-05-17;"Perceptual Attributes Optimization for Multivideo Summarization.";"";"2016";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2015.2493558";0
journals/tcyb/FuXLC15;article;2017-05-17;"Bio-inspired Group Modeling and Analysis for Intruder Detection in Mobile Sensor/Robotic Networks.";"";"2015";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2014.2320717";0
journals/tcyb/FrolovaSB13;article;2017-06-14;"Most Probable Longest Common Subsequence for Recognition of Gesture Character Input.";"";"2013";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TSMCB.2012.2217324";0
journals/tcyb/LiML15;article;2017-05-17;"Scene Parsing From an MAP Perspective.";"";"2015";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2014.2361489";0
journals/tcyb/0001TWCW15;article;2017-05-17;"Hand-Dorsa Vein Recognition by Matching Local Features of Multisource Keypoints.";"";"2015";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2014.2360894";0
journals/tcyb/MeerkovR17;article;2017-05-17;"Combating Curse of Dimensionality in Resilient Monitoring Systems: Conditions for Lossless Decomposition.";"";"2017";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2016.2543701";0
journals/tcyb/ShenWL13;article;2017-05-17;"Depth-Aware Image Seam Carving.";"";"2013";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2013.2273270";0
journals/tcyb/YuZYYHDJBM15;article;2017-05-17;"Is Interactional Dissynchrony a Clue to Deception? Insights From Automated Analysis of Nonverbal Visual Cues.";"";"2015";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2014.2329673";0
journals/tcyb/DongKL16;article;2017-06-14;"EEG-Based Classification of Implicit Intention During Self-Relevant Sentence Reading.";"";"2016";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2015.2479240";0
journals/tcyb/YuZRT15;article;2017-05-17;"Multiagent Learning of Coordination in Loosely Coupled Multiagent Systems.";"";"2015";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2014.2387277";0
journals/tcyb/ZaalNPM13;article;2017-06-08;"Modeling Human Control of Self-Motion Direction With Optic Flow and Vestibular Motion.";"";"2013";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TSMCB.2012.2212188";0
journals/tcyb/XuRWY17;article;2017-05-17;"Sliced Inverse Regression With Adaptive Spectral Sparsity for Dimension Reduction.";"";"2017";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2016.2526630";0
journals/tcyb/Su17;article;2017-05-17;"Cooperative Semi-Global Output Regulation of Nonlinear Strict-Feedback Multi-Agent Systems With Nonidentical Relative Degrees.";"";"2017";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2016.2524408";0
journals/tcyb/WangMHLZ17;article;2017-07-26;"Instance Annotation via Optimal BoW for Weakly Supervised Object Localization.";"";"2017";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2017.2647965";0
journals/tcyb/HuCT13;article;2017-06-08;"A Novel Decision-Tree Method for Structured Continuous-Label Classification.";"";"2013";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TSMCB.2012.2229269";0
journals/tcyb/GaoJ17;article;2017-07-26;"Efficient Markov Blanket Discovery and Its Application.";"";"2017";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2016.2539338";0
journals/tcyb/OlivariNVBP15;article;2017-06-14;"Methods for Multiloop Identification of Visual and Neuromuscular Pilot Responses.";"";"2015";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2014.2384525";0
journals/tcyb/NguyenZT17;article;2017-09-21;"Surrogate-Assisted Genetic Programming With Simplified Models for Automated Design of Dispatching Rules.";"";"2017";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2016.2562674";0
journals/tcyb/WangJY17;article;2017-06-14;"Diversity Assessment in Many-Objective Optimization.";"";"2017";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2016.2550502";0
journals/tcyb/LiZLZ15;article;2017-06-08;"Rating Knowledge Sharing in Cross-Domain Collaborative Filtering.";"";"2015";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2014.2343982";0
journals/tcyb/ChenLZ17;article;2017-07-26;"Generating Globally Stable Periodic Solutions of Delayed Neural Networks With Periodic Coefficients via Impulsive Control.";"";"2017";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2016.2552383";0
journals/tcyb/XieYZX17;article;2017-09-21;"Fault Estimation Observer Design for Discrete-Time Takagi-Sugeno Fuzzy Systems Based on Homogenous Polynomially Parameter-Dependent Lyapunov Functions.";"";"2017";"IEEE Trans. Cybernetics";"https://doi.org/10.1109/TCYB.2017.2693323";0
