dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tdsc/TapiadorORR15;article;2017-06-14;"Key-Recovery Attacks on KIDS, a Keyed Anomaly Detection System.";"";"2015";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2013.39";0
journals/tdsc/TianDBD17;article;2017-06-01;"A Traceback Attack on Freenet.";"";"2017";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2015.2453983";0
journals/tdsc/LuWW15;article;2017-05-28;"Camouflage Traffic: Minimizing Message Delay for Smart Grid Applications under Jamming.";"";"2015";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2014.2316795";0
journals/tdsc/PilaramE17;article;2017-05-28;"An Efficient Lattice Based Multi-Stage Secret Sharing Scheme.";"";"2017";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2015.2432800";0
journals/tdsc/HanCAL17;article;2017-06-14;"Using Virtual Machine Allocation Policies to Defend against Co-Resident Attacks in Cloud Computing.";"";"2017";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2015.2429132";0
journals/tdsc/LvM015;article;2017-05-28;"Loss-Tolerant Bundle Fragment Authentication for Space-Based DTNs.";"";"2015";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2014.2382601";0
journals/tdsc/LimKW12;article;2017-05-28;"Workflow Signatures for Business Process Compliance.";"";"2012";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2012.38";0
journals/tdsc/DiaF15;article;2017-05-28;"Risk Aware Query Replacement Approach for Secure Databases Performance Management.";"";"2015";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2014.2306675";0
journals/tdsc/AhnL15;article;2017-05-28;"A Memory-Access Validation Scheme against Payload Injection Attacks.";"";"2015";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2014.2355844";0
journals/tdsc/SundaresanDPZ15;article;2017-09-16;"Secure Tag Search in RFID Systems Using Mobile Readers.";"";"2015";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2014.2302305";0
journals/tdsc/SalakoS14;article;2017-05-28;"When Does "Diversity" in Development Reduce Common Failures? Insights from Probabilistic Modeling.";"";"2014";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2013.32";0
journals/tdsc/LuL08;article;2017-05-28;"Practical Inference Control for Data Cubes.";"";"2008";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2007.70217";0
journals/tdsc/AlmohriYK14;article;2017-05-28;"Process Authentication for High System Assurance.";"";"2014";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2013.29";0
journals/tdsc/LiuWCRZD14;article;2017-09-06;"PPTP: Privacy-Preserving Traffic Padding in Web-Based Applications.";"";"2014";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2014.2302308";0
journals/tdsc/PakC17;article;2017-05-28;"High Performance and High Scalable Packet Classification Algorithm for Network Security Systems.";"";"2017";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2015.2443773";0
journals/tdsc/LyuGZM16;article;2017-05-28;"PBA: Prediction-Based Authentication for Vehicle-to-Vehicle Communications.";"";"2016";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2015.2399297";0
journals/tdsc/Holm14;article;2017-05-28;"A Large-Scale Study of the Time Required to Compromise a Computer System.";"";"2014";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2013.21";0
journals/tdsc/LiuCG16;article;2017-05-28;"Identifying High-Cardinality Hosts from Network-Wide Traffic Measurements.";"";"2016";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2015.2423675";0
journals/tdsc/BertinoS05;article;2017-05-28;"Database Security-Concepts, Approaches, and Challenges.";"";"2005";"IEEE Trans. Dependable Sec. Comput.";"https://doi.org/10.1109/TDSC.2005.9";0
