dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/te/RengelMV12;article;2017-06-14;"Supervised Coursework as a Way of Improving Motivation in the Learning of Digital Electronics.";"";"2012";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2012.2194293";0
journals/te/Rodriguez-ResendizRR11;article;2017-05-28;"Adjustable Speed Drive Project for Teaching a Servo Systems Course Laboratory.";"";"2011";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2011.2106213";0
journals/te/RosRHCP12;article;2017-07-18;"Using Virtualization and Automatic Evaluation: Adapting Network Services Management Courses to the EHEA.";"";"2012";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2011.2160544";0
journals/te/RhoadsH00;article;2017-05-28;"Student attitudes toward statistics before and after a computer-integrated introductory statistics course.";"";"2000";"IEEE Trans. Education";"https://doi.org/10.1109/13.848071";0
journals/te/DuttaPEP11;article;2017-09-16;"A Web Service and Interface for Remote Electronic Device Characterization.";"";"2011";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2011.2105488";0
journals/te/Smaill05;article;2017-05-28;"The implementation and evaluation of OASIS: a web-based learning and assessment tool for large classes.";"";"2005";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2005.852590";0
journals/te/PanettaSCSBROMB17;article;2017-05-28;"2016 IEEE Educational Activities Board Awards.";"";"2017";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2016.2637478";0
journals/te/YilmazT11;article;2017-05-28;"A Mixed Learning Approach in Mechatronics Education.";"";"2011";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2010.2053932";0
journals/te/KulmerWG16;article;2017-05-28;"The Magnitude Response Learning Tool for DSP Education: A Case Study.";"";"2016";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2016.2546226";0
journals/te/MbarikaSR03;article;2017-05-28;"Identification of factors that lead to perceived learning improvements for female students.";"";"2003";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2002.804407";0
journals/te/BransonNE00;article;2017-05-28;"A simplistic printed circuit board fabrication process for course projects.";"";"2000";"IEEE Trans. Education";"https://doi.org/10.1109/13.865197";0
journals/te/Abramovitz11;article;2017-05-28;"An Approach to Average Modeling and Simulation of Switch-Mode Systems.";"";"2011";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2011.2146784";0
journals/te/Braun10;article;2017-05-28;"Teaching Sustainability Analysis in Electrical Engineering Lab Courses.";"";"2010";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2009.2013940";0
journals/te/WeytenRCB11;article;2017-05-28;"Validation of Symbolic Expressions in Circuit Analysis E-Learning.";"";"2011";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2010.2090882";0
journals/te/ZualkernanAQ06;article;2017-05-28;"Learning Styles of Computer Programming Students: A Middle Eastern and American Comparison.";"";"2006";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2006.882366";0
journals/te/MuokaHGN15;article;2017-06-14;"DSP-Based Hands-On Laboratory Experiments for Photovoltaic Power Systems.";"";"2015";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2014.2323937";0
journals/te/Colpitts02;article;2017-05-28;"Teaching transmission lines: a project of measurement and simulation.";"";"2002";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2002.1024617";0
journals/te/SanchezDPM04;article;2017-09-16;"A Java/Matlab-based environment for remote control system laboratories: illustrated with an inverted pendulum.";"";"2004";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2004.825525";1
journals/te/TangHRC11;article;2017-05-28;"Vertical Integration of System-on-Chip Concepts in the Digital Design Curriculum.";"";"2011";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2010.2050773";0
journals/te/MateosLGE01;article;2017-05-28;"Improving laboratory training for automation and process control courses with a specifically designed testing software application.";"";"2001";"IEEE Trans. Education";"https://doi.org/10.1109/13.925869";1
journals/te/Aliane10;article;2017-06-08;"A Matlab/Simulink-Based Interactive Module for Servo Systems Learning.";"";"2010";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2009.2014468";0
journals/te/GuzelgozA10;article;2017-05-28;"A Wireless Communications Systems Laboratory Course.";"";"2010";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2009.2032166";0
journals/te/Lopez-Martin04;article;2017-06-14;"Teaching random signals and noise: an experimental approach.";"";"2004";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2004.824838";0
journals/te/Hu03;article;2017-05-28;"A wholesome ECE education.";"";"2003";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2003.818753";0
journals/te/AharoniL00;article;2017-05-28;"An alternative approach for the determination of the "OFF-ON" turnover process in four-layer semiconductor devices.";"";"2000";"IEEE Trans. Education";"https://doi.org/10.1109/13.883354";0
journals/te/McGettrickTSS03;article;2017-05-28;"Computer engineering curriculum in the new millennium.";"";"2003";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2003.818755";0
journals/te/HussmannJ07;article;2017-05-28;"Crazy Car Race Contest: Multicourse Design Curricula in Embedded System Design.";"";"2007";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2006.888906";0
journals/te/JiauCS09;article;2017-05-28;"Enhancing Self-Motivation in Learning Programming Using Game-Based Simulation and Metrics.";"";"2009";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2008.2010983";0
journals/te/KarpGLMB10;article;2017-05-28;"Generation NXT: Building Young Engineers With LEGOs.";"";"2010";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2009.2024410";0
journals/te/GonzalezPDGRP13;article;2017-06-14;"The Use of Video-Gaming Devices as a Motivation for Learning Embedded Systems Programming.";"";"2013";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2012.2208194";0
journals/te/Hassapis03;article;2017-05-28;"An interactive electronic book approach for teaching computer implementation of industrial control systems.";"";"2003";"IEEE Trans. Education";"https://doi.org/10.1109/TE.2002.808227";1
