dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tc/Hartmanis66;article;2017-05-20;"Minimal Feedback Realizations of Sequential Machines.";"";"1966";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1966.264479";0
journals/tc/BarteeC65;article;2017-05-20;"Design of an Accumulator for a General Purpose Computer.";"";"1965";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1965.263997";0
journals/tc/Dor67;article;2017-05-20;"Guide to the Length of Buffer Storage Required for Random (Poisson) Input and Constant Output Rates.";"";"1967";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1967.264782";0
journals/tc/LiuS66;article;2017-05-20;"An Experimental Investigation of a Mixed-Font Print Recognition System.";"";"1966";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1966.264474";0
journals/tc/Liu64a;article;2017-05-20;"kth-Order Finite Automaton.";"";"1964";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1964.263751";0
journals/tc/HaringS67;article;2017-05-20;"On Realizations of Synchronous Sequential Machines.";"";"1967";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1967.264784";0
journals/tc/CrofutS66;article;2017-05-20;"Design Techniques of a Delay-Line Content-Addressed Memory.";"";"1966";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1966.264360";0
journals/tc/Floyd64;article;2017-05-20;"The Syntax of Programming Languages-A Survey.";"";"1964";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1964.263814";0
journals/tc/SpiegelL65;article;2017-05-20;"A Nanosecond Monolithic TTL Gate.";"";"1965";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1965.264118";0
journals/tc/Lerner65;article;2017-05-20;"Hazard Correction in Asynchronous Sequential Circuits.";"";"1965";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1965.264261";0
journals/tc/Wood64;article;2017-05-20;"Hazards in Pulse Sequential Circuits.";"";"1964";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1964.263785";0
journals/tc/HopcroftM65;article;2017-05-20;"Synthesis of Minimal Threshold Logic Networks.";"";"1965";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1965.263995";0
journals/tc/ShemerS66;article;2017-05-20;"Statistical Analysis of Paged and Segmented Computer Systems.";"";"1966";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1966.264467";0
journals/tc/PleshkoT66;article;2017-05-20;"An Investigation of the Potential of MOS Transistor Memories.";"";"1966";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1966.264348";0
journals/tc/Kirsch64;article;2017-05-20;"Computer Interpretation of English Text and Picture Patterns.";"";"1964";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1964.263816";0
journals/tc/BongenaarT65;article;2017-05-20;"Worst-Case Considerations in Designing Logical Circuits.";"";"1965";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1965.264000";0
journals/tc/Olivares65;article;2017-05-20;"Synthesis of Nonconstant Weight Binary Codes for Minimum Diode Counters.";"";"1965";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1965.264060";0
journals/tc/Earnshaw64;article;2017-05-20;"Design for a Tunnel Diode-Transistor Store with Nondestructive Read-Out of Information.";"";"1964";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1964.263905";0
journals/tc/Rudeanu65;article;2017-05-20;"On Tohma's Decompositions of Logical Functions.";"";"1965";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1965.264091";0
journals/tc/Wait67;article;2017-05-20;"State-Space Methods for Designing Digital Simulations of Continuous Fixed Linear Systems.";"";"1967";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1967.264693";0
journals/tc/Seitzer67;article;2017-05-20;"An Experimental Word Decode and Drive System for a Magnetic Film Memory with 20-ns READ-Cycle Time.";"";"1967";"IEEE Trans. Electronic Computers";"https://doi.org/10.1109/PGEC.1967.264813";0
