dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tetc/WangLXJW16;article;2017-05-17;"Data Sweeper: A Proactive Filtering Framework for Error-Bounded Sensor Data Collection.";"";"2016";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2015.2411215";0
journals/tetc/ZhangHLLS14;article;2017-05-17;"A Carpooling Recommendation System for Taxicab Services.";"";"2014";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2014.2356493";0
journals/tetc/SubramanyanTLGTTSSM14;article;2017-09-01;"Reverse Engineering Digital Circuits Using Structural and Functional Analyses.";"";"2014";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2013.2294918";0
journals/tetc/BernardiniR16;article;2017-06-08;"Theoretical Limits of Helperless Stabilizers for Physically Unclonable Constants.";"";"2016";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2014.2386137";0
journals/tetc/LedyHBPDVL15;article;2017-05-17;"Impact of Realistic Simulation on the Evaluation of Mobile Ad Hoc Routing Protocols.";"";"2015";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2015.2405478";0
journals/tetc/MayhewM14;article;2017-05-17;"On-Chip Nanoscale Capacitor Decoupling Architectures for Hardware Security.";"";"2014";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2014.2303934";0
journals/tetc/GuZGBX17;article;2017-06-15;"Cost Efficient Resource Management in Fog Computing Supported Medical Cyber-Physical System.";"";"2017";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2015.2508382";0
journals/tetc/XuYZWLCML17;article;2017-09-13;"Social Sensors Based Online Attention Computing of Public Safety Events.";"";"2017";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2017.2684819";0
journals/tetc/MunirSLL14;article;2017-05-17;"Reducing Energy Waste for Computers by Human-in-the-Loop Control.";"";"2014";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2013.2281204";0
journals/tetc/NiuWSG17;article;2017-09-13;"Temporal Factor-Aware Video Affective Analysis and Recommendation for Cyber-Based Social Media.";"";"2017";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2017.2705341";0
journals/tetc/AbawajyKC14;article;2017-05-17;"Large Iterative Multitier Ensemble Classifiers for Security of Big Data.";"";"2014";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2014.2316510";0
journals/tetc/ChangYBD15;article;2017-09-16;"A Pragmatic VBR Stream Scheduling Policy for IEEE 802.11e HCCA Access Method.";"";"2015";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2015.2432745";0
journals/tetc/LinPYGZ13;article;2017-05-17;"Scheduling Co-Design for Reliability and Energy in Cyber-Physical Systems.";"";"2013";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2013.2274042";0
journals/tetc/Duong-BaNBT14;article;2017-05-17;"Distributed Client-Server Assignment for Online Social Network Applications.";"";"2014";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2014.2358801";0
journals/tetc/EmuraKOOT16;article;2017-05-17;"Secure and Anonymous Communication Technique: Formal Model and Its Prototype Implementation.";"";"2016";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2015.2400131";0
journals/tetc/LiuRYK14;article;2017-05-17;"Shielding Heterogeneous MPSoCs From Untrustworthy 3PIPs Through Security- Driven Task Scheduling.";"";"2014";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2014.2348182";0
journals/tetc/DeMaraPO17;article;2017-07-26;"Guest Editorial: IEEE Transactions on Computers and IEEE Transactions on Emerging Topics in Computing Joint Special Section on Innovation in Reconfigurable Computing Fabrics from Devices to Architectures.";"";"2017";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2016.2641599";0
journals/tetc/ChenPHZSZCLS15;article;2017-06-08;"Powering Up Dark Silicon: Mitigating the Limitation of Power Delivery via Dynamic Pin Switching.";"";"2015";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2015.2454854";0
journals/tetc/NittalaAM17;article;2017-07-26;"A Software Toolchain for Variability Awareness on Heterogenous Multicore Platforms.";"";"2017";"IEEE Trans. Emerging Topics Comput.";"https://doi.org/10.1109/TETC.2016.2562598";0
