dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tetci/Ingles-RomeroRV17;article;2017-09-15;"A Model-Driven Approach to Enable Adaptive QoS in DDS-Based Middleware.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2017.2669187";0
journals/tetci/RenHT17;article;2017-05-28;"Automatic Microstructure Defect Detection of Ti-6Al-4V Titanium Alloy by Regions-Based Graph.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2017.2669523";0
journals/tetci/MeiNXZ17;article;2017-10-05;"An Efficient Feature Selection Algorithm for Evolving Job Shop Scheduling Rules With Genetic Programming.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2017.2743758";0
journals/tetci/NarayananCC017;article;2017-06-06;"Context-Aware, Adaptive, and Scalable Android Malware Detection Through Online Learning.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2017.2699220";0
journals/tetci/AlippiNR17;article;2017-05-28;"Model-Free Fault Detection and Isolation in Large-Scale Cyber-Physical Systems.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2016.2641452";0
journals/tetci/JeongKPKYK17;article;2017-05-28;"Task Intelligence of Robots: Neural Model-Based Mechanism of Thought and Online Motion Planning.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2016.2645720";0
journals/tetci/LiuT17;article;2017-05-28;"Computational Intelligence in Music Composition: A Survey.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2016.2642200";0
journals/tetci/ShiraziJ17;article;2017-10-05;"A Strategy for Self-Organized Coordinated Motion of a Swarm of Minimalist Robots.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2017.2741505";0
journals/tetci/LuoLZJ17;article;2017-05-28;"On Location and Trace Privacy of the Moving Object Using the Negative Survey.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2017.2669089";0
journals/tetci/MalboubiGCS17;article;2017-05-16;"Parallelizing Under-Determined Inverse Problems for Network Applications.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2016.2635129";0
journals/tetci/KyriacouTMPP17;article;2017-05-28;"Partitioning of Intelligent Buildings for Distributed Contaminant Detection and Isolation.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2017.2665119";0
journals/tetci/KumarTSR17;article;2017-05-28;"A Consensus-Based Distributed Computational Intelligence Technique for Real-Time Optimal Control in Smart Distribution Grids.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2016.2635130";0
journals/tetci/DebAS17;article;2017-09-06;"A Computationally Fast Convergence Measure and Implementation for Single-, Multiple-, and Many-Objective Optimization.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2017.2719707";0
journals/tetci/BrownleeBS17;article;2017-06-06;"Search-Based Energy Optimization of Some Ubiquitous Algorithms.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2017.2699193";0
journals/tetci/JiangLNH17;article;2017-09-06;"On the Reconstruction Method For Negative Surveys with Application to Education Surveys.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2017.2721440";0
journals/tetci/Ong17;article;2017-07-26;"Editorial IEEE Transactions on Emerging Topics in Computational Intelligence.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2016.2646278";0
journals/tetci/MezghaniED17;article;2017-06-06;"A Model-Driven Methodology for the Design of Autonomic and Cognitive IoT-Based Systems: Application to Healthcare.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2017.2699218";0
journals/tetci/LuoHZ17;article;2017-09-06;"Guest Editorial: Special Issue on Emergent Topics in Artificial Immune Systems.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2017.2723738";0
journals/tetci/EisenstadtM17;article;2017-05-28;"Novel Solution Approach for Multi-Objective Attack-Defense Cyber Games With Unknown Utilities of the Opponent.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2016.2637410";0
journals/tetci/Garg17;article;2017-10-05;"A Robust Ranking Method for Intuitionistic Multiplicative Sets Under Crisp, Interval Environments and Its Applications.";"";"2017";"IEEE Trans. Emerging Topics in Comput. Intellig.";"https://doi.org/10.1109/TETCI.2017.2739129";0
