dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tem/GiannoccaroN16;article;2017-05-27;"Examining the Roles of Product Complexity and Manager Behavior on Product Design Decisions: An Agent-Based Study Using NK Simulation.";"";"2016";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2015.2510031";0
journals/tem/Sabherwal15c;article;2017-05-27;"Editorial for November 2015 Issue.";"";"2015";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2015.2480455";0
journals/tem/ShittuB10;article;2017-05-27;"Optimal Energy R&D Portfolio Investments in Response to a Carbon Tax.";"";"2010";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2009.2023107";0
journals/tem/XiaoQ17;article;2017-07-24;"Product Line Design and Outsourcing Strategies in Dyadic Supply Chains.";"";"2017";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2017.2665702";0
journals/tem/DickinsonTG01;article;2017-05-27;"Technology portfolio management: optimizing interdependent projects over multiple time periods.";"";"2001";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/17.969428";0
journals/tem/NelloreB01;article;2017-05-27;"Factors influencing success in integrated product development (IPD) projects.";"";"2001";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/17.922476";0
journals/tem/KosariJF16;article;2017-06-14;"On Equivalency Between Numerical Process DSM and State-Space Representation.";"";"2016";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2016.2581166";0
journals/tem/SarkerL06;article;2017-05-27;"Does the use of computer-based BPC tools contribute to redesign effectiveness? Insights from a hermeneutic study.";"";"2006";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2005.861806";0
journals/tem/IslamO13;article;2017-05-27;"Nanotechnology Innovation System: An Empirical Analysis of the Emerging Actors and Collaborative Networks.";"";"2013";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2013.2265352";0
journals/tem/ChenPXT15;article;2017-05-27;"Information Privacy Concern About Peer Disclosure in Online Social Networks.";"";"2015";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2015.2432117";0
journals/tem/ChenHK09;article;2017-05-27;"A Strategic Technology Planning Framework: A Case of Taiwan's Semiconductor Foundry Industry.";"";"2009";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2008.927815";0
journals/tem/DenizelFS10;article;2017-05-27;"Multiperiod Remanufacturing Planning With Uncertain Quality of Inputs.";"";"2010";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2009.2024506";0
journals/tem/HuangZL07;article;2017-05-27;"Integrated Configuration of Platform Products and Supply Chains for Mass Customization: A Game-Theoretic Approach.";"";"2007";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2006.889074";0
journals/tem/Pate-CornellD01;article;2017-07-24;"Success factors and future challenges in the management of faster-better-cheaper projects: lessons learned from NASA.";"";"2001";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/17.913163";0
journals/tem/NarayananL14;article;2017-06-08;"Venture Capital Deals: Beliefs and Ownership.";"";"2014";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2014.2338211";0
journals/tem/RaisinghaniMS07;article;2017-05-27;"Strategic e-Business Decision Analysis Using the Analytic Network Process.";"";"2007";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2007.906857";0
journals/tem/Liberatore08;article;2017-05-27;"Critical Path Analysis With Fuzzy Activity Times.";"";"2008";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2008.919678";0
journals/tem/SantiagoB05;article;2017-06-14;"Management of R&D projects under uncertainty: a multidimensional approach to managerial flexibility.";"";"2005";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2005.844465";0
journals/tem/RavichandranR03;article;2017-05-27;"Structural analysis of the impact of knowledge creation and knowledge embedding on software process capability.";"";"2003";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2003.817278";0
journals/tem/HinnantO03;article;2017-05-27;"Examining pre-adoption interest in online innovations: an exploratory study of e-service personalization in the public sector.";"";"2003";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2003.820133";0
journals/tem/HargadenR15;article;2017-06-08;"Resource Planning in Engineering Services Firms.";"";"2015";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2015.2457675";0
journals/tem/CraigheadKDH11;article;2017-05-27;"Addressing Common Method Variance: Guidelines for Survey Research on Information Technology, Operations, and Supply Chain Management.";"";"2011";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2011.2136437";0
journals/tem/KelleyN05;article;2017-05-27;"Technology resources, alliances, and sustained growth in new, technology-based firms.";"";"2005";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2005.851272";0
journals/tem/DiabatAASG13;article;2017-08-22;"Strategic Closed-Loop Facility Location Problem With Carbon Market Trading.";"";"2013";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2012.2211105";0
journals/tem/ErnstLV00;article;2017-05-27;"Inventors are not alike: the distribution of patenting output among industrial R&D personnel.";"";"2000";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/17.846786";0
journals/tem/KearnsS07;article;2017-05-27;"Antecedents and Consequences of Information Systems Planning Integration.";"";"2007";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2007.906848";0
journals/tem/AngelouE08;article;2017-06-08;"A Decision Analysis Framework for Prioritizing a Portfolio of ICT Infrastructure Projects.";"";"2008";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2008.922649";0
journals/tem/ChengT14;article;2017-05-27;"Two-Phase Differential Evolution for the Multiobjective Optimization of Time-Cost Tradeoffs in Resource-Constrained Construction Projects.";"";"2014";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2014.2327512";0
journals/tem/HuoZL14;article;2017-05-27;"Supply Chain Quality Integration: Antecedents and Consequences.";"";"2014";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2013.2278543";0
journals/tem/YoonP07;article;2017-05-27;"Development of New Technology Forecasting Algorithm: Hybrid Approach for Morphology Analysis and Conjoint Analysis of Patent Information.";"";"2007";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2007.900796";0
journals/tem/ComponationB00;article;2017-05-27;"Utilizing cluster analysis to structure concurrent engineering teams.";"";"2000";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/17.846793";0
journals/tem/MangunT02;article;2017-05-27;"Incorporating component reuse, remanufacture, and recycle into product portfolio design.";"";"2002";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2002.807292";0
journals/tem/BierlyGS08;article;2017-06-08;"Innovation and Learning in High-Reliability Organizations: A Case Study of United States and Russian Nuclear Attack Submarines, 1970-2000.";"";"2008";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2008.922643";0
journals/tem/LinderB15;article;2017-05-27;"Antecedents to Autonomous Strategic Action: What About Decline?";"";"2015";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2014.2382554";0
journals/tem/MattaLW15;article;2017-05-27;"Managing Product Variety in a Supply Chain.";"";"2015";"IEEE Trans. Engineering Management";"https://doi.org/10.1109/TEM.2014.2368384";0
