dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tec/AlbaT02;article;2017-06-08;"Parallelism and evolutionary algorithms.";"";"2002";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2002.800880";0
journals/tec/FuSTY15;article;2017-06-14;"Robust Optimization Over Time: Problem Difficulties and Benchmark Problems.";"";"2015";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2014.2377125";0
journals/tec/ZecchinSMN05;article;2017-06-08;"Parametric study for an ant algorithm applied to water distribution system optimization.";"";"2005";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2005.844168";0
journals/tec/ColuttoFFS10;article;2017-05-17;"The CMA-ES on Riemannian Manifolds to Reconstruct Shapes in 3-D Voxel Images.";"";"2010";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2009.2029567";0
journals/tec/Tayarani-NajaranP14;article;2017-05-17;"On the Landscape of Combinatorial Optimization Problems.";"";"2014";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2013.2281502";0
journals/tec/KohlM12;article;2017-05-17;"An Integrated Neuroevolutionary Approach to Reactive Control and High-Level Strategy.";"";"2012";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2011.2150755";0
journals/tec/GancarskiB08;article;2017-05-17;"Darwinian, Lamarckian, and Baldwinian (Co)Evolutionary Approaches for Feature Weighting in K-means-Based Algorithms.";"";"2008";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2008.920670";0
journals/tec/CastroZ02;article;2017-06-14;"Learning and optimization using the clonal selection principle.";"";"2002";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2002.1011539";0
journals/tec/MuniPD04;article;2017-05-17;"A novel approach to design classifiers using genetic programming.";"";"2004";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2004.825567";0
journals/tec/CerveriPB01;article;2017-06-08;"Combined evolution strategies for dynamic calibration of video-based measurement systems.";"";"2001";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/4235.930315";0
journals/tec/ForestieroM09;article;2017-06-08;"A Swarm Algorithm for a Self-Structured P2P Information System.";"";"2009";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2008.2011478";0
journals/tec/LamLX13;article;2017-05-17;"On the Convergence of Chemical Reaction Optimization for Combinatorial Optimization.";"";"2013";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2012.2227973";0
journals/tec/TopcuogluDK07;article;2017-05-17;"Solving the Register Allocation Problem for Embedded Systems Using a Hybrid Evolutionary Algorithm.";"";"2007";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2007.892766";0
journals/tec/GustafsonV08;article;2017-06-08;"Crossover-Based Tree Distance in Genetic Programming.";"";"2008";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2008.915993";0
journals/tec/BandyopadhyayMCP14;article;2017-06-08;"Guest Editorial: Special Issue on Advances in Multiobjective Evolutionary Algorithms for Data Mining.";"";"2014";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2013.2292181";0
journals/tec/EcemisWBB08;article;2017-05-17;"A Drug Candidate Design Environment Using Evolutionary Computation.";"";"2008";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2007.913131";0
journals/tec/MukhopadhyayMB09;article;2017-06-08;"Multiobjective Genetic Algorithm-Based Fuzzy Clustering of Categorical Attributes.";"";"2009";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2009.2012163";0
journals/tec/BirattariPD07;article;2017-06-08;"On the Invariance of Ant Colony Optimization.";"";"2007";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2007.892762";0
journals/tec/ChowY12;article;2017-06-08;"A Multiobjective Evolutionary Algorithm That Diversifies Population by Its Density.";"";"2012";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2010.2098411";0
journals/tec/HeJZTHTLMHY16;article;2017-07-28;"Cooperative Co-Evolutionary Module Identification With Application to Cancer Disease Module Discovery.";"";"2016";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2016.2530311";0
journals/tec/Prugel-Bennett01;article;2017-05-17;"Modeling crossover-induced linkage in genetic algorithms.";"";"2001";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/4235.942531";0
journals/tec/LeguizamonC09;article;2017-05-17;"Boundary Search for Constrained Numerical Optimization Problems With an Algorithm Inspired by the Ant Colony Metaphor.";"";"2009";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2008.926731";0
journals/tec/DupuisFG12;article;2017-05-17;"Evolutionary Design of Both Topologies and Parameters of a Hybrid Dynamical System.";"";"2012";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2011.2159724";0
journals/tec/SuzukiSM09;article;2017-05-17;"An Agent-Based Approach to Option Pricing Anomalies.";"";"2009";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2008.2011407";0
journals/tec/Fogel97;article;2017-05-17;"Evolutionary Computation: A New Transactions.";"";"1997";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.1997.585887";0
journals/tec/DebK10;article;2017-05-17;"Guest Editorial Special Issue on Preference-Based Multiobjective Evolutionary Algorithms.";"";"2010";"IEEE Trans. Evolutionary Computation";"https://doi.org/10.1109/TEVC.2010.2070371";0
