dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tfs/MaoLZ97;article;2017-05-26;"Approximation capability of fuzzy systems using translations and dilations of one fixed function as membership functions.";"";"1997";"IEEE Trans. Fuzzy Systems";"https://doi.org/10.1109/91.618281";0
journals/tfs/FriguiK96;article;2017-05-26;"A comparison of fuzzy shell-clustering methods for the detection of ellipses.";"";"1996";"IEEE Trans. Fuzzy Systems";"https://doi.org/10.1109/91.493912";0
journals/tfs/MicicJIC15;article;2017-06-14;"Determinization of Fuzzy Automata by Means of the Degrees of Language Inclusion.";"";"2015";"IEEE Trans. Fuzzy Systems";"https://doi.org/10.1109/TFUZZ.2015.2404348";0
journals/tfs/VermaH10;article;2017-05-26;"Additive and Nonadditive Fuzzy Hidden Markov Models.";"";"2010";"IEEE Trans. Fuzzy Systems";"https://doi.org/10.1109/TFUZZ.2009.2034532";0
journals/tfs/AggarwalH16;article;2017-05-26;"Representing Uncertainty With Information Sets.";"";"2016";"IEEE Trans. Fuzzy Systems";"https://doi.org/10.1109/TFUZZ.2015.2417593";0
journals/tfs/HongJP99;article;2017-05-26;"new electrosensitive traffic light using fuzzy neural network.";"";"1999";"IEEE Trans. Fuzzy Systems";"https://doi.org/10.1109/91.811247";0
journals/tfs/GodoT00;article;2017-09-16;"On aggregation operators for ordinal qualitative information.";"";"2000";"IEEE Trans. Fuzzy Systems";"https://doi.org/10.1109/91.842149";0
journals/tfs/ChiangLTK15;article;2017-05-26;"Discovering Latent Semantics in Web Documents Using Fuzzy Clustering.";"";"2015";"IEEE Trans. Fuzzy Systems";"https://doi.org/10.1109/TFUZZ.2015.2403878";0
journals/tfs/QiuFG11;article;2017-09-05;"Nonsynchronized-State Estimation of Multichannel Networked Nonlinear Systems With Multiple Packet Dropouts Via T-S Fuzzy-Affine Dynamic Models.";"";"2011";"IEEE Trans. Fuzzy Systems";"https://doi.org/10.1109/TFUZZ.2010.2084570";0
journals/tfs/MeiC12;article;2017-05-26;"A Fuzzy Approach for Multitype Relational Data Clustering.";"";"2012";"IEEE Trans. Fuzzy Systems";"https://doi.org/10.1109/TFUZZ.2011.2174366";0
journals/tfs/LiuM04;article;2017-06-14;"Online data-driven fuzzy clustering with applications to real-time robotic tracking.";"";"2004";"IEEE Trans. Fuzzy Systems";"https://doi.org/10.1109/TFUZZ.2004.832521";0
