dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tgrs/BenzSM95;article;2017-06-15;"A comparison of several algorithms for SAR raw data compression.";"";"1995";"IEEE Trans. Geoscience and Remote Sensing";"https://doi.org/10.1109/36.469491";0
journals/tgrs/CoburnN16;article;2017-05-18;"ULGS II: A High-Performance Field and Laboratory Spectrogoniometer for Measuring Hyperspectral Bidirectional Reflectance Characteristics.";"";"2016";"IEEE Trans. Geoscience and Remote Sensing";"https://doi.org/10.1109/TGRS.2015.2499245";0
journals/tgrs/KaasalainenNKKKVH10;article;2017-05-18;"Effect of Target Moisture on Laser Scanner Intensity.";"";"2010";"IEEE Trans. Geoscience and Remote Sensing";"https://doi.org/10.1109/TGRS.2009.2036841";0
journals/tgrs/Cabrera-MercaderS95;article;2017-05-18;"Passive microwave relative humidity retrievals using feedforward neural networks.";"";"1995";"IEEE Trans. Geoscience and Remote Sensing";"https://doi.org/10.1109/36.477189";0
journals/tgrs/LosadaBM03;article;2017-09-16;"Fast and accurate algorithm for the short-pulse electromagnetic scattering from conducting circular plates buried inside a lossy dispersive half-space.";"";"2003";"IEEE Trans. Geoscience and Remote Sensing";"https://doi.org/10.1109/TGRS.2003.810678";0
journals/tgrs/AydinerCCWSA01;article;2017-05-18;"3-D imaging of large scale buried structure by 1-D inversion of very early time electromagnetic (VETEM) data.";"";"2001";"IEEE Trans. Geoscience and Remote Sensing";"https://doi.org/10.1109/36.927454";0
journals/tgrs/LasnePRC05;article;2017-05-18;"Effect of multiple scattering on the phase signature of wet subsurface structures: applications to polarimetric L- and C-band SAR.";"";"2005";"IEEE Trans. Geoscience and Remote Sensing";"https://doi.org/10.1109/TGRS.2005.851180";0
journals/tgrs/HouldcroftCDGH05;article;2017-05-18;"Measurement of canopy geometry characteristics using LiDAR laser altimetry: a feasibility study.";"";"2005";"IEEE Trans. Geoscience and Remote Sensing";"https://doi.org/10.1109/TGRS.2005.856639";0
journals/tgrs/GeorgesHLL98a;article;2017-05-18;"Corrections To "A Test Of Ocean Surface-current Mapping With Over-the-horizon Radar".";"";"1998";"IEEE Trans. Geoscience and Remote Sensing";"https://doi.org/10.1109/TGRS.1998.662752";0
journals/tgrs/Settle06;article;2017-05-18;"On the effect of variable endmember spectra in the linear mixture model.";"";"2006";"IEEE Trans. Geoscience and Remote Sensing";"https://doi.org/10.1109/TGRS.2005.860983";0
