dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/toh/KahnT16;article;2017-07-27;"The Effects of Fluidic Loading on Underwater Contact Sensing with Robotic Fins and Beams.";"";"2016";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2015.2485200";0
journals/toh/BurdetFMKA14;article;2017-05-20;"Book Review: Human Robotics: Neuromechanics and Motor Control.";"";"2014";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2014.2309729";0
journals/toh/YannierBTS08;article;2017-06-15;"Using Haptics to Convey Cause-and-Effect Relations in Climate Visualization.";"";"2008";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2008.16";0
journals/toh/Jones17a;article;2017-05-20;"News from the Field.";"";"2017";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2017.2663258";0
journals/toh/UngerKH13;article;2017-05-20;"The Physical Basis of Perceived Roughness in Virtual Sinusoidal Textures.";"";"2013";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2013.35";0
journals/toh/CampionH09;article;2017-05-20;"Fast Calibration of Haptic Texture Synthesis Algorithms.";"";"2009";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2009.5";0
journals/toh/HwangLC13;article;2017-06-09;"Real-Time Dual-Band Haptic Music Player for Mobile Devices.";"";"2013";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2013.7";0
journals/toh/SchuwerkXS17;article;2017-06-29;"On the Transparency of Client/Server-Based Haptic Interaction with Deformable Objects.";"";"2017";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2016.2612635";0
journals/toh/ProvancherS09;article;2017-05-20;"Fingerpad Skin Stretch Increases the Perception of Virtual Friction.";"";"2009";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2009.34";0
journals/toh/TalasazTP17;article;2017-06-29;"The Role of Direct and Visual Force Feedback in Suturing Using a 7-DOF Dual-Arm Teleoperated System.";"";"2017";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2016.2616874";0
journals/toh/PawlukAK15;article;2017-06-15;"Designing Haptic Assistive Technology for Individuals Who Are Blind or Visually Impaired.";"";"2015";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2015.2471300";0
journals/toh/MalyszS13;article;2017-05-20;"Task Performance Evaluation of Asymmetric Semiautonomous Teleoperation of Mobile Twin-Arm Robotic Manipulators.";"";"2013";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2013.23";0
journals/toh/Colgate13a;article;2017-05-20;"EIC Editorial.";"";"2013";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2013.69";0
journals/toh/SohD14;article;2017-05-20;"Incrementally Learning Objects by Touch: Online Discriminative and Generative Models for Tactile-Based Recognition.";"";"2014";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2014.2326159";0
journals/toh/YoshimotoKIONTM16;article;2017-05-20;"Electrotactile Augmentation for Carving Guidance.";"";"2016";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2015.2479229";0
journals/toh/Mullenbach15;article;2017-05-20;"Student Innovation Challenge at the World Haptics Conference 2015: Teams Create Haptic Apps for the TPad Phone.";"";"2015";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2015.2468092";0
journals/toh/FrisoliOCS14;article;2017-05-20;"Guest Editorial: Special Issue on Haptics in Rehabilitation and Neural Engineering.";"";"2014";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2014.2313760";0
journals/toh/AvizzanoSR14;article;2017-06-15;"Portable Haptic Interface with Omni-Directional Movement and Force Capability.";"";"2014";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2014.2310462";0
journals/toh/Kajimoto12;article;2017-05-20;"Electrotactile Display with Real-Time Impedance Feedback Using Pulse Width Modulation.";"";"2012";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2011.39";0
journals/toh/WangSLZX14;article;2017-05-20;"Haptic Simulation of Organ Deformationand Hybrid Contacts in Dental Operations.";"";"2014";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2014.2304734";0
journals/toh/BarbicJ08;article;2017-05-20;"Six-DoF Haptic Rendering of Contact Between Geometrically Complex Reduced Deformable Models.";"";"2008";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2008.1";0
journals/toh/MatsuiOY14;article;2017-05-20;"Relative Contribution Ratios of Skin andProprioceptive Sensations in Perception of Force Applied to Fingertip.";"";"2014";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2013.71";0
journals/toh/HogemaVEK09;article;2017-05-20;"A Tactile Seat for Direction Coding in Car Driving: Field Evaluation.";"";"2009";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2009.35";0
journals/toh/TanakaNYT15;article;2017-06-15;"Analysis of Operational Comfort in Manual Tasks Using Human Force Manipulability Measure.";"";"2015";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2014.2371025";0
journals/toh/RosatiOPP14;article;2017-09-16;"Effects of Kinesthetic and Cutaneous Stimulation During the Learning of a Viscous Force Field.";"";"2014";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2013.2296312";0
journals/toh/PietrzakCBMP09;article;2017-06-15;"Creating Usable Pin Array Tactons for Nonvisual Information.";"";"2009";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2009.6";0
journals/toh/AzadiJ14;article;2017-05-20;"Evaluating Vibrotactile Dimensions for the Design of Tactons.";"";"2014";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2013.2296051";0
journals/toh/FeixBD14;article;2017-05-20;"Analysis of Human Grasping Behavior: Object Characteristics and Grasp Type.";"";"2014";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2014.2326871";0
journals/toh/ForrestBKT11;article;2017-05-20;"A Comparative Study of Haptic Stiffness Identification by Veterinarians and Students.";"";"2011";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2010.57";0
journals/toh/KahrimanovicTK11;article;2017-05-20;"Characterization of the Haptic Shape-Weight Illusion with 3D Objects.";"";"2011";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2011.22";0
journals/toh/VisellLHH16;article;2017-05-20;"Biology to Technology in Active Touch Sensing - Introduction to the Special Section.";"";"2016";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2016.2571458";0
journals/toh/HachisuK17;article;2017-06-29;"Vibration Feedback Latency Affects Material Perception During Rod Tapping Interactions.";"";"2017";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2016.2628900";0
journals/toh/LedermanJ11;article;2017-05-20;"Tactile and Haptic Illusions.";"";"2011";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2011.2";0
journals/toh/NaerumEH12;article;2017-06-15;"The Effect of Interaction Force Estimation on Performance in Bilateral Teleoperation.";"";"2012";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2011.51";0
journals/toh/WangZZZC11;article;2017-05-20;"Collocation Accuracy of Visuo-Haptic System: Metrics and Calibration.";"";"2011";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2011.17";0
journals/toh/DargarDS16;article;2017-07-27;"Development of a Haptic Interface for Natural Orifice Translumenal Endoscopic Surgery Simulation.";"";"2016";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2016.2543224";0
journals/toh/KronanderB14;article;2017-05-20;"Learning Compliant Manipulation through Kinesthetic and Tactile Human-Robot Interaction.";"";"2014";"IEEE Trans. Haptics";"https://doi.org/10.1109/TOH.2013.54";0
